Country,Date,Open,High,Low,Close,Adj Close,Volume
BRA,1/2/2018,76403,77909,76403,77891,77891,2880300
BRA,1/3/2018,77889,78414,77602,77995,77995,3142200
BRA,1/4/2018,77998,79135,77998,78647,78647,3486100
BRA,1/5/2018,78644,79071,78218,79071,79071,2747100
BRA,1/8/2018,79070,79395,78631,79379,79379,2550800
BRA,1/9/2018,79379,79415,78699,78864,78864,3458600
BRA,1/10/2018,78864,78864,78164,78201,78201,2759900
BRA,1/11/2018,78201,79365,78201,79365,79365,3409400
BRA,1/12/2018,79365,79440,78861,79349,79349,3577800
BRA,1/15/2018,79349,79847,79349,79752,79752,1941000
BRA,1/16/2018,79751,80246,79668,79832,79832,2982500
BRA,1/17/2018,79832,81189,79828,81189,81189,3341200
BRA,1/18/2018,81185,81367,80498,80963,80963,3429600
BRA,1/19/2018,80965,81429,80854,81220,81220,3123200
BRA,1/22/2018,81220,81675,80923,81675,81675,2693000
BRA,1/23/2018,81676,81676,80524,80678,80678,3711200
BRA,1/24/2018,80679,83680,80679,83680,83680,5503700
BRA,1/25/2018,80679,83680,80679,83680,83680,0
BRA,1/26/2018,83680,85531,83680,85531,85531,5410600
BRA,1/29/2018,85531,85531,84341,84698,84698,3889600
BRA,1/30/2018,84697,84697,83804,84482,84482,3566000
BRA,1/31/2018,84485,86213,84484,84913,84913,4233500
BRA,2/1/2018,84913,86028,84833,85495,85495,4085300
BRA,2/2/2018,85495,85495,83831,84041,84041,3376900
BRA,2/5/2018,84040,84311,81861,81861,81861,3253600
BRA,2/6/2018,81857,84162,80804,83894,83894,5599100
BRA,2/7/2018,83894,84410,82548,82767,82767,3886000
BRA,2/8/2018,82773,83501,81109,81533,81533,4011400
BRA,2/9/2018,81532,81897,79690,80899,80899,4283400
BRA,2/14/2018,null,null,null,null,null,null
BRA,2/15/2018,83551,84686,83551,84291,84291,3489300
BRA,2/16/2018,84291,84575,83824,84525,84525,3475800
BRA,2/19/2018,84525,84956,84525,84793,84793,2088900
BRA,2/20/2018,84792,86290,84261,85804,85804,4078100
BRA,2/21/2018,85804,87358,85804,86052,86052,4815500
BRA,2/22/2018,86050,87159,86050,86686,86686,3535700
BRA,2/23/2018,86690,87345,86138,87293,87293,4178600
BRA,2/26/2018,87296,88318,87242,87653,87653,4047100
BRA,2/27/2018,87649,87839,86613,86935,86935,3534700
BRA,2/28/2018,86939,87109,85431,85481,85481,5947100
BRA,3/1/2018,85337,86260,84640,85378,85378,4341300
BRA,3/2/2018,85378,85761,83897,85761,85761,3884300
BRA,3/5/2018,85292,86165,85053,86023,86023,3425200
BRA,3/6/2018,86023,86931,85653,85653,85653,3608600
BRA,3/7/2018,85653,85653,84397,85484,85484,3456800
BRA,3/8/2018,85510,85830,84491,84985,84985,3694700
BRA,3/9/2018,84987,86389,84749,86371,86371,3481500
BRA,3/12/2018,86386,87046,86386,86900,86900,2602900
BRA,3/13/2018,86902,87333,86119,86384,86384,2735800
