Date,Open,High,Low,Close,Adj Close,Volume
1/2/2018,16213.40039,16310,16181,16310,16310,157073400
1/3/2018,16336.7002,16386.30078,16322.59961,16371.59961,16371.59961,196865400
1/4/2018,16385.40039,16421.40039,16344.90039,16412.90039,16412.90039,195975200
1/5/2018,16362.59961,16370.29981,16309.90039,16349.40039,16349.40039,160313100
1/8/2018,16355.40039,16373.5,16297.90039,16317.7002,16317.7002,166095400
1/9/2018,16351.40039,16358.2002,16309.79981,16319.2002,16319.2002,236911700
1/10/2018,16314.2002,16341.09961,16229.29981,16248,16248,243953300
1/11/2018,16276.2002,16301.40039,16244.90039,16286.90039,16286.90039,231161200
1/12/2018,16296.09961,16323.5,16278.09961,16308.2002,16308.2002,242891100
1/15/2018,16321.79981,16384.5,16313.5,16371.79981,16371.79981,123891500
1/16/2018,16368.59961,16373.29981,16270.90039,16298.90039,16298.90039,246627400
1/17/2018,16320.79981,16358.2002,16277.59961,16326.7002,16326.7002,221463200
1/18/2018,16339.79981,16344.09961,16270.59961,16284.5,16284.5,212308100
1/19/2018,16311.29981,16364.29981,16288.40039,16353.5,16353.5,201143600
1/22/2018,16348.90039,16360.5,16303.40039,16348,16348,205285200
1/23/2018,16342,16383.79981,16252.40039,16357.59961,16357.59961,234085600
1/24/2018,16360.79981,16365,16238.40039,16284.2002,16284.2002,245792400
1/25/2018,16309.40039,16315.09961,16194.29981,16204,16204,234944000
1/26/2018,16227.2002,16239.7002,16180.7002,16239.2002,16239.2002,202112800
1/29/2018,16195.7002,16195.7002,16090.7002,16094.7002,16094.7002,200161400
1/30/2018,16030.2002,16054.5,15947.09961,15955.5,15955.5,227045000
1/31/2018,15956.09961,15979.90039,15898.7002,15951.7002,15951.7002,249790300
2/1/2018,15920,15922.59961,15818,15860.90039,15860.90039,224854400
2/2/2018,15780.5,15783,15600.90039,15606,15606,233251100
2/5/2018,15490.09961,15584.09961,15284.40039,15334.79981,15334.79981,264583100
2/6/2018,15112.29981,15401.79981,14945.79981,15363.90039,15363.90039,289213400
2/7/2018,15365.40039,15421.2002,15325.7002,15330.59961,15330.59961,243344100
2/8/2018,15335.09961,15359.5,15065.59961,15065.59961,15065.59961,256435100
