,Total Stimulus Spend,Health sector,Non-health sector
Australia,218.447779,11.46091382,206.9868652
Canada,240.1044382,39.21135386,200.8930843
European Union,487.0060015,0.056913171,486.9490883
France,198.057834,20.26108876,177.7967452
Germany,417.7426728,45.53053654,372.2121362
Italy,127.4855023,10.81350243,116.6719999
Japan,782.3329484,89.83727637,692.495672
Korea,56.08029203,4.313868618,51.76642342
Spain,52.47394337,5.00835902,47.46558435
United Kingdom,440.5461574,144.7142901,295.8318673
United States,3503.3,483.8,3019.5
Argentina,14.69136877,1.104507725,13.58686105
Brazil,117.6914557,16.66427691,101.0271788
China,710.7658415,21.30558293,689.4602586
India,80.64753841,4.83990095,75.80763746
Indonesia,29.09219668,5.208496932,23.88369975
Mexico,7.227988312,2.346749452,4.88123886
Russia,41.6337388,8.763542629,32.87019617
Saudi Arabia,15.36,12.53333333,2.826666667
South Africa,16.15654436,1.214777772,14.94176659
Turkey,7.610208456,2.016137315,5.594071141
Austria,36.42442924,2.048874144,34.37555509
Belgium,36.53825558,9.21993365,27.31832193
Cyprus,1.534379082,0.113826341,1.42055274
Czech republic,13.0664036,2.858812351,10.20759125
Denmark,6.142869787,0.121942825,6.020926962
Estonia,1.067691082,0.261800585,0.805890497
Finland,7.910930725,2.105787315,5.805143409
Greece,21.21364606,0.707616905,20.50602915
Hong Kong SAR,41,1.3,39.7
Iceland,0.909122426,0.050270793,0.858534162
Ireland,22.386,3.075,19.311
Israel,26.89184708,4.457851938,22.43399514
Latvia,2.618005851,0.239035317,2.378970534
Lithuania,2.587272739,0.569131707,2.018141032
Luxembourg,2.959484875,0.227652683,2.731832193
Macao SAR,6.6754129,0.050115712,6.625297188
Malta,0.933375999,0.113826341,0.819549658
The Netherlands,40.52217752,6.71575414,33.80642338
New Zealand,39.90828947,2.526661184,37.38162828
Norway,13.34896562,1.141479246,12.20748638
Portugal,10.81350243,2.50417951,8.309322919
San Marino,,,
Singapore,54.50467001,9.988903668,44.51576635
Slovak Republic,3.967178462,0.153665561,3.813512901
Slovenia,2.765980095,0.455305365,2.31067473
Sweden,22.32502854,4.076217274,18.24881127
Switzerland,39.48961674,3.18944783,36.30016891
Albania,0.175963941,0.022989802,0.126131247
Algeria,0.552922591,0.230647709,0.322274882
Angola,0.309669339,,
Anguilla,,,
Antigua and Barbuda,0.075185185,0.003703704,0.071481481
Armenia,0.123955863,0.041249871,0.082705992
Aruba,0.229050279,0.089385475,0.139664804
Azerbaijan,0.892941176,0.217647059,0.675294118
"Bahamas, The",0.33,0.03,0.3
Bahrain,1.960106383,0.478723404,1.481382979
Barbados,0.11405,0.025,0.08905
Belarus,,,
Belize,0.0125,,
Bolivia,2.026239067,0.497084548,1.529154519
Bosnia and Herzegovina,0.963524237,,
