Date,Open,High,Low,Close,Adj Close,Volume
1/6/2020,23566,23608,23265,23581,23581,349155800
1/7/2020,23688,23794,23636,23723,23723,306340300
1/8/2020,23551,23893,23481,23832,23832,472506700
1/9/2020,23980,24078,23964,24017,24017,430637300
1/10/2020,24061,24147,23966,24021,24021,326014300
1/13/2020,24061,24061,23829,23897,23897,340838600
1/14/2020,23932,23948,23706,23928,23928,350706400
1/15/2020,23903,23932,23719,23764,23764,341178900
1/16/2020,23862,23961,23760,23940,23940,361875400
1/17/2020,24043,24169,24011,24141,24141,319934800
1/20/2020,24033,24085,23973,24002,24002,218203400
1/21/2020,23858,23860,23645,23845,23845,332896600
1/22/2020,23888,23907,23680,23706,23706,424389000
1/23/2020,23716,23901,23611,23707,23707,379431100
1/24/2020,23848,24083,23848,23969,23969,368587000
1/27/2020,23713,23978,23384,23416,23416,506925600
1/28/2020,23545,24028,23429,24028,24028,428294600
1/29/2020,24053,24198,23969,24165,24165,356515300
1/30/2020,23892,23983,23688,23781,23781,454729400
1/31/2020,23863,23873,23208,23237,23237,557656600
2/3/2020,23297,23466,23219,23460,23460,363184200
2/4/2020,23573,23901,23542,23845,23845,479889400
2/5/2020,23816,24270,23746,24237,24237,564241000
2/6/2020,24348,24514,24338,24490,24490,531888100
2/7/2020,24465,24523,24372,24478,24478,411437000
2/10/2020,24437,24585,24389,24508,24508,297204400
2/11/2020,24617,24763,24534,24689,24689,405685400
2/12/2020,24738,24902,24735,24861,24861,462480100
2/13/2020,24769,24892,24588,24892,24892,526068000
2/14/2020,24942,24983,24832,24867,24867,341383900
2/17/2020,24962,25121,24903,25121,25121,0
2/18/2020,24986,25389,24970,25224,25224,737036300
2/19/2020,25353,25483,25272,25478,25478,464703000
2/20/2020,25415,25420,25080,25080,25080,445153900
2/21/2020,24979,25130,24670,24773,24773,638705500
2/24/2020,23919,24005,23255,23427,23427,977128300
2/25/2020,23586,23630,23046,23090,23090,664950800
2/26/2020,22961,23600,22638,23423,23423,737757000
2/27/2020,22969,23078,22480,22799,22799,781145900
2/28/2020,22059,22335,21698,21984,21984,1052025600
3/2/2020,22333,22361,21119,21655,21655,924414500
3/3/2020,22116,22340,21651,21748,21748,799970700
3/4/2020,21740,22204,21500,21946,21946,724365300
3/5/2020,22012,22035,21362,21555,21555,772854700
3/6/2020,20987,21151,20624,20800,20800,864917500
3/9/2020,20781,20781,18346,18476,18476,1272046600
3/10/2020,18654,19175,17772,17870,17870,1096966400
3/11/2020,18172,18410,17675,17929,17929,916163300
3/12/2020,17654,17660,14894,14894,14894,1535614400
3/13/2020,15108,17545,15107,15954,15954,1267823900
3/16/2020,15697,15699,14153,14980,14980,1218842000
3/17/2020,15420,15810,14696,15315,15315,1041111800
3/18/2020,14986,15438,14792,15120,15120,796190300
3/19/2020,15417,15844,15038,15467,15467,1016984600
3/20/2020,15773,16180,15617,15732,15732,1222210600
3/23/2020,15318,15789,15092,15560,15560,768024600
3/24/2020,15978,16949,15970,16949,16949,847366000
3/25/2020,17247,17830,16582,17244,17244,906278800
3/26/2020,16877,17369,16835,17369,17369,712229600
3/27/2020,17039,17283,16667,16823,16823,590902100
3/30/2020,16856,16925,16313,16872,16872,551307000
3/31/2020,17097,17292,16695,17051,17051,698055400
4/1/2020,16600,16845,16500,16545,16545,515027400
4/2/2020,16660,16878,16414,16834,16834,580523400
4/3/2020,16742,16791,16384,16384,16384,547565400
4/6/2020,16769,17054,16765,17039,17039,528126600
4/7/2020,17588,17887,17178,17412,17412,679854300
4/8/2020,17212,17406,17196,17381,17381,476312900
4/9/2020,17686,17756,17360,17622,17622,553979400
4/14/2020,17822,17831,17507,17558,17558,443873000
4/15/2020,17455,17543,16719,16719,16719,536650700
4/16/2020,17003,17161,16730,16768,16768,453153600
4/17/2020,17153,17308,16964,17055,17055,469218300
4/20/2020,17144,17155,16786,17064,17064,339570700
4/21/2020,16812,16935,16451,16451,16451,401986500
