Date,Open,High,Low,Close,Adj Close,Volume
1/4/2018,23073.73047,23506.33008,23065.19922,23506.33008,23506.33008,102200000
1/5/2018,23643,23730.4707,23520.51953,23714.5293,23714.5293,101900000
1/8/2018,null,null,null,null,null,null
1/9/2018,23948.9707,23952.60938,23789.0293,23849.99023,23849.99023,94100000
1/10/2018,23832.81055,23864.75977,23755.44922,23788.19922,23788.19922,88800000
1/11/2018,23656.39063,23734.9707,23601.83984,23710.42969,23710.42969,83700000
1/12/2018,23719.66016,23743.05078,23588.07031,23653.82031,23653.82031,93700000
1/15/2018,23827.98047,23833.26953,23685.01953,23714.88086,23714.88086,75400000
1/16/2018,23721.16992,23962.07031,23701.83008,23951.81055,23951.81055,68500000
1/17/2018,23783.41992,23891.63086,23739.16992,23868.33984,23868.33984,82200000
1/18/2018,24078.92969,24084.41992,23699.4707,23763.36914,23763.36914,99400000
1/19/2018,23854.10938,23872.68945,23735.60938,23808.06055,23808.06055,71800000
1/22/2018,23797.83984,23816.33008,23697.81055,23816.33008,23816.33008,65200000
1/23/2018,23924.40039,24129.33984,23916.01953,24124.15039,24124.15039,73400000
1/24/2018,24026.42969,24072.76953,23917.14063,23940.7793,23940.7793,79900000
1/25/2018,23750.65039,23828.40039,23649.0293,23669.49023,23669.49023,81500000
1/26/2018,23757.33984,23797.96094,23592.2793,23631.88086,23631.88086,87200000
1/29/2018,23707.14063,23787.23047,23580.16992,23629.33984,23629.33984,68800000
1/30/2018,23559.33008,23581.98047,23233.36914,23291.9707,23291.9707,88800000
1/31/2018,23205.23047,23375.38086,23092.84961,23098.28906,23098.28906,99800000
2/1/2018,23276.09961,23492.76953,23211.11914,23486.10938,23486.10938,101800000
2/2/2018,23361.66992,23367.96094,23122.44922,23274.5293,23274.5293,98600000
2/5/2018,22921.16016,22967.68945,22659.42969,22682.08008,22682.08008,107600000
2/6/2018,22267,22277.44922,21078.71094,21610.24023,21610.24023,190100000
2/7/2018,22001.28906,22353.86914,21627.13086,21645.36914,21645.36914,143500000
2/8/2018,21721.57031,21977.0293,21649.69922,21890.85938,21890.85938,104700000
2/9/2018,21507.74023,21510.30078,21119.00977,21382.61914,21382.61914,127600000
2/12/2018,null,null,null,null,null,null
2/13/2018,21633.33984,21679.19922,21211.5293,21244.67969,21244.67969,114700000
2/14/2018,21251.24023,21371.00977,20950.15039,21154.16992,21154.16992,103900000
2/15/2018,21384.09961,21578.99023,21308.91992,21464.98047,21464.98047,86400000
2/16/2018,21555.99023,21866.36914,21499.88086,21720.25,21720.25,77800000
2/19/2018,21903.66016,22152.84961,21858.33008,22149.21094,22149.21094,68500000
2/20/2018,22054.32031,22063.86914,21831.44922,21925.09961,21925.09961,67500000
2/21/2018,21942.41992,22130.58008,21836.73047,21970.81055,21970.81055,77900000
2/22/2018,21789.88086,21799.40039,21626.84961,21736.43945,21736.43945,77300000
2/23/2018,21789.7207,21903.39063,21741.63086,21892.7793,21892.7793,64600000
2/26/2018,22134.64063,22226.5293,22040.86914,22153.63086,22153.63086,64600000
2/27/2018,22391.66992,22502.05078,22325.07031,22389.85938,22389.85938,74300000
2/28/2018,22292.5293,22380.2793,22068.24023,22068.24023,22068.24023,88800000
3/1/2018,21901.13086,21901.13086,21645.2207,21724.4707,21724.4707,90300000
3/2/2018,21339.98047,21366.08984,21088.96094,21181.64063,21181.64063,97100000
3/5/2018,21047.81055,21164.38086,20937.25977,21042.08984,21042.08984,87200000
3/6/2018,21390.19922,21551.14063,21381.41992,21417.75977,21417.75977,76400000
