"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2018-12",100.3027,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-01",100.0271,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-02",99.90257,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-03",99.82231,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-04",99.81399,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-05",99.84435,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-06",99.88275,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-07",99.88448,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-08",99.84872,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-09",99.83068,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-10",99.86711,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-11",99.91182,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2019-12",99.95065,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-01",99.94299,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-02",99.81052,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-03",99.32092,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-04",98.64713,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-05",98.4577,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-06",98.56697,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-07",98.71645,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-08",98.80969,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-09",98.85915,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-10",98.93425,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-11",99.24963,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2020-12",99.69077,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2018-12",100.2923,
"CHE","CCI","AMPLITUD","LTRENDIDX","M","2019-01",100.239,
