"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2017-12",100.6626,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2018-01",100.5376,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2018-02",100.4067,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2018-03",100.2632,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2018-04",100.1111,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2018-05",99.93928,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2018-06",99.71391,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2018-07",99.43042,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2018-08",99.09888,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2018-09",98.75233,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2018-10",98.42655,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2018-11",98.1287,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2018-12",97.8778,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-01",97.69188,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-02",97.56297,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-03",97.46182,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-04",97.3782,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-05",97.29537,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-06",97.20509,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-07",97.11456,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-08",97.0338,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-09",97.01348,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-10",97.09295,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-11",97.28501,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2019-12",97.59352,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-01",98.02702,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-02",98.58304,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-03",95.97882,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-04",86.62909,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-05",88.88741,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-06",93.88782,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-07",98.5923,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-08",99.69164,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-09",99.48878,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-10",99.29014,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-11",99.17432,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","2020-12",99.27773,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2017-12",100.2979,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2018-01",100.0939,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2018-02",99.91369,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2018-03",99.77538,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2018-04",99.6582,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2018-05",99.55173,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2018-06",99.44045,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2018-07",99.32888,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2018-08",99.22788,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2018-09",99.15414,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2018-10",99.1114,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2018-11",99.10076,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2018-12",99.11279,
"CHN","CLI","AMPLITUD","LTRENDIDX","M","2019-01",99.1463,
