"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2016",50,
"AUS","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2017",42,
"AUS","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2018",42,
"AUS","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2019",41,
"AUS","FINDISINWKHR","AVEWAGE","PC_EARN","A","2016",47,
"AUS","FINDISINWKHR","AVEWAGE","PC_EARN","A","2017",40,
"AUS","FINDISINWKHR","AVEWAGE","PC_EARN","A","2018",38,
"AUS","FINDISINWKHR","AVEWAGE","PC_EARN","A","2019",36,
"AUS","FINDISINWKHR","MINWAGE","PC_EARN","A","2016",45,
"AUS","FINDISINWKHR","MINWAGE","PC_EARN","A","2017",52,
"AUS","FINDISINWKHR","MINWAGE","PC_EARN","A","2018",50,
"AUS","FINDISINWKHR","MINWAGE","PC_EARN","A","2019",50,
"AUT","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2016",40,
"AUT","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2017",41,
"AUT","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2018",41,
"AUT","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2019",24,
"AUT","FINDISINWKHR","AVEWAGE","PC_EARN","A","2016",42,
"AUT","FINDISINWKHR","AVEWAGE","PC_EARN","A","2017",42,
"AUT","FINDISINWKHR","AVEWAGE","PC_EARN","A","2018",43,
"AUT","FINDISINWKHR","AVEWAGE","PC_EARN","A","2019",37,
"BEL","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2016",60,
"BEL","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2017",60,
"BEL","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2018",61,
"BEL","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2019",62,
"BEL","FINDISINWKHR","AVEWAGE","PC_EARN","A","2016",62,
"BEL","FINDISINWKHR","AVEWAGE","PC_EARN","A","2017",62,
"BEL","FINDISINWKHR","AVEWAGE","PC_EARN","A","2018",61,
"BEL","FINDISINWKHR","AVEWAGE","PC_EARN","A","2019",61,
"BEL","FINDISINWKHR","MINWAGE","PC_EARN","A","2016",36,
"BEL","FINDISINWKHR","MINWAGE","PC_EARN","A","2017",35,
"BEL","FINDISINWKHR","MINWAGE","PC_EARN","A","2018",29,
"BEL","FINDISINWKHR","MINWAGE","PC_EARN","A","2019",29,
"CAN","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2016",44,
"CAN","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2017",43,
"CAN","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2018",40,
"CAN","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2019",41,
"CAN","FINDISINWKHR","AVEWAGE","PC_EARN","A","2016",41,
"CAN","FINDISINWKHR","AVEWAGE","PC_EARN","A","2017",40,
"CAN","FINDISINWKHR","AVEWAGE","PC_EARN","A","2018",40,
"CAN","FINDISINWKHR","AVEWAGE","PC_EARN","A","2019",42,
"CAN","FINDISINWKHR","MINWAGE","PC_EARN","A","2016",52,
"CAN","FINDISINWKHR","MINWAGE","PC_EARN","A","2017",52,
"CAN","FINDISINWKHR","MINWAGE","PC_EARN","A","2018",49,
"CAN","FINDISINWKHR","MINWAGE","PC_EARN","A","2019",46,
"CZE","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2016",29,
"CZE","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2017",42,
"CZE","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2018",31,
"CZE","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2019",31,
"CZE","FINDISINWKHR","AVEWAGE","PC_EARN","A","2016",31,
"CZE","FINDISINWKHR","AVEWAGE","PC_EARN","A","2017",39,
"CZE","FINDISINWKHR","AVEWAGE","PC_EARN","A","2018",31,
"CZE","FINDISINWKHR","AVEWAGE","PC_EARN","A","2019",31,
"CZE","FINDISINWKHR","MINWAGE","PC_EARN","A","2016",45,
"CZE","FINDISINWKHR","MINWAGE","PC_EARN","A","2017",49,
"CZE","FINDISINWKHR","MINWAGE","PC_EARN","A","2018",45,
"CZE","FINDISINWKHR","MINWAGE","PC_EARN","A","2019",20,
"DNK","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2016",63,
"DNK","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2017",64,
"DNK","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2018",62,
"DNK","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2019",59,
"DNK","FINDISINWKHR","AVEWAGE","PC_EARN","A","2016",41,
"DNK","FINDISINWKHR","AVEWAGE","PC_EARN","A","2017",41,
"DNK","FINDISINWKHR","AVEWAGE","PC_EARN","A","2018",41,
"DNK","FINDISINWKHR","AVEWAGE","PC_EARN","A","2019",40,
"FIN","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2016",37,
"FIN","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2017",35,
"FIN","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2018",36,
"FIN","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2019",35,
"FIN","FINDISINWKHR","AVEWAGE","PC_EARN","A","2016",43,
"FIN","FINDISINWKHR","AVEWAGE","PC_EARN","A","2017",43,
"FIN","FINDISINWKHR","AVEWAGE","PC_EARN","A","2018",43,
"FIN","FINDISINWKHR","AVEWAGE","PC_EARN","A","2019",43,
"FRA","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2016",43,
"FRA","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2017",42,
"FRA","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2018",40,
"FRA","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2019",42,
"FRA","FINDISINWKHR","AVEWAGE","PC_EARN","A","2016",36,
"FRA","FINDISINWKHR","AVEWAGE","PC_EARN","A","2017",36,
"FRA","FINDISINWKHR","AVEWAGE","PC_EARN","A","2018",35,
"FRA","FINDISINWKHR","AVEWAGE","PC_EARN","A","2019",47,
"FRA","FINDISINWKHR","MINWAGE","PC_EARN","A","2016",47,
"FRA","FINDISINWKHR","MINWAGE","PC_EARN","A","2017",47,
"FRA","FINDISINWKHR","MINWAGE","PC_EARN","A","2018",47,
"FRA","FINDISINWKHR","MINWAGE","PC_EARN","A","2019",34,
"DEU","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2016",46,
"DEU","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2017",46,
"DEU","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2018",46,
"DEU","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2019",45,
"DEU","FINDISINWKHR","AVEWAGE","PC_EARN","A","2016",47,
"DEU","FINDISINWKHR","AVEWAGE","PC_EARN","A","2017",47,
"DEU","FINDISINWKHR","AVEWAGE","PC_EARN","A","2018",47,
"DEU","FINDISINWKHR","AVEWAGE","PC_EARN","A","2019",46,
"DEU","FINDISINWKHR","MINWAGE","PC_EARN","A","2016",44,
"DEU","FINDISINWKHR","MINWAGE","PC_EARN","A","2017",44,
"DEU","FINDISINWKHR","MINWAGE","PC_EARN","A","2018",43,
"DEU","FINDISINWKHR","MINWAGE","PC_EARN","A","2019",43,
"GRC","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2016",29,
"GRC","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2017",29,
"GRC","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2018",30,
"GRC","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2019",30,
"GRC","FINDISINWKHR","AVEWAGE","PC_EARN","A","2016",35,
"GRC","FINDISINWKHR","AVEWAGE","PC_EARN","A","2017",35,
"GRC","FINDISINWKHR","AVEWAGE","PC_EARN","A","2018",35,
"GRC","FINDISINWKHR","AVEWAGE","PC_EARN","A","2019",42,
"GRC","FINDISINWKHR","MINWAGE","PC_EARN","A","2016",16,
"GRC","FINDISINWKHR","MINWAGE","PC_EARN","A","2017",16,
"GRC","FINDISINWKHR","MINWAGE","PC_EARN","A","2018",16,
"GRC","FINDISINWKHR","MINWAGE","PC_EARN","A","2019",16,
"HUN","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2016",34,
"HUN","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2017",34,
"HUN","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2018",34,
"HUN","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2019",34,
"HUN","FINDISINWKHR","AVEWAGE","PC_EARN","A","2016",34,
"HUN","FINDISINWKHR","AVEWAGE","PC_EARN","A","2017",34,
"HUN","FINDISINWKHR","AVEWAGE","PC_EARN","A","2018",34,
"HUN","FINDISINWKHR","AVEWAGE","PC_EARN","A","2019",34,
"HUN","FINDISINWKHR","MINWAGE","PC_EARN","A","2016",34,
"HUN","FINDISINWKHR","MINWAGE","PC_EARN","A","2017",34,
"HUN","FINDISINWKHR","MINWAGE","PC_EARN","A","2018",34,
"HUN","FINDISINWKHR","MINWAGE","PC_EARN","A","2019",34,
"ISL","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2016",46,
"ISL","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2017",45,
"ISL","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2018",45,
"ISL","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2019",49,
"ISL","FINDISINWKHR","AVEWAGE","PC_EARN","A","2016",45,
"ISL","FINDISINWKHR","AVEWAGE","PC_EARN","A","2017",44,
"ISL","FINDISINWKHR","AVEWAGE","PC_EARN","A","2018",44,
"ISL","FINDISINWKHR","AVEWAGE","PC_EARN","A","2019",46,
"IRL","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2016",33,
"IRL","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2017",32,
"IRL","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2018",32,
"IRL","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2019",32,
"IRL","FINDISINWKHR","AVEWAGE","PC_EARN","A","2016",36,
"IRL","FINDISINWKHR","AVEWAGE","PC_EARN","A","2017",36,
"IRL","FINDISINWKHR","AVEWAGE","PC_EARN","A","2018",37,
"IRL","FINDISINWKHR","AVEWAGE","PC_EARN","A","2019",37,
"IRL","FINDISINWKHR","MINWAGE","PC_EARN","A","2016",26,
"IRL","FINDISINWKHR","MINWAGE","PC_EARN","A","2017",26,
"IRL","FINDISINWKHR","MINWAGE","PC_EARN","A","2018",27,
"IRL","FINDISINWKHR","MINWAGE","PC_EARN","A","2019",28,
"ITA","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2016",47,
"ITA","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2017",47,
"ITA","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2018",46,
"ITA","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2019",46,
"ITA","FINDISINWKHR","AVEWAGE","PC_EARN","A","2016",50,
"ITA","FINDISINWKHR","AVEWAGE","PC_EARN","A","2017",50,
"ITA","FINDISINWKHR","AVEWAGE","PC_EARN","A","2018",50,
"ITA","FINDISINWKHR","AVEWAGE","PC_EARN","A","2019",50,
"JPN","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2016",23,
"JPN","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2017",23,
"JPN","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2018",24,
"JPN","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2019",25,
"JPN","FINDISINWKHR","AVEWAGE","PC_EARN","A","2016",25,
"JPN","FINDISINWKHR","AVEWAGE","PC_EARN","A","2017",25,
"JPN","FINDISINWKHR","AVEWAGE","PC_EARN","A","2018",25,
"JPN","FINDISINWKHR","AVEWAGE","PC_EARN","A","2019",25,
"JPN","FINDISINWKHR","MINWAGE","PC_EARN","A","2016",43,
"JPN","FINDISINWKHR","MINWAGE","PC_EARN","A","2017",43,
"JPN","FINDISINWKHR","MINWAGE","PC_EARN","A","2018",41,
"JPN","FINDISINWKHR","MINWAGE","PC_EARN","A","2019",40,
"KOR","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2016",13,
"KOR","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2017",13,
"KOR","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2018",14,
"KOR","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2019",15,
"KOR","FINDISINWKHR","AVEWAGE","PC_EARN","A","2016",19,
"KOR","FINDISINWKHR","AVEWAGE","PC_EARN","A","2017",20,
"KOR","FINDISINWKHR","AVEWAGE","PC_EARN","A","2018",21,
"KOR","FINDISINWKHR","AVEWAGE","PC_EARN","A","2019",21,
"KOR","FINDISINWKHR","MINWAGE","PC_EARN","A","2016",17,
"KOR","FINDISINWKHR","MINWAGE","PC_EARN","A","2017",17,
"KOR","FINDISINWKHR","MINWAGE","PC_EARN","A","2018",9,
"KOR","FINDISINWKHR","MINWAGE","PC_EARN","A","2019",10,
"LUX","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2016",34,
"LUX","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2017",31,
"LUX","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2018",32,
"LUX","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2019",33,
"LUX","FINDISINWKHR","AVEWAGE","PC_EARN","A","2016",41,
"LUX","FINDISINWKHR","AVEWAGE","PC_EARN","A","2017",38,
"LUX","FINDISINWKHR","AVEWAGE","PC_EARN","A","2018",39,
"LUX","FINDISINWKHR","AVEWAGE","PC_EARN","A","2019",40,
"LUX","FINDISINWKHR","MINWAGE","PC_EARN","A","2016",29,
"LUX","FINDISINWKHR","MINWAGE","PC_EARN","A","2017",26,
"LUX","FINDISINWKHR","MINWAGE","PC_EARN","A","2018",33,
"LUX","FINDISINWKHR","MINWAGE","PC_EARN","A","2019",34,
"NLD","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2016",30,
"NLD","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2017",31,
"NLD","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2018",31,
"NLD","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2019",25,
"NLD","FINDISINWKHR","AVEWAGE","PC_EARN","A","2016",47,
"NLD","FINDISINWKHR","AVEWAGE","PC_EARN","A","2017",47,
"NLD","FINDISINWKHR","AVEWAGE","PC_EARN","A","2018",47,
"NLD","FINDISINWKHR","AVEWAGE","PC_EARN","A","2019",47,
"NLD","FINDISINWKHR","MINWAGE","PC_EARN","A","2016",4,
"NLD","FINDISINWKHR","MINWAGE","PC_EARN","A","2017",6,
"NLD","FINDISINWKHR","MINWAGE","PC_EARN","A","2018",6,
"NLD","FINDISINWKHR","MINWAGE","PC_EARN","A","2019",-5,
"NZL","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2016",41,
"NZL","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2017",41,
"NZL","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2018",41,
"NZL","FINDISINWKHR","67PC_AVEWAGE","PC_EARN","A","2019",44,
"NZL","FINDISINWKHR","AVEWAGE","PC_EARN","A","2016",40,
"NZL","FINDISINWKHR","AVEWAGE","PC_EARN","A","2017",39,
"NZL","FINDISINWKHR","AVEWAGE","PC_EARN","A","2018",38,
"NZL","FINDISINWKHR","AVEWAGE","PC_EARN","A","2019",47,
"NZL","FINDISINWKHR","MINWAGE","PC_EARN","A","2016",41,
"NZL","FINDISINWKHR","MINWAGE","PC_EARN","A","2017",41,
"NZL","FINDISINWKHR","MINWAGE","PC_EARN","A","2018",41,
"NZL","FINDISINWKHR","MINWAGE","PC_EARN","A","2019",44,
