"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2016",9.201,
"AUS","HEALTHEXP","TOT","PC_GDP","A","2017",9.205,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2018",9.285,"E"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2019",9.334,"E"
"AUT","HEALTHEXP","TOT","PC_GDP","A","2016",10.361,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2017",10.356,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2018",10.316,
"AUT","HEALTHEXP","TOT","PC_GDP","A","2019",10.408,"P"
"BEL","HEALTHEXP","TOT","PC_GDP","A","2016",10.282,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2017",10.406,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2018",10.319,
"BEL","HEALTHEXP","TOT","PC_GDP","A","2019",10.349,"E"
"CAN","HEALTHEXP","TOT","PC_GDP","A","2016",10.979,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2017",10.79,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2018",10.79,"P"
"CAN","HEALTHEXP","TOT","PC_GDP","A","2019",10.79,"P"
"CZE","HEALTHEXP","TOT","PC_GDP","A","2016",7.15,
"CZE","HEALTHEXP","TOT","PC_GDP","A","2017",7.231,
"CZE","HEALTHEXP","TOT","PC_GDP","A","2018",7.647,
"CZE","HEALTHEXP","TOT","PC_GDP","A","2019",7.763,"E"
"DNK","HEALTHEXP","TOT","PC_GDP","A","2016",10.145,
"DNK","HEALTHEXP","TOT","PC_GDP","A","2017",10.122,
"DNK","HEALTHEXP","TOT","PC_GDP","A","2018",10.105,
"DNK","HEALTHEXP","TOT","PC_GDP","A","2019",10.031,"E"
"FIN","HEALTHEXP","TOT","PC_GDP","A","2016",9.378,
"FIN","HEALTHEXP","TOT","PC_GDP","A","2017",9.145,
"FIN","HEALTHEXP","TOT","PC_GDP","A","2018",9.039,
"FIN","HEALTHEXP","TOT","PC_GDP","A","2019",9.086,"E"
"FRA","HEALTHEXP","TOT","PC_GDP","A","2016",11.501,
"FRA","HEALTHEXP","TOT","PC_GDP","A","2017",11.401,
"FRA","HEALTHEXP","TOT","PC_GDP","A","2018",11.294,
"FRA","HEALTHEXP","TOT","PC_GDP","A","2019",11.186,"E"
"DEU","HEALTHEXP","TOT","PC_GDP","A","2016",11.233,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2017",11.374,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2018",11.471,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2019",11.654,"P"
"GRC","HEALTHEXP","TOT","PC_GDP","A","2016",8.215,
"GRC","HEALTHEXP","TOT","PC_GDP","A","2017",7.965,
"GRC","HEALTHEXP","TOT","PC_GDP","A","2018",7.715,
"GRC","HEALTHEXP","TOT","PC_GDP","A","2019",7.791,"E"
"HUN","HEALTHEXP","TOT","PC_GDP","A","2016",7.048,
"HUN","HEALTHEXP","TOT","PC_GDP","A","2017",6.792,
"HUN","HEALTHEXP","TOT","PC_GDP","A","2018",6.7,
"HUN","HEALTHEXP","TOT","PC_GDP","A","2019",6.36,"P"
"ISL","HEALTHEXP","TOT","PC_GDP","A","2016",8.165,
"ISL","HEALTHEXP","TOT","PC_GDP","A","2017",8.343,
"ISL","HEALTHEXP","TOT","PC_GDP","A","2018",8.544,
"ISL","HEALTHEXP","TOT","PC_GDP","A","2019",8.788,"P"
"IRL","HEALTHEXP","TOT","PC_GDP","A","2016",7.414,
"IRL","HEALTHEXP","TOT","PC_GDP","A","2017",7.155,
"IRL","HEALTHEXP","TOT","PC_GDP","A","2018",6.929,
"IRL","HEALTHEXP","TOT","PC_GDP","A","2019",6.841,"P"
"ITA","HEALTHEXP","TOT","PC_GDP","A","2016",8.725,
"ITA","HEALTHEXP","TOT","PC_GDP","A","2017",8.678,
"ITA","HEALTHEXP","TOT","PC_GDP","A","2018",8.668,
"ITA","HEALTHEXP","TOT","PC_GDP","A","2019",8.661,"P"
"JPN","HEALTHEXP","TOT","PC_GDP","A","2016",10.835,
"JPN","HEALTHEXP","TOT","PC_GDP","A","2017",10.796,
"JPN","HEALTHEXP","TOT","PC_GDP","A","2018",10.953,"P"
"JPN","HEALTHEXP","TOT","PC_GDP","A","2019",11.055,"E"
"KOR","HEALTHEXP","TOT","PC_GDP","A","2016",6.914,
"KOR","HEALTHEXP","TOT","PC_GDP","A","2017",7.107,
"KOR","HEALTHEXP","TOT","PC_GDP","A","2018",7.563,
"KOR","HEALTHEXP","TOT","PC_GDP","A","2019",8.044,"P"
"LUX","HEALTHEXP","TOT","PC_GDP","A","2016",5.195,
"LUX","HEALTHEXP","TOT","PC_GDP","A","2017",5.258,
"LUX","HEALTHEXP","TOT","PC_GDP","A","2018",5.286,
"LUX","HEALTHEXP","TOT","PC_GDP","A","2019",5.397,"E"
"MEX","HEALTHEXP","TOT","PC_GDP","A","2016",5.464,"B"
"MEX","HEALTHEXP","TOT","PC_GDP","A","2017",5.519,
"MEX","HEALTHEXP","TOT","PC_GDP","A","2018",5.455,
"MEX","HEALTHEXP","TOT","PC_GDP","A","2019",5.477,"E"
"NLD","HEALTHEXP","TOT","PC_GDP","A","2016",10.253,
"NLD","HEALTHEXP","TOT","PC_GDP","A","2017",10.06,
"NLD","HEALTHEXP","TOT","PC_GDP","A","2018",9.974,
"NLD","HEALTHEXP","TOT","PC_GDP","A","2019",9.965,"P"
"NZL","HEALTHEXP","TOT","PC_GDP","A","2016",9.274,"P"
"NZL","HEALTHEXP","TOT","PC_GDP","A","2017",9.02,"P"
"NZL","HEALTHEXP","TOT","PC_GDP","A","2018",9.211,"P"
"NZL","HEALTHEXP","TOT","PC_GDP","A","2019",9.319,"E"
"NOR","HEALTHEXP","TOT","PC_GDP","A","2016",10.591,
"NOR","HEALTHEXP","TOT","PC_GDP","A","2017",10.316,
"NOR","HEALTHEXP","TOT","PC_GDP","A","2018",10.049,"P"
"NOR","HEALTHEXP","TOT","PC_GDP","A","2019",10.489,"P"
"POL","HEALTHEXP","TOT","PC_GDP","A","2016",6.543,
"POL","HEALTHEXP","TOT","PC_GDP","A","2017",6.562,
"POL","HEALTHEXP","TOT","PC_GDP","A","2018",6.331,
"POL","HEALTHEXP","TOT","PC_GDP","A","2019",6.159,"P"
"PRT","HEALTHEXP","TOT","PC_GDP","A","2016",9.419,"B"
"PRT","HEALTHEXP","TOT","PC_GDP","A","2017",9.33,
"PRT","HEALTHEXP","TOT","PC_GDP","A","2018",9.448,
"PRT","HEALTHEXP","TOT","PC_GDP","A","2019",9.563,"P"
"SVK","HEALTHEXP","TOT","PC_GDP","A","2016",6.992,
"SVK","HEALTHEXP","TOT","PC_GDP","A","2017",6.769,
"SVK","HEALTHEXP","TOT","PC_GDP","A","2018",6.686,
"SVK","HEALTHEXP","TOT","PC_GDP","A","2019",6.933,"E"
"ESP","HEALTHEXP","TOT","PC_GDP","A","2016",8.952,
"ESP","HEALTHEXP","TOT","PC_GDP","A","2017",8.942,
"ESP","HEALTHEXP","TOT","PC_GDP","A","2018",8.993,
"ESP","HEALTHEXP","TOT","PC_GDP","A","2019",8.999,"E"
"SWE","HEALTHEXP","TOT","PC_GDP","A","2016",10.839,
"SWE","HEALTHEXP","TOT","PC_GDP","A","2017",10.795,
"SWE","HEALTHEXP","TOT","PC_GDP","A","2018",10.886,
"SWE","HEALTHEXP","TOT","PC_GDP","A","2019",10.882,"P"
"CHE","HEALTHEXP","TOT","PC_GDP","A","2016",11.709,
"CHE","HEALTHEXP","TOT","PC_GDP","A","2017",11.895,
"CHE","HEALTHEXP","TOT","PC_GDP","A","2018",11.876,
"CHE","HEALTHEXP","TOT","PC_GDP","A","2019",12.142,"E"
"TUR","HEALTHEXP","TOT","PC_GDP","A","2016",4.314,
"TUR","HEALTHEXP","TOT","PC_GDP","A","2017",4.211,
"TUR","HEALTHEXP","TOT","PC_GDP","A","2018",4.162,
"TUR","HEALTHEXP","TOT","PC_GDP","A","2019",4.376,"E"
"GBR","HEALTHEXP","TOT","PC_GDP","A","2016",9.867,
"GBR","HEALTHEXP","TOT","PC_GDP","A","2017",9.825,
"GBR","HEALTHEXP","TOT","PC_GDP","A","2018",9.997,
"GBR","HEALTHEXP","TOT","PC_GDP","A","2019",10.254,"E"
"USA","HEALTHEXP","TOT","PC_GDP","A","2016",17.049,
"USA","HEALTHEXP","TOT","PC_GDP","A","2017",17.004,
"USA","HEALTHEXP","TOT","PC_GDP","A","2018",16.885,
"USA","HEALTHEXP","TOT","PC_GDP","A","2019",16.96,"E"
"BRA","HEALTHEXP","TOT","PC_GDP","A","2016",9.204,
"BRA","HEALTHEXP","TOT","PC_GDP","A","2017",9.423,
"CHL","HEALTHEXP","TOT","PC_GDP","A","2016",8.519,
"CHL","HEALTHEXP","TOT","PC_GDP","A","2017",9.068,
"CHL","HEALTHEXP","TOT","PC_GDP","A","2018",9.141,
"CHL","HEALTHEXP","TOT","PC_GDP","A","2019",9.102,"P"
"CHN","HEALTHEXP","TOT","PC_GDP","A","2016",4.977,
"CHN","HEALTHEXP","TOT","PC_GDP","A","2017",5.047,
"EST","HEALTHEXP","TOT","PC_GDP","A","2016",6.5,
"EST","HEALTHEXP","TOT","PC_GDP","A","2017",6.615,
"EST","HEALTHEXP","TOT","PC_GDP","A","2018",6.663,
"EST","HEALTHEXP","TOT","PC_GDP","A","2019",6.786,"P"
"IND","HEALTHEXP","TOT","PC_GDP","A","2016",3.536,
"IND","HEALTHEXP","TOT","PC_GDP","A","2017",3.603,
"IDN","HEALTHEXP","TOT","PC_GDP","A","2016",3.119,
"IDN","HEALTHEXP","TOT","PC_GDP","A","2017",2.988,
"ISR","HEALTHEXP","TOT","PC_GDP","A","2016",7.153,
"ISR","HEALTHEXP","TOT","PC_GDP","A","2017",7.498,
"ISR","HEALTHEXP","TOT","PC_GDP","A","2018",7.517,
"ISR","HEALTHEXP","TOT","PC_GDP","A","2019",7.452,"E"
"RUS","HEALTHEXP","TOT","PC_GDP","A","2016",5.29,
"RUS","HEALTHEXP","TOT","PC_GDP","A","2017",5.359,
"RUS","HEALTHEXP","TOT","PC_GDP","A","2018",5.316,
"SVN","HEALTHEXP","TOT","PC_GDP","A","2016",8.494,
"SVN","HEALTHEXP","TOT","PC_GDP","A","2017",8.189,
"SVN","HEALTHEXP","TOT","PC_GDP","A","2018",8.299,
"SVN","HEALTHEXP","TOT","PC_GDP","A","2019",8.255,"P"
"ZAF","HEALTHEXP","TOT","PC_GDP","A","2016",8.096,
"ZAF","HEALTHEXP","TOT","PC_GDP","A","2017",8.113,
"AUS","HEALTHEXP","OOPEXP","PC_GDP","A","2016",1.687,
"AUS","HEALTHEXP","OOPEXP","PC_GDP","A","2017",1.652,"D"
"BEL","HEALTHEXP","OOPEXP","PC_GDP","A","2016",1.947,
"BEL","HEALTHEXP","OOPEXP","PC_GDP","A","2017",1.98,
"BEL","HEALTHEXP","OOPEXP","PC_GDP","A","2018",1.966,
"CAN","HEALTHEXP","OOPEXP","PC_GDP","A","2016",1.665,
"CAN","HEALTHEXP","OOPEXP","PC_GDP","A","2017",1.616,
"CAN","HEALTHEXP","OOPEXP","PC_GDP","A","2018",1.589,"P"
"CAN","HEALTHEXP","OOPEXP","PC_GDP","A","2019",1.584,"P"
"CZE","HEALTHEXP","OOPEXP","PC_GDP","A","2016",1.074,
"CZE","HEALTHEXP","OOPEXP","PC_GDP","A","2017",1.071,
"CZE","HEALTHEXP","OOPEXP","PC_GDP","A","2018",1.085,
"DNK","HEALTHEXP","OOPEXP","PC_GDP","A","2016",1.391,
"DNK","HEALTHEXP","OOPEXP","PC_GDP","A","2017",1.391,
"DNK","HEALTHEXP","OOPEXP","PC_GDP","A","2018",1.391,
"FIN","HEALTHEXP","OOPEXP","PC_GDP","A","2016",1.807,
"FIN","HEALTHEXP","OOPEXP","PC_GDP","A","2017",1.742,
"FIN","HEALTHEXP","OOPEXP","PC_GDP","A","2018",1.666,
"FRA","HEALTHEXP","OOPEXP","PC_GDP","A","2016",1.099,
"FRA","HEALTHEXP","OOPEXP","PC_GDP","A","2017",1.087,
"FRA","HEALTHEXP","OOPEXP","PC_GDP","A","2018",1.045,
"DEU","HEALTHEXP","OOPEXP","PC_GDP","A","2016",1.446,
"DEU","HEALTHEXP","OOPEXP","PC_GDP","A","2017",1.439,
"DEU","HEALTHEXP","OOPEXP","PC_GDP","A","2018",1.435,
"DEU","HEALTHEXP","OOPEXP","PC_GDP","A","2019",1.403,"P"
"GRC","HEALTHEXP","OOPEXP","PC_GDP","A","2016",2.866,
"GRC","HEALTHEXP","OOPEXP","PC_GDP","A","2017",2.795,
"GRC","HEALTHEXP","OOPEXP","PC_GDP","A","2018",2.811,
"HUN","HEALTHEXP","OOPEXP","PC_GDP","A","2016",1.95,
"HUN","HEALTHEXP","OOPEXP","PC_GDP","A","2017",1.834,
"HUN","HEALTHEXP","OOPEXP","PC_GDP","A","2018",1.802,
"ISL","HEALTHEXP","OOPEXP","PC_GDP","A","2016",1.377,
"ISL","HEALTHEXP","OOPEXP","PC_GDP","A","2017",1.372,
"ISL","HEALTHEXP","OOPEXP","PC_GDP","A","2018",1.362,
"ISL","HEALTHEXP","OOPEXP","PC_GDP","A","2019",1.359,"P"
"IRL","HEALTHEXP","OOPEXP","PC_GDP","A","2016",0.939,
"IRL","HEALTHEXP","OOPEXP","PC_GDP","A","2017",0.901,
"IRL","HEALTHEXP","OOPEXP","PC_GDP","A","2018",0.837,
"IRL","HEALTHEXP","OOPEXP","PC_GDP","A","2019",0.803,"P"
"ITA","HEALTHEXP","OOPEXP","PC_GDP","A","2016",2.035,
"ITA","HEALTHEXP","OOPEXP","PC_GDP","A","2017",2.066,
"ITA","HEALTHEXP","OOPEXP","PC_GDP","A","2018",2.041,
"ITA","HEALTHEXP","OOPEXP","PC_GDP","A","2019",2,"P"
"JPN","HEALTHEXP","OOPEXP","PC_GDP","A","2016",1.393,
"JPN","HEALTHEXP","OOPEXP","PC_GDP","A","2017",1.366,
"JPN","HEALTHEXP","OOPEXP","PC_GDP","A","2018",1.396,"P"
"KOR","HEALTHEXP","OOPEXP","PC_GDP","A","2016",2.284,
"KOR","HEALTHEXP","OOPEXP","PC_GDP","A","2017",2.319,
"KOR","HEALTHEXP","OOPEXP","PC_GDP","A","2018",2.458,
"KOR","HEALTHEXP","OOPEXP","PC_GDP","A","2019",2.529,"P"
"LUX","HEALTHEXP","OOPEXP","PC_GDP","A","2016",0.558,
"LUX","HEALTHEXP","OOPEXP","PC_GDP","A","2017",0.561,
"LUX","HEALTHEXP","OOPEXP","PC_GDP","A","2018",0.552,
"MEX","HEALTHEXP","OOPEXP","PC_GDP","A","2016",2.206,"B"
"MEX","HEALTHEXP","OOPEXP","PC_GDP","A","2017",2.278,
"MEX","HEALTHEXP","OOPEXP","PC_GDP","A","2018",2.26,
"NLD","HEALTHEXP","OOPEXP","PC_GDP","A","2016",1.158,
"NLD","HEALTHEXP","OOPEXP","PC_GDP","A","2017",1.112,
"NLD","HEALTHEXP","OOPEXP","PC_GDP","A","2018",1.077,
"NLD","HEALTHEXP","OOPEXP","PC_GDP","A","2019",1.041,"P"
"NZL","HEALTHEXP","OOPEXP","PC_GDP","A","2016",1.259,"P"
"NZL","HEALTHEXP","OOPEXP","PC_GDP","A","2017",1.225,"P"
"NZL","HEALTHEXP","OOPEXP","PC_GDP","A","2018",1.189,"P"
"NOR","HEALTHEXP","OOPEXP","PC_GDP","A","2016",1.511,
"NOR","HEALTHEXP","OOPEXP","PC_GDP","A","2017",1.497,
"NOR","HEALTHEXP","OOPEXP","PC_GDP","A","2018",1.438,"P"
"NOR","HEALTHEXP","OOPEXP","PC_GDP","A","2019",1.499,"P"
"POL","HEALTHEXP","OOPEXP","PC_GDP","A","2016",1.493,
"POL","HEALTHEXP","OOPEXP","PC_GDP","A","2017",1.492,
"POL","HEALTHEXP","OOPEXP","PC_GDP","A","2018",1.293,
"POL","HEALTHEXP","OOPEXP","PC_GDP","A","2019",1.302,"P"
"PRT","HEALTHEXP","OOPEXP","PC_GDP","A","2016",2.793,"B"
"PRT","HEALTHEXP","OOPEXP","PC_GDP","A","2017",2.786,
"PRT","HEALTHEXP","OOPEXP","PC_GDP","A","2018",2.789,
"PRT","HEALTHEXP","OOPEXP","PC_GDP","A","2019",2.845,"P"
"SVK","HEALTHEXP","OOPEXP","PC_GDP","A","2016",1.272,
"SVK","HEALTHEXP","OOPEXP","PC_GDP","A","2017",1.267,
"SVK","HEALTHEXP","OOPEXP","PC_GDP","A","2018",1.264,
"ESP","HEALTHEXP","OOPEXP","PC_GDP","A","2016",1.966,
"ESP","HEALTHEXP","OOPEXP","PC_GDP","A","2017",1.978,
"ESP","HEALTHEXP","OOPEXP","PC_GDP","A","2018",1.993,
"SWE","HEALTHEXP","OOPEXP","PC_GDP","A","2016",1.57,
"SWE","HEALTHEXP","OOPEXP","PC_GDP","A","2017",1.52,
"SWE","HEALTHEXP","OOPEXP","PC_GDP","A","2018",1.5,
"SWE","HEALTHEXP","OOPEXP","PC_GDP","A","2019",1.484,"P"
"CHE","HEALTHEXP","OOPEXP","PC_GDP","A","2016",3.111,
"CHE","HEALTHEXP","OOPEXP","PC_GDP","A","2017",3.141,
