"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","GFCFSECTOR","HH","PC_GFCF","A","2018",14.1793057879295,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2018",20.7580097241951,
"SVK","GFCFSECTOR","HH","PC_GFCF","A","2019",20.1302784475713,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","2018",20.3020763783482,
"SVN","GFCFSECTOR","HH","PC_GFCF","A","2019",19.8047776441359,
"ITA","GFCFSECTOR","HH","PC_GFCF","A","2018",29.3136933317798,
"ITA","GFCFSECTOR","HH","PC_GFCF","A","2019",29.4817642670541,
"EST","GFCFSECTOR","HH","PC_GFCF","A","2018",20.1047580215162,
"EST","GFCFSECTOR","HH","PC_GFCF","A","2019",20.3050576054064,
"CZE","GFCFSECTOR","HH","PC_GFCF","A","2018",18.5110721955498,
"CZE","GFCFSECTOR","HH","PC_GFCF","A","2019",19.2183495541219,
"AUT","GFCFSECTOR","HH","PC_GFCF","A","2018",22.0908983698363,
"AUT","GFCFSECTOR","HH","PC_GFCF","A","2019",21.9928242512185,
"GRC","GFCFSECTOR","HH","PC_GFCF","A","2018",18.5083239727477,"E"
"GRC","GFCFSECTOR","HH","PC_GFCF","A","2019",19.7347853808016,"E"
"NZL","GFCFSECTOR","HH","PC_GFCF","A","2018",55.0242421999334,"E"
"DNK","GFCFSECTOR","HH","PC_GFCF","A","2018",20.1551168412571,
"DNK","GFCFSECTOR","HH","PC_GFCF","A","2019",21.2629549853281,
"GBR","GFCFSECTOR","HH","PC_GFCF","A","2018",25.6265590204827,
"GBR","GFCFSECTOR","HH","PC_GFCF","A","2019",25.8294740531204,
"DEU","GFCFSECTOR","HH","PC_GFCF","A","2018",29.4318106514883,
"DEU","GFCFSECTOR","HH","PC_GFCF","A","2019",29.9440096472394,
"PRT","GFCFSECTOR","HH","PC_GFCF","A","2018",21.5619093403124,
"PRT","GFCFSECTOR","HH","PC_GFCF","A","2019",21.9617033870801,"E"
"AUS","GFCFSECTOR","HH","PC_GFCF","A","2018",35.1608992726471,
"AUS","GFCFSECTOR","HH","PC_GFCF","A","2019",33.8883184688584,
"CHE","GFCFSECTOR","HH","PC_GFCF","A","2018",15.4182563862738,"E"
"CHE","GFCFSECTOR","HH","PC_GFCF","A","2019",14.7851320050727,"E"
"NLD","GFCFSECTOR","HH","PC_GFCF","A","2018",29.7103603575111,
"NLD","GFCFSECTOR","HH","PC_GFCF","A","2019",30.2958865131482,"E"
"RUS","GFCFSECTOR","HH","PC_GFCF","A","2018",14.9582742641651,
"USA","GFCFSECTOR","HH","PC_GFCF","A","2018",30.7541776223825,
"MEX","GFCFSECTOR","HH","PC_GFCF","A","2018",26.2149691302414,
"MEX","GFCFSECTOR","HH","PC_GFCF","A","2019",27.3778352885486,
"FRA","GFCFSECTOR","HH","PC_GFCF","A","2018",25.8699760708038,"E"
"FRA","GFCFSECTOR","HH","PC_GFCF","A","2019",25.3229825369572,"E"
"ZAF","GFCFSECTOR","HH","PC_GFCF","A","2018",11.0321464690724,
"ZAF","GFCFSECTOR","HH","PC_GFCF","A","2019",10.7263063485641,
"NOR","GFCFSECTOR","HH","PC_GFCF","A","2018",24.9446291121936,
"HUN","GFCFSECTOR","HH","PC_GFCF","A","2018",16.8664128994901,
"HUN","GFCFSECTOR","HH","PC_GFCF","A","2019",16.2246101070807,"E"
"SWE","GFCFSECTOR","HH","PC_GFCF","A","2018",13.5076290355747,
"SWE","GFCFSECTOR","HH","PC_GFCF","A","2019",12.9943874739732,
"POL","GFCFSECTOR","HH","PC_GFCF","A","2018",19.038912877167,"E"
"CAN","GFCFSECTOR","HH","PC_GFCF","A","2018",37.7055954545003,
"CAN","GFCFSECTOR","HH","PC_GFCF","A","2019",36.3796850329474,
"KOR","GFCFSECTOR","HH","PC_GFCF","A","2018",20.2481775523286,
"FIN","GFCFSECTOR","HH","PC_GFCF","A","2018",29.846694346854,
"FIN","GFCFSECTOR","HH","PC_GFCF","A","2019",30.3173167252357,
"IRL","GFCFSECTOR","HH","PC_GFCF","A","2018",7.95737746265309,
"IRL","GFCFSECTOR","HH","PC_GFCF","A","2019",4.44291960494405,
"LUX","GFCFSECTOR","HH","PC_GFCF","A","2018",25.7804762093419,
"CHL","GFCFSECTOR","HH","PC_GFCF","A","2018",20.4262071232657,
"ESP","GFCFSECTOR","HH","PC_GFCF","A","2018",17.2533873893097,
"ESP","GFCFSECTOR","HH","PC_GFCF","A","2019",17.0332513908656,
"BEL","GFCFSECTOR","HH","PC_GFCF","A","2018",23.1266594327142,
"BEL","GFCFSECTOR","HH","PC_GFCF","A","2019",23.9478553011547,
"EA","GFCFSECTOR","HH","PC_GFCF","A","2018",25.4597711895667,
"EA","GFCFSECTOR","HH","PC_GFCF","A","2019",24.9324194230945,
"EU","GFCFSECTOR","HH","PC_GFCF","A","2018",24.3375005233839,
"EU","GFCFSECTOR","HH","PC_GFCF","A","2019",23.8426478909167,
"LVA","GFCFSECTOR","HH","PC_GFCF","A","2018",16.3734974398674,
"LVA","GFCFSECTOR","HH","PC_GFCF","A","2019",15.8276421474656,
"COL","GFCFSECTOR","HH","PC_GFCF","A","2018",27.7161778259176,"E"
"LTU","GFCFSECTOR","HH","PC_GFCF","A","2018",19.9083168390566,
"LTU","GFCFSECTOR","HH","PC_GFCF","A","2019",20.7959401256374,
