"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","BENUNEMPPC","1YEAR","PC_PWI","A","2016",32,
"AUS","BENUNEMPPC","1YEAR","PC_PWI","A","2017",31,
"AUS","BENUNEMPPC","1YEAR","PC_PWI","A","2018",31,
"AUS","BENUNEMPPC","1YEAR","PC_PWI","A","2019",31,
"AUS","BENUNEMPPC","2MTH","PC_PWI","A","2016",32,
"AUS","BENUNEMPPC","2MTH","PC_PWI","A","2017",31,
"AUS","BENUNEMPPC","2MTH","PC_PWI","A","2018",31,
"AUS","BENUNEMPPC","2MTH","PC_PWI","A","2019",31,
"AUS","BENUNEMPPC","2YEAR","PC_PWI","A","2016",32,
"AUS","BENUNEMPPC","2YEAR","PC_PWI","A","2017",31,
"AUS","BENUNEMPPC","2YEAR","PC_PWI","A","2018",31,
"AUS","BENUNEMPPC","2YEAR","PC_PWI","A","2019",31,
"AUS","BENUNEMPPC","5YEAR","PC_PWI","A","2016",32,
"AUS","BENUNEMPPC","5YEAR","PC_PWI","A","2017",31,
"AUS","BENUNEMPPC","5YEAR","PC_PWI","A","2018",31,
"AUS","BENUNEMPPC","5YEAR","PC_PWI","A","2019",31,
"AUS","BENUNEMPPC","6MTH","PC_PWI","A","2016",32,
"AUS","BENUNEMPPC","6MTH","PC_PWI","A","2017",31,
"AUS","BENUNEMPPC","6MTH","PC_PWI","A","2018",31,
"AUS","BENUNEMPPC","6MTH","PC_PWI","A","2019",31,
"AUT","BENUNEMPPC","1YEAR","PC_PWI","A","2016",51,
"AUT","BENUNEMPPC","1YEAR","PC_PWI","A","2017",51,
"AUT","BENUNEMPPC","1YEAR","PC_PWI","A","2018",51,
"AUT","BENUNEMPPC","1YEAR","PC_PWI","A","2019",51,
"AUT","BENUNEMPPC","2MTH","PC_PWI","A","2016",55,
"AUT","BENUNEMPPC","2MTH","PC_PWI","A","2017",55,
"AUT","BENUNEMPPC","2MTH","PC_PWI","A","2018",55,
"AUT","BENUNEMPPC","2MTH","PC_PWI","A","2019",55,
"AUT","BENUNEMPPC","2YEAR","PC_PWI","A","2016",51,
"AUT","BENUNEMPPC","2YEAR","PC_PWI","A","2017",51,
"AUT","BENUNEMPPC","2YEAR","PC_PWI","A","2018",51,
"AUT","BENUNEMPPC","2YEAR","PC_PWI","A","2019",51,
"AUT","BENUNEMPPC","5YEAR","PC_PWI","A","2016",51,
"AUT","BENUNEMPPC","5YEAR","PC_PWI","A","2017",51,
"AUT","BENUNEMPPC","5YEAR","PC_PWI","A","2018",51,
"AUT","BENUNEMPPC","5YEAR","PC_PWI","A","2019",51,
"AUT","BENUNEMPPC","6MTH","PC_PWI","A","2016",55,
"AUT","BENUNEMPPC","6MTH","PC_PWI","A","2017",55,
