Country,Date,Open,High,Low,Close,Adj Close,Volume
DEU,1/2/19,10477.76953,10612.71973,10386.96973,10580.19043,10580.19043,79626700
DEU,1/3/19,10467.11035,10538.66016,10400.11035,10416.66016,10416.66016,84733800
DEU,1/4/19,10533.94043,10786.33984,10483.90039,10767.69043,10767.69043,95339500
DEU,1/7/19,10814.38965,10814.46973,10681.26953,10747.80957,10747.80957,71151400
DEU,1/8/19,10750.19043,10910.70996,10745.03027,10803.98047,10803.98047,93672200
DEU,1/9/19,10884.75,10961.91992,10839.08984,10893.32031,10893.32031,96071900
DEU,1/10/19,10843.88965,10927.12988,10788.04981,10921.58984,10921.58984,77255600
DEU,1/11/19,10949.12988,10959,10829.91992,10887.45996,10887.45996,75537200
DEU,1/14/19,10820.84961,10886.23047,10786.75,10855.91016,10855.91016,65945800
DEU,1/15/19,10962.9502,10994.83008,10812.58984,10891.79004,10891.79004,80197500
DEU,1/16/19,10940.36035,10947.87012,10866.38965,10931.24023,10931.24023,79810600
DEU,1/17/19,10852.5,10929.29981,10822.25,10918.62012,10918.62012,79327000
DEU,1/18/19,11001.30957,11216.82031,10993.83008,11205.54004,11205.54004,119133600
DEU,1/21/19,11176.12012,11179.91016,11125.53027,11136.2002,11136.2002,65955200
DEU,1/22/19,11076.98047,11142.21973,11034.54981,11090.11035,11090.11035,73446100
DEU,1/23/19,11043.63965,11135.75,11007.20996,11071.54004,11071.54004,87752900
DEU,1/24/19,11045.63965,11149.32031,11032.53027,11130.17969,11130.17969,110548100
DEU,1/25/19,11234.04981,11321.62012,11218.34961,11281.79004,11281.79004,99999800
DEU,1/28/19,11233.16016,11275.20996,11196.41992,11210.30957,11210.30957,73121100
DEU,1/29/19,11191.51953,11276.28027,11159.16992,11218.83008,11218.83008,75129000
DEU,1/30/19,11210.67969,11215.20996,11132.37988,11181.66016,11181.66016,73630500
DEU,1/31/19,11257.91992,11311.37012,11051.11035,11173.09961,11173.09961,111945200
DEU,2/1/19,11198.45996,11218.50977,11116.08008,11180.66016,11180.66016,101700800
DEU,2/4/19,11180.41992,11209.30957,11100.33984,11176.58008,11176.58008,74165400
DEU,2/5/19,11178.75,11371.74023,11177.7002,11367.98047,11367.98047,89418800
DEU,2/6/19,11337.54004,11347.94043,11297.41992,11324.71973,11324.71973,75894800
DEU,2/7/19,11262.96973,11286.45996,11022.01953,11022.01953,11022.01953,108021800
DEU,2/8/19,10991.79004,11045.41016,10863.55957,10906.78027,10906.78027,102300800
DEU,2/11/19,10955.83008,11041.9502,10944.58008,11014.58984,11014.58984,69553100
DEU,2/12/19,11123.42969,11164.37988,11116.86035,11126.08008,11126.08008,74843600
DEU,2/13/19,11174.84961,11217.29981,11125.58984,11167.21973,11167.21973,69772400
DEU,2/14/19,11257.79981,11260.54981,11077.78027,11089.79004,11089.79004,83384200
DEU,2/15/19,11044.79981,11323.04981,11018.9502,11299.79981,11299.79981,105640900
DEU,2/18/19,11287.74023,11318.19043,11256.26953,11299.2002,11299.2002,55484300
DEU,2/19/19,11280.73047,11371.44043,11244.51953,11309.20996,11309.20996,67147500
DEU,2/20/19,11338.74023,11437.46973,11318.74023,11401.96973,11401.96973,71844800
DEU,2/21/19,11448.65039,11454.44043,11392.26953,11423.28027,11423.28027,77779400
DEU,2/22/19,11422.62012,11504.70996,11420.74023,11457.7002,11457.7002,66893800
DEU,2/25/19,11517.75977,11544.30957,11480.49023,11505.38965,11505.38965,69949900
DEU,2/26/19,11446.29004,11556.87012,11441.87012,11540.79004,11540.79004,74034400
DEU,2/27/19,11493.80957,11521.21973,11442.96973,11487.33008,11487.33008,84265200
DEU,2/28/19,11430.79981,11524.99023,11416.08008,11515.63965,11515.63965,84129900
DEU,3/1/19,11584.24023,11676.86035,11583.08008,11601.67969,11601.67969,72715100
DEU,3/4/19,11646.20996,11650.44043,11591.74023,11592.66016,11592.66016,58412600
DEU,3/5/19,11570.96973,11627.78027,11551.4502,11620.74023,11620.74023,63643000
DEU,3/6/19,11593.20996,11652.76953,11565.21973,11587.62988,11587.62988,65204400
DEU,3/7/19,11546.41992,11612.9502,11452.86035,11517.79981,11517.79981,99533100
DEU,3/8/19,11429.76953,11475.54981,11405.20996,11457.83984,11457.83984,81946100
DEU,3/11/19,11497.98047,11550.58984,11462.90039,11543.48047,11543.48047,71575600
DEU,3/12/19,11612.45996,11618.73047,11499.46973,11524.16992,11524.16992,87365300
DEU,3/13/19,11499.32031,11586.90039,11486.74023,11572.41016,11572.41016,78369100
DEU,3/14/19,11573.41992,11635.75977,11541.09961,11587.46973,11587.46973,87594200
DEU,3/15/19,11608.66992,11725.66016,11575.33008,11685.69043,11685.69043,187987500
DEU,3/18/19,11685.54004,11712.36035,11635.87988,11657.05957,11657.05957,91113700
DEU,3/19/19,11672.75977,11823.29004,11652.01953,11788.41016,11788.41016,81542500
DEU,3/20/19,11704.44043,11721.41016,11596.2002,11603.88965,11603.88965,100826500
DEU,3/21/19,11566.87012,11582.54004,11467.79004,11549.95996,11549.95996,91619300
DEU,3/22/19,11578.38965,11623.96973,11356.49023,11364.16992,11364.16992,112187500
DEU,3/25/19,11323.2002,11392,11312.54004,11346.65039,11346.65039,75056300
DEU,3/26/19,11374.17969,11447.12988,11299.79981,11419.48047,11419.48047,79984300
DEU,3/27/19,11439.01953,11502.34961,11368.12988,11419.04004,11419.04004,102107000
DEU,3/28/19,11422.16016,11494.15039,11414.66016,11428.16016,11428.16016,89405300
DEU,3/29/19,11492.08984,11549.41992,11442.12012,11526.04004,11526.04004,89325500
DEU,4/1/19,11617.17969,11706.63965,11612.7002,11681.99023,11681.99023,96979200
DEU,4/2/19,11703.24023,11777.65039,11659.15039,11754.79004,11754.79004,77384300
DEU,4/3/19,11855.40039,11961.36035,11854.20996,11954.40039,11954.40039,93396300
DEU,4/4/19,11924.61035,12029.25977,11916.57031,11988.00977,11988.00977,77816900
DEU,4/5/19,11993.21973,12024.23047,11967.7002,12009.75,12009.75,72712300
DEU,4/8/19,11979.73047,11989.58984,11948.25977,11963.40039,11963.40039,63676500
DEU,4/9/19,11927.00977,11988.53027,11850.57031,11850.57031,11850.57031,65890100
DEU,4/10/19,11864.45996,11937.11035,11863.79981,11905.91016,11905.91016,68624100
DEU,4/11/19,11914.50977,11963.42969,11846.59961,11935.2002,11935.2002,78550400
DEU,4/12/19,11912.58008,12031.15039,11889.99023,11999.92969,11999.92969,92887200
DEU,4/15/19,12011.11035,12029.98047,11983.33008,12020.28027,12020.28027,65121600
DEU,4/16/19,12026.74023,12116.25,12025.66016,12101.32031,12101.32031,83377900
DEU,4/17/19,12100.44043,12195,12086.88965,12153.07031,12153.07031,102282300
DEU,4/18/19,12138.13965,12243.62988,12100,12222.38965,12222.38965,108852300
DEU,4/23/19,12224.32031,12251.80957,12182.98047,12235.50977,12235.50977,77350700
DEU,4/24/19,12232.99023,12349.83008,12223.98047,12313.16016,12313.16016,106440300
DEU,4/25/19,12304.53027,12321.79004,12236.13965,12282.59961,12282.59961,96274900
DEU,4/26/19,12284.45996,12323.63965,12259.75977,12315.17969,12315.17969,90044700
DEU,4/29/19,12308.98047,12376.05957,12266.33984,12328.01953,12328.01953,70678500
DEU,4/30/19,12313.96973,12345.30957,12281.71973,12344.08008,12344.08008,82443700
DEU,5/2/19,12349.09961,12402.87012,12303.95996,12345.41992,12345.41992,96355900
DEU,5/3/19,12345.32031,12435.66992,12344.23047,12412.75,12412.75,79121200
DEU,5/6/19,12171.90039,12298.66016,12135.41992,12286.87988,12286.87988,88426500
DEU,5/7/19,12298.70996,12319.04981,12056.79981,12092.74023,12092.74023,109809200
DEU,5/8/19,12110.87012,12208.48047,12063.74023,12179.92969,12179.92969,101037000
DEU,5/9/19,12098.01953,12125.95996,11957.30957,11973.91992,11973.91992,109425400
DEU,5/10/19,12105.28027,12140.61035,12009.75,12059.83008,12059.83008,142098700
DEU,5/13/19,12044.09961,12052.92969,11844.46973,11876.65039,11876.65039,110572100
DEU,5/14/19,11908.76953,11991.83008,11897.92969,11991.62012,11991.62012,106200000
