Country,Date,Open,High,Low,Close,Adj Close,Volume
ITA,12/3/19,22845,22987,22581,22737,22737,367761300
ITA,12/4/19,22737,23036,22733,23034,23034,324496600
ITA,12/5/19,23049,23191,22946,22969,22969,298652300
ITA,12/6/19,23055,23220,22940,23183,23183,294138000
ITA,12/9/19,23215,23233,22856,22957,22957,302722800
ITA,12/10/19,22936,23141,22790,23123,23123,298165100
ITA,12/11/19,23101,23203,23038,23156,23156,283415000
ITA,12/12/19,23229,23488,23161,23391,23391,413347000
ITA,12/13/19,23714,23728,23272,23329,23329,478941300
ITA,12/16/19,23436,23550,23388,23525,23525,276509700
ITA,12/17/19,23536,23717,23482,23631,23631,343983200
ITA,12/18/19,23646,23738,23627,23629,23629,311229600
ITA,12/19/19,23647,23710,23583,23709,23709,374666200
ITA,12/20/19,23842,24004,23837,24004,24004,793556100
ITA,12/23/19,23919,23941,23845,23898,23898,229767000
ITA,12/27/19,23868,23899,23732,23758,23758,274188700
ITA,12/30/19,23712,23736,23506,23506,23506,212207400
ITA,1/2/20,23607,23862,23572,23836,23836,264537200
ITA,1/3/20,23710,23760,23517,23702,23702,325924900
ITA,1/6/20,23566,23608,23265,23581,23581,349155800
ITA,1/7/20,23688,23794,23636,23723,23723,306340300
ITA,1/8/20,23551,23893,23481,23832,23832,472506700
ITA,1/9/20,23980,24078,23964,24017,24017,430637300
ITA,1/10/20,24061,24147,23966,24021,24021,326014300
ITA,1/13/20,24061,24061,23829,23897,23897,340838600
ITA,1/14/20,23932,23948,23706,23928,23928,350706400
ITA,1/15/20,23903,23932,23719,23764,23764,341178900
ITA,1/16/20,23862,23961,23760,23940,23940,361875400
ITA,1/17/20,24043,24169,24011,24141,24141,319934800
ITA,1/20/20,24033,24085,23973,24002,24002,218203400
ITA,1/21/20,23858,23860,23645,23845,23845,332896600
ITA,1/22/20,23888,23907,23680,23706,23706,424389000
ITA,1/23/20,23716,23901,23611,23707,23707,379431100
ITA,1/24/20,23848,24083,23848,23969,23969,368587000
ITA,1/27/20,23713,23978,23384,23416,23416,506925600
ITA,1/28/20,23545,24028,23429,24028,24028,428294600
ITA,1/29/20,24053,24198,23969,24165,24165,356515300
ITA,1/30/20,23892,23983,23688,23781,23781,454729400
ITA,1/31/20,23863,23873,23208,23237,23237,557656600
ITA,2/3/20,23297,23466,23219,23460,23460,363184200
ITA,2/4/20,23573,23901,23542,23845,23845,479889400
ITA,2/5/20,23816,24270,23746,24237,24237,564241000
ITA,2/6/20,24348,24514,24338,24490,24490,531888100
ITA,2/7/20,24465,24523,24372,24478,24478,411437000
ITA,2/10/20,24437,24585,24389,24508,24508,297204400
ITA,2/11/20,24617,24763,24534,24689,24689,405685400
ITA,2/12/20,24738,24902,24735,24861,24861,462480100
ITA,2/13/20,24769,24892,24588,24892,24892,526068000
ITA,2/14/20,24942,24983,24832,24867,24867,341383900
ITA,2/17/20,24962,25121,24903,25121,25121,0
ITA,2/18/20,24986,25389,24970,25224,25224,737036300
ITA,2/19/20,25353,25483,25272,25478,25478,464703000
ITA,2/20/20,25415,25420,25080,25080,25080,445153900
ITA,2/21/20,24979,25130,24670,24773,24773,638705500
ITA,2/24/20,23919,24005,23255,23427,23427,977128300
ITA,2/25/20,23586,23630,23046,23090,23090,664950800
ITA,2/26/20,22961,23600,22638,23423,23423,737757000
ITA,2/27/20,22969,23078,22480,22799,22799,781145900
ITA,2/28/20,22059,22335,21698,21984,21984,1052025600
ITA,3/2/20,22333,22361,21119,21655,21655,924414500
ITA,3/3/20,22116,22340,21651,21748,21748,799970700
ITA,3/4/20,21740,22204,21500,21946,21946,724365300
ITA,3/5/20,22012,22035,21362,21555,21555,772854700
ITA,3/6/20,20987,21151,20624,20800,20800,864917500
ITA,3/9/20,20781,20781,18346,18476,18476,1272046600
