Country,Date,Open,High,Low,Close,Adj Close,Volume
JPN,1/4/19,19655.13,19692.58,19241.37,19561.96,19561.96,91600000
JPN,1/7/19,19944.61,20266.22,19920.8,20038.97,20038.97,81500000
JPN,1/8/19,20224.67,20347.92,20106.36,20204.04,20204.04,86400000
JPN,1/9/19,20366.3,20494.35,20331.2,20427.06,20427.06,72800000
JPN,1/10/19,20270.88,20345.92,20101.93,20163.8,20163.8,73700000
JPN,1/11/19,20296.45,20389.89,20294.74,20359.7,20359.7,77700000
JPN,1/15/19,20264.82,20571.28,20204.43,20555.29,20555.29,78300000
JPN,1/16/19,20575.72,20580.25,20323.32,20442.75,20442.75,69500000
JPN,1/17/19,20544.23,20571.75,20342.46,20402.27,20402.27,63600000
JPN,1/18/19,20472.81,20682.12,20454.13,20666.07,20666.07,64700000
JPN,1/21/19,20848.38,20892.68,20678.26,20719.33,20719.33,61200000
JPN,1/22/19,20770.06,20805.93,20558.3,20622.91,20622.91,57100000
JPN,1/23/19,20453.44,20686.29,20438.22,20593.72,20593.72,0
JPN,1/24/19,20506.24,20620.72,20467.59,20574.63,20574.63,61400000
JPN,1/25/19,20598.64,20844.31,20598.64,20773.56,20773.56,68400000
JPN,1/28/19,20746.29,20759.48,20624.55,20649,20649,56800000
JPN,1/29/19,20555.44,20673.66,20406.22,20664.64,20664.64,63100000
JPN,1/30/19,20701.62,20706.27,20527.53,20556.54,20556.54,72100000
JPN,1/31/19,20832.91,20869.42,20682.91,20773.49,20773.49,75700000
JPN,2/1/19,20797.03,20929.63,20741.98,20788.39,20788.39,82200000
JPN,2/4/19,20831.9,20922.58,20823.68,20883.77,20883.77,66600000
JPN,2/5/19,20960.47,20981.23,20823.18,20844.45,20844.45,65500000
JPN,2/6/19,20928.87,20971.66,20860.99,20874.06,20874.06,68900000
JPN,2/7/19,20812.22,20844.77,20665.51,20751.28,20751.28,70600000
JPN,2/8/19,20510.5,20562.39,20315.31,20333.17,20333.17,86200000
JPN,2/12/19,20442.55,20885.88,20428.57,20864.21,20864.21,84100000
JPN,2/13/19,21029.93,21213.74,20992.88,21144.48,21144.48,78600000
JPN,2/14/19,21147.89,21235.62,21102.16,21139.71,21139.71,64500000
JPN,2/15/19,21051.51,21051.51,20853.33,20900.63,20900.63,65600000
JPN,2/18/19,21217.32,21306.36,21189.97,21281.85,21281.85,61800000
JPN,2/19/19,21256.58,21344.17,21217.16,21302.65,21302.65,53600000
JPN,2/20/19,21346.04,21494.85,21315.39,21431.49,21431.49,59700000
JPN,2/21/19,21422.31,21553.35,21318.74,21464.23,21464.23,68400000
JPN,2/22/19,21376.36,21451.23,21348.67,21425.51,21425.51,52400000
JPN,2/25/19,21567.66,21590.03,21505.07,21528.23,21528.23,51800000
JPN,2/26/19,21556.02,21610.88,21405.84,21449.39,21449.39,56400000
JPN,2/27/19,21504.61,21578.81,21492.65,21556.51,21556.51,67700000
JPN,2/28/19,21536.55,21536.55,21364.09,21385.16,21385.16,71500000
JPN,3/1/19,21490.02,21641.58,21490.02,21602.69,21602.69,62600000
JPN,3/4/19,21812.81,21860.39,21740.92,21822.04,21822.04,59100000
JPN,3/5/19,21712.8,21798.38,21659.04,21726.28,21726.28,59200000
JPN,3/6/19,21659.03,21684.6,21550.45,21596.81,21596.81,57100000
JPN,3/7/19,21456.88,21472.16,21402.12,21456.01,21456.01,75200000
JPN,3/8/19,21339.17,21359.32,20993.07,21025.56,21025.56,99800000
JPN,3/11/19,21062.75,21145.94,20938,21125.09,21125.09,55600000
JPN,3/12/19,21361.61,21568.48,21348.81,21503.69,21503.69,67800000
JPN,3/13/19,21425.77,21474.17,21198.99,21290.24,21290.24,66200000
JPN,3/14/19,21474.58,21522.75,21287.02,21287.02,21287.02,64100000
JPN,3/15/19,21376.73,21521.68,21374.85,21450.85,21450.85,83200000
JPN,3/18/19,21576.36,21612.67,21500.32,21584.5,21584.5,55200000
JPN,3/19/19,21558.43,21585.55,21425.79,21566.85,21566.85,59900000
JPN,3/20/19,21548.65,21614.17,21499.16,21608.92,21608.92,65300000
JPN,3/22/19,21713.26,21713.26,21542.03,21627.34,21627.34,78900000
JPN,3/25/19,21267.41,21275.43,20911.57,20977.11,20977.11,77700000
JPN,3/26/19,21174.34,21460.99,21174.34,21428.39,21428.39,101300000
JPN,3/27/19,21353.61,21388.59,21242.52,21378.73,21378.73,76000000
JPN,3/28/19,21191.32,21191.32,20974.19,21033.76,21033.76,71100000
JPN,3/29/19,21228.51,21267.25,21149.42,21205.81,21205.81,61600000
JPN,4/1/19,21500.89,21682.94,21471.12,21509.03,21509.03,77400000
JPN,4/2/19,21744.64,21744.64,21490.56,21505.31,21505.31,71000000
JPN,4/3/19,21563.64,21722.72,21489.95,21713.21,21713.21,68500000
JPN,4/4/19,21724.69,21787.6,21662.9,21724.95,21724.95,57900000
JPN,4/5/19,21743.14,21839.18,21731.34,21807.5,21807.5,58500000
JPN,4/8/19,21900.55,21900.55,21740.53,21761.65,21761.65,54600000
JPN,4/9/19,21750.29,21811.88,21698.42,21802.59,21802.59,54300000
JPN,4/10/19,21579.68,21687.57,21571.67,21687.57,21687.57,58700000
JPN,4/11/19,21662.65,21721.42,21627.87,21711.38,21711.38,61200000
JPN,4/12/19,21782.35,21878.78,21698.71,21870.56,21870.56,61600000
JPN,4/15/19,22122.97,22211.03,22102.93,22169.11,22169.11,66100000
JPN,4/16/19,22108.15,22261.33,22095.32,22221.66,22221.66,57300000
JPN,4/17/19,22236.41,22345.19,22185.87,22277.97,22277.97,75400000
JPN,4/18/19,22274.13,22305.63,22058.39,22090.12,22090.12,67300000
JPN,4/19/19,22238.07,22250.37,22162.23,22200.56,22200.56,0
JPN,4/22/19,22188.62,22280.19,22099.38,22217.9,22217.9,42900000
JPN,4/23/19,22241.74,22268.37,22119.94,22259.74,22259.74,52000000
JPN,4/24/19,22356.83,22362.92,22125.48,22200,22200,67900000
JPN,4/25/19,22183.32,22334.69,22155.23,22307.58,22307.58,63300000
JPN,4/26/19,22167.48,22270.29,22073.1,22258.73,22258.73,71900000
JPN,5/7/19,22184.4,22190.49,21875.11,21923.72,21923.72,90700000
JPN,5/8/19,21628.04,21639.12,21514.85,21602.59,21602.59,85700000
JPN,5/9/19,21492.91,21559.76,21315.07,21402.13,21402.13,96900000
JPN,5/10/19,21431.81,21584.09,21175.33,21344.92,21344.92,98500000
JPN,5/13/19,21180.74,21277.66,21127.93,21191.28,21191.28,74500000
JPN,5/14/19,20870.77,21077.48,20751.45,21067.23,21067.23,90200000
JPN,5/15/19,21112.85,21191.53,20968.08,21188.56,21188.56,84100000
JPN,5/16/19,21153.2,21153.2,20951.67,21062.98,21062.98,82500000
JPN,5/17/19,21246.86,21398.85,21199.98,21250.09,21250.09,75800000
JPN,5/20/19,21305.97,21430.06,21282.65,21301.73,21301.73,65100000
JPN,5/21/19,21211.26,21318.8,21160.43,21272.45,21272.45,70100000
JPN,5/22/19,21373.52,21404.54,21266.98,21283.37,21283.37,64500000
JPN,5/23/19,21180.24,21209.56,21072.72,21151.14,21151.14,63900000
JPN,5/24/19,20980.79,21117.22,20922,21117.22,21117.22,67700000
JPN,5/27/19,21148.46,21232.38,21113.76,21182.58,21182.58,41600000
JPN,5/28/19,21187.17,21297.7,21177.27,21260.14,21260.14,98500000
JPN,5/29/19,21055.42,21071.73,20884.61,21003.37,21003.37,70000000
JPN,5/30/19,20881.5,20942.53,20809.29,20942.53,20942.53,58700000
JPN,5/31/19,20785.21,20823.1,20581.58,20601.19,20601.19,79100000
JPN,6/3/19,20327.87,20438.03,20305.74,20410.88,20410.88,67400000
JPN,6/4/19,20435.86,20464.57,20289.64,20408.54,20408.54,69200000
JPN,6/5/19,20667.89,20800.64,20646.15,20776.1,20776.1,72300000
JPN,6/6/19,20745.84,20842.28,20745.84,20774.04,20774.04,59600000
JPN,6/7/19,20859.78,20907.77,20816.58,20884.71,20884.71,50700000
JPN,6/10/19,21095.4,21166.12,21077.95,21134.42,21134.42,58200000
JPN,6/11/19,21099.54,21227.18,21066.62,21204.28,21204.28,52100000
JPN,6/12/19,21130.39,21259.7,21118.75,21129.72,21129.72,56500000
JPN,6/13/19,21040.91,21111.23,20932.13,21032,21032,65700000
JPN,6/14/19,21049.41,21119.73,20971.18,21116.89,21116.89,60400000
JPN,6/17/19,21094.96,21185.25,21044.62,21124,21124,49100000
JPN,6/18/19,21111.77,21153.65,20924.19,20972.71,20972.71,54600000
JPN,6/19/19,21223.17,21358.72,21213.43,21333.87,21333.87,64100000
JPN,6/20/19,21417.74,21491.39,21377.27,21462.86,21462.86,55700000
JPN,6/21/19,21487.67,21497.82,21221.7,21258.64,21258.64,89000000
JPN,6/24/19,21223.56,21317.86,21185.67,21285.99,21285.99,43200000
JPN,6/25/19,21238.07,21313.77,21114.47,21193.81,21193.81,53900000
JPN,6/26/19,21067.68,21129.64,21035.84,21086.59,21086.59,50300000
JPN,6/27/19,21156.88,21338.17,21123.97,21338.17,21338.17,61300000
JPN,6/28/19,21282.22,21324.93,21199.85,21275.92,21275.92,62100000
JPN,7/1/19,21566.27,21758.34,21559.17,21729.97,21729.97,66900000
JPN,7/2/19,21699.43,21784.22,21697.31,21754.27,21754.27,54700000
JPN,7/3/19,21684.07,21708.72,21566.65,21638.16,21638.16,55000000
JPN,7/4/19,21740.93,21755.63,21672.5,21702.45,21702.45,37800000
JPN,7/5/19,21703.61,21746.38,21647.73,21746.38,21746.38,44800000
JPN,7/8/19,21665.79,21672.65,21499.57,21534.35,21534.35,51900000
JPN,7/9/19,21598.15,21687.29,21508.22,21565.15,21565.15,53900000
JPN,7/10/19,21499.46,21601.86,21488.22,21533.48,21533.48,58900000
JPN,7/11/19,21547.19,21649.93,21532.57,21643.53,21643.53,49600000
JPN,7/12/19,21720.14,21720.14,21589.83,21685.9,21685.9,45400000
JPN,7/16/19,21644.38,21655.52,21514.89,21535.25,21535.25,49800000
JPN,7/17/19,21474.63,21488.27,21380.55,21469.18,21469.18,53300000
JPN,7/18/19,21336.8,21347.84,20993.44,21046.24,21046.24,70200000
JPN,7/19/19,21146.5,21474.3,21121.9,21466.99,21466.99,57900000
JPN,7/22/19,21394.75,21445.03,21317.85,21416.79,21416.79,46900000
JPN,7/23/19,21425.44,21686.53,21411.93,21620.88,21620.88,48100000
JPN,7/24/19,21726.98,21744.88,21677.71,21709.57,21709.57,51100000
JPN,7/25/19,21715.95,21823.07,21715.69,21756.55,21756.55,46900000
JPN,7/26/19,21700.2,21709.74,21590.66,21658.15,21658.15,47600000
JPN,7/29/19,21627.55,21652.95,21518.7,21616.8,21616.8,47000000
JPN,7/30/19,21681.82,21792.98,21665.86,21709.31,21709.31,54500000
JPN,7/31/19,21526.38,21589.11,21476.07,21521.53,21521.53,76500000
JPN,8/1/19,21361.58,21556.69,21288.9,21540.99,21540.99,75700000
JPN,8/2/19,21211.06,21211.06,20960.09,21087.16,21087.16,91500000
JPN,8/5/19,20909.98,20941.83,20514.19,20720.29,20720.29,85800000
JPN,8/6/19,20325.52,20607.83,20110.76,20585.31,20585.31,89700000
JPN,8/7/19,20548.07,20570.19,20406.52,20516.56,20516.56,73600000
JPN,8/8/19,20529.29,20682.24,20462.98,20593.35,20593.35,64800000
JPN,8/9/19,20758.15,20782.06,20676.92,20684.82,20684.82,63700000
JPN,8/13/19,20432.68,20503.38,20369.27,20455.44,20455.44,72900000
JPN,8/14/19,20669.99,20697.42,20581.17,20655.13,20655.13,60900000
JPN,8/15/19,20324.25,20419.88,20184.85,20405.65,20405.65,68200000
JPN,8/16/19,20323.97,20465.71,20300.35,20418.81,20418.81,58400000
JPN,8/19/19,20590.47,20633.9,20502.66,20563.16,20563.16,50600000
JPN,8/20/19,20605.35,20684.06,20582.01,20677.22,20677.22,50100000
JPN,8/21/19,20489.97,20626.05,20482.62,20618.57,20618.57,53000000
JPN,8/22/19,20706.07,20731.19,20584.29,20628.01,20628.01,54600000
JPN,8/23/19,20579.98,20719.31,20579.98,20710.91,20710.91,50700000
JPN,8/26/19,20325.44,20329.01,20173.76,20261.04,20261.04,69900000
JPN,8/27/19,20467.22,20529.94,20439.92,20456.08,20456.08,60800000
JPN,8/28/19,20474.31,20511.21,20433.31,20479.42,20479.42,51500000
JPN,8/29/19,20500.5,20520.68,20361.12,20460.93,20460.93,55100000
JPN,8/30/19,20641.49,20748.35,20633.3,20704.37,20704.37,72000000
JPN,9/2/19,20625.75,20667.56,20614.29,20620.19,20620.19,42400000
JPN,9/3/19,20581.58,20662.23,20578.02,20625.16,20625.16,0
JPN,9/4/19,20578.67,20694.35,20554.16,20649.14,20649.14,51500000
JPN,9/5/19,20800.29,21164.61,20787.93,21085.94,21085.94,83000000
JPN,9/6/19,21201.83,21241.29,21145.81,21199.57,21199.57,71100000
JPN,9/9/19,21214.56,21333.51,21182.26,21318.42,21318.42,57800000
JPN,9/10/19,21363.57,21438.35,21350.35,21392.1,21392.1,92400000
JPN,9/11/19,21466.66,21619.21,21437.82,21597.76,21597.76,110100000
JPN,9/12/19,21761.09,21825.92,21743.96,21759.61,21759.61,96000000
JPN,9/13/19,21907.83,22019.66,21820.94,21988.29,21988.29,116300000
JPN,9/17/19,21947.59,22041.08,21878.63,22001.32,22001.32,81500000
JPN,9/18/19,22014.65,22027.86,21942.03,21960.71,21960.71,69400000
JPN,9/19/19,22064.46,22255.56,22003.3,22044.45,22044.45,78200000
JPN,9/20/19,22130.74,22204.75,22047.9,22079.09,22079.09,85000000
JPN,9/24/19,22095.35,22168.74,22077.94,22098.84,22098.84,68400000
JPN,9/25/19,21961.82,22036.48,21906,22020.15,22020.15,61600000
JPN,9/26/19,22160.52,22184.91,21986.24,22048.24,22048.24,81600000
JPN,9/27/19,21934.93,21955.79,21733.69,21878.9,21878.9,76400000
JPN,9/30/19,21793.83,21811.98,21666.6,21755.84,21755.84,69900000
JPN,10/1/19,21831.44,21938.77,21811.98,21885.24,21885.24,62300000
JPN,10/2/19,21744.62,21795.01,21725.23,21778.61,21778.61,63300000
JPN,10/3/19,21422.22,21437.74,21277.36,21341.74,21341.74,67700000
JPN,10/4/19,21316.18,21410.2,21276.01,21410.2,21410.2,57700000
JPN,10/7/19,21445.73,21475.28,21328.26,21375.25,21375.25,47400000
JPN,10/8/19,21494.48,21629.24,21483.18,21587.78,21587.78,60800000
JPN,10/9/19,21359.84,21467.77,21359.84,21456.38,21456.38,55400000
JPN,10/10/19,21456.27,21601.46,21308.88,21551.98,21551.98,59900000
JPN,10/11/19,21749.93,21820.77,21658.27,21798.87,21798.87,67400000
JPN,10/15/19,22063.71,22219.63,22049.71,22207.21,22207.21,74500000
JPN,10/16/19,22479.57,22615.47,22434.35,22472.92,22472.92,78700000
JPN,10/17/19,22451.15,22522.39,22424.92,22451.86,22451.86,57800000
JPN,10/18/19,22528.56,22649.85,22466.26,22492.68,22492.68,59200000
JPN,10/21/19,22541.22,22581.28,22515.73,22548.9,22548.9,48400000
JPN,10/23/19,22619.77,22648.81,22457.89,22625.38,22625.38,68000000
JPN,10/24/19,22725.44,22780.99,22704.33,22750.6,22750.6,61300000
JPN,10/25/19,22753.24,22819.92,22715.13,22799.81,22799.81,57200000
JPN,10/28/19,22854.44,22896.22,22830.57,22867.27,22867.27,48100000
JPN,10/29/19,22950.79,23008.43,22935.35,22974.13,22974.13,72900000
JPN,10/30/19,22953.17,22961.23,22827.93,22843.12,22843.12,101600000
JPN,10/31/19,22910.1,22988.8,22875.5,22927.04,22927.04,78300000
JPN,11/1/19,22730.49,22852.72,22705.6,22850.77,22850.77,65400000
