"Country","Date","Open","High","Low","Close","Adj.Close","Volume","stock_change"
"ARG",2018-01-02,"30065.60938","31143.73047","30065.60938","31084.41992",31084.41992,"0",NA
"ARG",2018-01-03,"31084.41992","31496.5","30819.92969","31476.25977",31476.25977,"0",1.26056671158237
"ARG",2018-01-04,"31476.25977","32000.55078","31421.34961","31951.99023",31951.99023,"0",1.51139450327391
"ARG",2018-01-05,"31951.99023","32242.03906","31697.82031","32190.30078",32190.30078,"0",0.74583945564759
"ARG",2018-01-08,"32190.30078","32419.42969","31880.30078","32351.19922",32351.19922,"0",0.499835155625394
"ARG",2018-01-09,"32351.19922","32648.40039","32104.49023","32138.58984",32138.58984,"0",-0.657191650158551
"ARG",2018-01-10,"32138.58984","32144.13086","31219.56055","31632.35938",31632.35938,"0",-1.57514832642078
"ARG",2018-01-11,"31632.35938","32108.07031","31609.98047","32078.2207",32078.2207,"0",1.40951016218507
"ARG",2018-01-12,"32078.2207","32765.65039","32076.41992","32719.69922",32719.69922,"0",1.99973223577203
"ARG",2018-01-15,"32719.69922","33698.19141","32697.53906","33622.83984",33622.83984,"0",2.76023509240559
"ARG",2018-01-16,"33622.83984","33697.53906","33076.94922","33521.62891",33521.62891,"0",-0.301018386553997
"ARG",2018-01-17,"33521.62891","33879.16016","33417.51172","33598.21094",33598.21094,"0",0.228455574774156
"ARG",2018-01-18,"33598.21094","34100.01953","33598.01172","34049.35156",34049.35156,"0",1.34275191261124
"ARG",2018-01-19,"34049.35156","34147.83984","33266.96875","33591.69922",33591.69922,"0",-1.3440853321202
"ARG",2018-01-22,"33591.69922","33703.05859","33432.48047","33525.46875",33525.46875,"0",-0.197163202630035
"ARG",2018-01-23,"33525.46875","33950.96875","33506.96094","33893.42188",33893.42188,"0",1.09753314038301
"ARG",2018-01-24,"33893.42188","34980.66016","33893.42188","34948.55859",34948.55859,"0",3.11310175094071
"ARG",2018-01-25,"34948.55859","35189.14844","34686.85156","35141.71875",35141.71875,"0",0.552698502579352
"ARG",2018-01-26,"35141.71875","35334.83984","34885.94141","35126.21875",35126.21875,"0",-0.0441071198317489
"ARG",2018-01-29,"35126.21875","35182.92969","34257.21094","34787.39844",34787.39844,"0",-0.964579513700159
"ARG",2018-01-30,"34787.39844","34835.73828","33792.51172","34241.26172",34241.26172,"0",-1.56992688298307
"ARG",2018-01-31,"34241.26172","34989.51172","34241.26172","34938.64063",34938.64063,"0",2.03666242121174
"ARG",2018-02-01,"34938.64063","35461.51953","34586.32031","34641.37109",34641.37109,"0",-0.850833159618558
"ARG",2018-02-02,"34641.37109","34643.98828","32562.58984","32614.76953",32614.76953,"0",-5.85023483838093
"ARG",2018-02-05,"32614.76953","32614.76953","31095.98047","31145.59961",31145.59961,"0",-4.50461536650938
"ARG",2018-02-06,"31145.59961","31751.11914","29859.33984","31624.17969",31624.17969,"0",1.53658971409347
"ARG",2018-02-07,"31624.17969","32604.64063","31407.75977","31626.73047",31626.73047,"0",0.00806591672890544
"ARG",2018-02-08,"31626.73047","32226.86914","30929.69922","31021.58984",31021.58984,"0",-1.9133834607849
"ARG",2018-02-09,"31021.58984","31190.15039","29460.74023","30143.43945",30143.43945,"0",-2.8307717126338
"ARG",2018-02-14,"30143.43945","31598.82031","30143.43945","31551.31055",31551.31055,"0",4.67057218979701
"ARG",2018-02-15,"31551.31055","32159.90039","31551.31055","32023.64063",32023.64063,"0",1.49702206268578
"ARG",2018-02-16,"32023.64063","32739.33984","32021.89063","32677.25",32677.25,"0",2.04102143648119
"ARG",2018-02-19,"32677.25","33320.96875","32677.25","33281.32031",33281.32031,"0",1.84859591917925
"ARG",2018-02-20,"33281.32031","33281.5","32806.08984","32825.94141",32825.94141,"0",-1.36827173849583
"ARG",2018-02-21,"32825.94141","33135.01953","32631.66992","33042.30078",33042.30078,"0",0.659110936980123
"ARG",2018-02-22,"33042.30078","33161.83984","32849.19141","33124.76953",33124.76953,"0",0.249585374060635
"ARG",2018-02-23,"33124.76953","33410.03125","32714.80078","32742.39063",32742.39063,"0",-1.15435942778014
"ARG",2018-02-26,"32742.39063","33168.23828","32710.99023","32918.19922",32918.19922,"0",0.536944879763657
"ARG",2018-02-27,"32918.19922","33251.87891","32328.61914","32516.31055",32516.31055,"0",-1.22087076305143
"ARG",2018-02-28,"32516.31055","33029.51953","32269.43945","33010.89844",33010.89844,"0",1.52104553571499
"ARG",2018-03-01,"33010.89844","33020.14844","31930.92969","32013.0293",32013.0293,"0",-3.02284756597494
"ARG",2018-03-02,"32013.0293","32013.0293","31204.89063","31900.69922",31900.69922,"0",-0.350888630211577
"ARG",2018-03-05,"31900.69922","32323.33984","31879.57031","32133.74023",32133.74023,"0",0.730520069146001
"ARG",2018-03-06,"32133.74023","32911.48047","32133.74023","32864.98047",32864.98047,"0",2.27561508484879
"ARG",2018-03-07,"32864.98047","32870.26172","32400.82031","32743.55078",32743.55078,"0",-0.369480487325546
"ARG",2018-03-08,"32743.55078","33196.82813","32672.28906","32822.60156",32822.60156,"0",0.241423969352428
"ARG",2018-03-09,"32822.60156","33498.57031","32816.89844","33182.60156",33182.60156,"0",1.09680519791193
"ARG",2018-03-12,"33182.60156","33508.48047","33180.14844","33243.96875",33243.96875,"0",0.184937850303979
"ARG",2018-03-13,"33253.60938","33437.96094","32955.21094","32980.12109",32980.12109,"0",-0.79367076170771
"ARG",2018-03-14,"32980.12109","33210.35938","32760.66016","32824.48047",32824.48047,"0",-0.471922524405743
"ARG",2018-03-15,"32824.48047","32934.42188","32602.58008","32707.46094",32707.46094,"0",-0.35650078333137
"ARG",2018-03-16,"32707.46094","33058.46875","32484.11914","32555.08008",32555.08008,"0",-0.465890214711362
"ARG",2018-03-19,"32555.08008","32560.5293","31616.9707","31724.38086",31724.38086,"0",-2.55167309666774
"ARG",2018-03-20,"31724.38086","32176.24023","31669.82031","31797.57031",31797.57031,"0",0.230704108373248
"ARG",2018-03-21,"31797.57031","32513.49023","31797.57031","32369.58984",32369.58984,"0",1.79894100216866
"ARG",2018-03-22,"32369.58984","32370.63086","31834.76953","31908.2207",31908.2207,"0",-1.42531660821316
"ARG",2018-03-23,"31908.2207","32029.86914","31396.98047","31461.25977",31461.25977,"0",-1.40077046038484
"ARG",2018-03-26,"31461.25977","31979.66992","31461.25977","31636.56055",31636.56055,"0",0.557195679008249
"ARG",2018-03-27,"31636.56055","31834.2793","31214.33984","31236.11914",31236.11914,"0",-1.26575519916939
"ARG",2018-03-28,"31236.11914","31418.99023","30982.31055","31114.92969",31114.92969,"0",-0.387978575241144
"ARG",2018-04-03,"31115.01953","31393.99023","30957.91016","31341.06055",31341.06055,"0",0.726759990309978
"ARG",2018-04-04,"31341.06055","31376.03906","30930.66992","31318.4707",31318.4707,"0",-0.0720774906897592
"ARG",2018-04-05,"31318.4707","31896.16992","31318.4707","31866.63086",31866.63086,"0",1.75027754468229
"ARG",2018-04-06,"31866.63086","31958.59961","31551.53906","31738.76953",31738.76953,"0",-0.401238934111781
"ARG",2018-04-09,"31738.76953","31991.01953","31738.76953","31844.42969",31844.42969,"0",0.332905659433735
"ARG",2018-04-10,"31844.42969","32340.73047","31844.42969","32222.40039",32222.40039,"0",1.18692877743289
"ARG",2018-04-11,"32222.40039","32339.78906","31979.83984","32030.84961",32030.84961,"0",-0.594464650930981
"ARG",2018-04-12,"32030.84961","32143.50977","31957.82031","32038.78906",32038.78906,"0",0.0247868854453381
"ARG",2018-04-13,"32038.78906","32107.57031","31500.2207","31593.10938",31593.10938,"0",-1.39106281191015
"ARG",2018-04-16,"31593.10938","31595.41016","30948.14063","31007.80078",31007.80078,"0",-1.85264638867908
"ARG",2018-04-17,"31007.80078","31515.96094","31006.98047","31402.76953",31402.76953,"0",1.27377221236133
"ARG",2018-04-18,"31402.76953","31772.58984","31402.76953","31531.90039",31531.90039,"0",0.411208507824878
"ARG",2018-04-19,"31531.90039","31574.67969","30997.43945","31281.32031",31281.32031,"0",-0.794687528822302
"ARG",2018-04-20,"31281.32031","31391.08008","31122.32031","31161.69922",31161.69922,"0",-0.382404223397692
"ARG",2018-04-23,"31161.69922","31242.63086","30867.84961","30941.08008",30941.08008,"0",-0.707981738872576
"ARG",2018-04-24,"30941.08008","31222.55078","30496.82031","30568.85938",30568.85938,"0",-1.20299840547776
"ARG",2018-04-25,"30568.85938","30568.85938","29814.75977","29946.83008",29946.83008,"0",-2.03484628676388
"ARG",2018-04-26,"29946.83008","30086.96094","29321.40039","29487.82031",29487.82031,"0",-1.5327491049096
"ARG",2018-04-27,"29487.82031","30260.59961","29406.50977","30006.34961",30006.34961,"0",1.75845245443305
"ARG",2018-05-02,"30006.34961","30246.67969","29562.61914","29613.98047",29613.98047,"0",-1.30762037068728
"ARG",2018-05-03,"29613.98047","29830.88086","29129.66016","29503.40039",29503.40039,"0",-0.37340498725601
"ARG",2018-05-04,"29503.40039","29826.43945","27790.88086","28553.26953",28553.26953,"0",-3.22041136764032
"ARG",2018-05-07,"28553.26953","29096.24023","27341.85938","27512.56055",27512.56055,"0",-3.64479794128852
"ARG",2018-05-08,"27512.56055","27512.56055","26030.35938","26276.51953",26276.51953,"0",-4.49264261591965
"ARG",2018-05-09,"26276.51953","28012.25977","26276.51953","27907.91992",27907.91992,"0",6.20858629369625
"ARG",2018-05-10,"27907.91992","29692.17969","27907.91992","29600.66016",29600.66016,"0",6.0654475319277
"ARG",2018-05-11,"29600.66016","30259.90039","28934.7793","29852.06055",29852.06055,"0",0.849306700057051
"ARG",2018-05-14,"29852.06055","30519.14063","29595.11914","30441.59961",30441.59961,"0",1.97486890063274
"ARG",2018-05-15,"30441.59961","31818.75977","30394.96094","30676.93945",30676.93945,"0",0.773086312858196
"ARG",2018-05-16,"30676.93945","31782.96094","30656.30078","31660.57031",31660.57031,"0",3.20641784231184
"ARG",2018-05-17,"31660.57031","32041.58984","31555.75977","31806.17969",31806.17969,"0",0.459907634557077
"ARG",2018-05-18,"31795.11914","32180.33008","31738.46094","31869.82031",31869.82031,"0",0.200088852607494
"ARG",2018-05-21,"31883.10938","32056.19922","31505.59961","31632.44922",31632.44922,"0",-0.744814648125014
"ARG",2018-05-22,"31632.44922","31750.68945","30962.2793","30991.34961",30991.34961,"0",-2.02671505308117
"ARG",2018-05-23,"30991.34961","30997.19922","30200.2207","30233.94922",30233.94922,"0",-2.44390902471576
"ARG",2018-05-24,"30233.94922","30233.94922","29488.03906","29664.90039",29664.90039,"0",-1.88215183487697
"ARG",2018-05-28,"29664.90039","29664.90039","28302.85938","28653.75",28653.75,"0",-3.40857503887273
"ARG",2018-05-29,"28653.75","29091.71094","28130.91992","28325.58984",28325.58984,"0",-1.14526077738516
"ARG",2018-05-30,"28325.58984","28743.08984","28308.16016","28389.40039",28389.40039,"0",0.225275273561598
"ARG",2018-05-31,"28389.40039","28768.21094","28241.03906","28558.83008",28558.83008,"0",0.596806158891905
"ARG",2018-06-01,"28558.83008","28899.35938","27969.19922","28436.75",28436.75,"0",-0.427468771157724
"ARG",2018-06-04,"28436.75","29074.5","28436.75","29036.15039",29036.15039,"0",2.1078371825191
"ARG",2018-06-05,"29036.15039","30399.57031","29036.15039","30359.25977",30359.25977,"0",4.55676583234559
"ARG",2018-06-06,"30359.25977","30755.41992","30139.48047","30428",30428,"0",0.22642261544179
"ARG",2018-06-07,"30428","30428","29753.91016","30177.81055",30177.81055,"0",-0.822234290784807
"ARG",2018-06-08,"30177.81055","31499.15039","30177.81055","31444.08008",31444.08008,"0",4.19602849551324
"ARG",2018-06-11,"31444.08008","31949.59961","31444.08008","31703.84961",31703.84961,"0",0.826131753064785
"ARG",2018-06-12,"31703.84961","31707.19922","30697.25","30749.08984",30749.08984,"0",-3.01149476087236
"ARG",2018-06-13,"30749.08984","30752.26953","29947.13086","30228.41992",30228.41992,"0",-1.69328563124715
"ARG",2018-06-14,"30228.41992","30767.5","29930.7793","30114.88086",30114.88086,"0",-0.375603687855608
"ARG",2018-06-15,"30114.88086","30212.88086","29739.83008","30147.65039",30147.65039,"0",0.108815074355895
"ARG",2018-06-18,"30147.65039","30147.65039","27632.2793","27656.57031",27656.57031,"0",-8.26293275852201
"ARG",2018-06-19,"27656.57031","29180.99023","27656.57031","29118.50977",29118.50977,"0",5.28604755981401
"ARG",2018-06-21,"29118.50977","31681.74023","29118.50977","30869.34961",30869.34961,"0",6.01280715884658
"ARG",2018-06-22,"30869.34961","30941.25977","30172.85938","30210.60938",30210.60938,"0",-2.13396212852701
"ARG",2018-06-25,"30210.60938","30211.74023","28610.84961","28825.11914",28825.11914,"0",-4.5861049096124
"ARG",2018-06-26,"28825.11914","29239.46094","28355.68945","28473.48047",28473.48047,"0",-1.21990361355363
