Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,115734.500000,117724.203125,115626.101563,117524.203125,117524.203125,1539328200
2018-01-03,117739.000000,118395.101563,115780.203125,116052.203125,116052.203125,1735408300
2018-01-04,116068.601563,117258.898438,115152.296875,115491.203125,115491.203125,1402444900
2018-01-05,116159.101563,117184.500000,115950.703125,116637.898438,116637.898438,1087533300
2018-01-08,117514.296875,117783.703125,116228.601563,116304.500000,116304.500000,1054408800
2018-01-09,116311.398438,116647.203125,114942.101563,115022.796875,115022.796875,1161260600
2018-01-10,114812.296875,114856.601563,112884.398438,113589.500000,113589.500000,1243230200
2018-01-11,114329.398438,114718.796875,113057.601563,114718.796875,114718.796875,1329367200
2018-01-12,115062.796875,115718.703125,114561.601563,114644.601563,114644.601563,1169398600
2018-01-15,114286.296875,115452.898438,112159.203125,112159.203125,112159.203125,1481996000
2018-01-16,111708.398438,114475.500000,111107.398438,114418.398438,114418.398438,1669535700
2018-01-17,114429.601563,116630.203125,113705.796875,116592.500000,116592.500000,1458107700
2018-01-18,117145.898438,117758.898438,116157.101563,116856.000000,116856.000000,1258811300
2018-01-19,116724.101563,117064.601563,114926.101563,115147.101563,115147.101563,1426100800
2018-01-22,115639.203125,117246.203125,115288.796875,117235.500000,117235.500000,1200658000
2018-01-23,117843.601563,118955.796875,117495.296875,118400.101563,118400.101563,1337696300
2018-01-24,118477.296875,119673.000000,118148.500000,119648.398438,119648.398438,1361461500
2018-01-25,119677.101563,120320.500000,118587.296875,118604.101563,118604.101563,1285743500
2018-01-26,118947.101563,120701.898438,118872.000000,120701.898438,120701.898438,1225112600
2018-01-29,121341.203125,121531.500000,119398.000000,120845.296875,120845.296875,1211567400
2018-01-30,120214.101563,120948.601563,119303.101563,119303.101563,119303.101563,1302038700
2018-01-31,119671.601563,120361.101563,119235.703125,119528.796875,119528.796875,1107528200
2018-02-01,120016.000000,120894.000000,118659.398438,119044.398438,119044.398438,1093342100
2018-02-02,119334.500000,119585.203125,117792.703125,118119.398438,118119.398438,825694600
2018-02-05,117724.601563,118121.203125,116587.703125,116852.703125,116852.703125,909660000
2018-02-06,114296.703125,115892.796875,113875.703125,115457.296875,115457.296875,1241984700
2018-02-07,116252.000000,116515.703125,115392.101563,115570.203125,115570.203125,1182301700
2018-02-08,115874.898438,116055.203125,113891.796875,114263.500000,114263.500000,1095661200
2018-02-09,113146.101563,114212.203125,112503.796875,113590.296875,113590.296875,919103300
2018-02-12,114593.101563,115415.500000,114524.203125,114821.601563,114821.601563,821446200
2018-02-13,115317.796875,115670.101563,114430.601563,114494.500000,114494.500000,821566200
2018-02-14,115328.898438,115606.601563,113248.796875,113455.000000,113455.000000,858319100
2018-02-15,114641.703125,116298.601563,114641.703125,116225.601563,116225.601563,951286900
2018-02-16,116822.898438,117517.601563,115960.398438,116511.000000,116511.000000,948167300
2018-02-19,117074.703125,117522.000000,115457.398438,115882.000000,115882.000000,935783500
2018-02-20,116287.000000,116926.796875,113268.000000,113432.898438,113432.898438,1082579800
2018-02-21,115021.101563,116316.000000,114748.601563,116316.000000,116316.000000,891030700
2018-02-22,116138.101563,116993.500000,115408.500000,116840.898438,116840.898438,889441500
2018-02-23,117439.703125,117854.203125,117033.898438,117521.500000,117521.500000,743638500
2018-02-26,118294.703125,118912.500000,118221.000000,118791.898438,118791.898438,893545700
2018-02-27,119033.796875,119216.796875,118460.398438,118831.601563,118831.601563,927832600
2018-02-28,118428.101563,119245.296875,118314.296875,118950.796875,118950.796875,945110600
2018-03-01,118629.703125,119114.500000,117398.703125,117632.101563,117632.101563,1065467900
2018-03-02,117323.000000,117590.296875,116265.203125,116859.203125,116859.203125,814805400
2018-03-05,117033.000000,117530.898438,116591.898438,116946.203125,116946.203125,717460000
2018-03-06,117573.898438,117720.203125,116668.796875,116709.898438,116709.898438,966462600
2018-03-07,116330.796875,116989.398438,115929.703125,116842.398438,116842.398438,812652900
2018-03-08,116962.296875,117395.500000,116520.101563,116567.101563,116567.101563,698275900
2018-03-09,116927.296875,117240.101563,116495.398438,116914.500000,116914.500000,820722500
2018-03-12,117704.000000,118787.101563,117704.000000,118411.398438,118411.398438,996605200
2018-03-13,118527.796875,118610.898438,117668.703125,118266.898438,118266.898438,1018267100
2018-03-14,118322.000000,118978.203125,117408.601563,117592.703125,117592.703125,959221300
2018-03-15,117978.500000,118149.296875,117030.898438,117201.500000,117201.500000,994721200
2018-03-16,117611.296875,117853.101563,116829.398438,117216.296875,117216.296875,880409200
2018-03-19,117175.203125,117207.898438,115391.101563,115450.296875,115450.296875,765203800
2018-03-20,116033.296875,116727.500000,115082.898438,116431.796875,116431.796875,905841000
2018-03-21,116613.296875,117795.101563,116481.101563,117651.296875,117651.296875,1275610400
2018-03-22,118375.203125,118589.703125,117072.000000,117110.296875,117110.296875,1261207500
2018-03-23,115914.296875,116871.398438,115559.500000,116602.796875,116602.796875,1531450400
2018-03-26,117125.898438,117549.703125,116349.203125,116420.296875,116420.296875,1761205400
2018-03-27,117599.203125,117787.796875,116196.500000,116196.500000,116196.500000,1506734400
2018-03-28,115687.203125,116024.703125,113858.703125,114129.296875,114129.296875,1394481100
2018-03-29,113809.500000,115084.101563,113426.203125,114844.601563,114844.601563,1000693800
2018-03-30,115534.398438,115872.296875,114695.703125,114930.203125,114930.203125,900037100
2018-04-02,115216.601563,115390.500000,114442.101563,114442.101563,114442.101563,660507800
2018-04-03,114290.398438,114924.296875,114019.601563,114594.101563,114594.101563,943622500
2018-04-04,114812.296875,114893.898438,113281.898438,113975.601563,113975.601563,1037994700
2018-04-05,114303.000000,115318.898438,114032.101563,114947.601563,114947.601563,1323038100
2018-04-06,114645.703125,115279.398438,114284.703125,114737.500000,114737.500000,911697300
2018-04-09,115425.601563,115465.000000,112510.898438,113156.101563,113156.101563,1075972800
2018-04-10,113475.601563,113524.601563,110007.796875,110712.703125,110712.703125,1382441100
2018-04-11,110293.898438,111534.703125,106624.101563,109253.203125,109253.203125,1430535600
2018-04-12,109211.500000,110354.703125,108305.101563,110235.398438,110235.398438,1126424000
2018-04-13,110715.296875,110792.796875,108981.101563,109604.000000,109604.000000,843799800
2018-04-16,109860.898438,111115.796875,109850.796875,110687.703125,110687.703125,930465400
2018-04-17,111451.898438,111621.000000,108001.101563,108744.796875,108744.796875,1475421900
2018-04-18,108618.296875,112099.000000,107439.101563,112099.000000,112099.000000,1499424400
2018-04-19,112111.601563,112406.601563,111597.398438,112122.203125,112122.203125,1093128000
2018-04-20,111956.703125,111973.296875,110678.000000,110932.500000,110932.500000,940669200
2018-04-23,null,null,null,null,null,null
2018-04-24,110630.398438,110851.296875,109787.500000,110058.601563,110058.601563,856852900
2018-04-25,110376.203125,110520.500000,106760.703125,107401.398438,107401.398438,1156953000
2018-04-26,107892.398438,108224.898438,106278.000000,107015.101563,107015.101563,887814000
