Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,15000.000000,15543.000000,15000.000000,15350.000000,14460.490234,66209
2018-01-03,15200.000000,15842.000000,15161.000000,15842.000000,14923.980469,127497
2018-01-04,15500.000000,16117.000000,15500.000000,16117.000000,15183.044922,143763
2018-01-05,16034.000000,16400.000000,16030.000000,16300.000000,15355.440430,181498
2018-01-08,16500.000000,16697.000000,16000.000000,16300.000000,15355.440430,771328
2018-01-09,16005.000000,16607.000000,16005.000000,16550.000000,15590.953125,252280
2018-01-10,16324.000000,16839.000000,16324.000000,16800.000000,15826.465820,696335
2018-01-11,16551.000000,16866.000000,16551.000000,16711.000000,15742.622070,91390
2018-01-12,16800.000000,16996.000000,16550.000000,16950.000000,15967.773438,67977
2018-01-15,16950.000000,17025.000000,16778.000000,16820.000000,15845.305664,70698
2018-01-16,16910.000000,17000.000000,16696.000000,16950.000000,15967.773438,315810
2018-01-17,16602.000000,16981.000000,16602.000000,16826.000000,15850.958984,254408
2018-01-18,16950.000000,17100.000000,16783.000000,17100.000000,16109.080078,303128
2018-01-19,17100.000000,17275.000000,16900.000000,17250.000000,16250.388672,222462
2018-01-22,17300.000000,17753.000000,17298.000000,17625.000000,16603.658203,1112374
2018-01-23,17625.000000,18033.000000,17587.000000,17808.000000,16776.054688,841788
2018-01-24,17700.000000,18445.000000,17700.000000,18129.000000,17078.451172,196106
2018-01-25,17900.000000,18677.000000,17900.000000,18605.000000,17526.867188,640238
2018-01-26,18500.000000,18841.000000,18500.000000,18719.000000,17634.263672,984121
2018-01-29,18050.000000,18849.000000,17906.000000,18061.000000,17014.392578,447084
2018-01-30,17500.000000,18088.000000,17500.000000,17939.000000,16899.462891,162912
2018-01-31,17650.000000,18780.000000,17600.000000,18780.000000,17691.728516,582470
2018-02-01,17926.000000,18730.000000,17926.000000,18014.000000,16970.115234,233563
2018-02-02,17926.000000,18748.000000,17627.000000,18309.000000,17248.021484,137209
2018-02-05,17926.000000,18100.000000,17603.000000,17687.000000,16662.066406,148754
2018-02-06,17500.000000,17750.000000,16725.000000,17816.000000,16783.589844,151124
2018-02-07,17880.000000,18569.000000,17500.000000,18339.000000,17276.283203,762437
2018-02-08,18246.000000,18500.000000,17427.000000,18322.000000,17260.267578,132774
2018-02-09,17900.000000,18300.000000,17522.000000,18250.000000,17192.441406,200335
2018-02-12,18001.000000,18246.000000,17701.000000,18200.000000,17145.337891,90536
2018-02-13,17900.000000,18580.000000,17900.000000,18532.000000,17458.097656,156090
2018-02-14,18650.000000,18655.000000,18122.000000,18451.000000,17381.792969,334882
2018-02-15,18550.000000,19133.000000,18241.000000,18600.000000,17522.160156,1879003
2018-02-16,18899.000000,19057.000000,18473.000000,18768.000000,17680.423828,739637
2018-02-19,18768.000000,18768.000000,18321.000000,18437.000000,17368.603516,126127
2018-02-20,18500.000000,18745.000000,18213.000000,18717.000000,17632.376953,177257
2018-02-21,18717.000000,18717.000000,18003.000000,18350.000000,17286.646484,420388
2018-02-22,18270.000000,18345.000000,17609.000000,18100.000000,17051.132813,447259
2018-02-23,18100.000000,19120.000000,18050.000000,19025.000000,17922.529297,680624
2018-02-26,19025.000000,19899.000000,19025.000000,19800.000000,18652.619141,923314
2018-02-27,19600.000000,20790.000000,19600.000000,20400.000000,19217.851563,1443503
2018-02-28,20396.000000,20546.000000,19835.000000,20400.000000,19217.851563,1062975
2018-03-01,20299.000000,20300.000000,19846.000000,20290.000000,19114.224609,107560
2018-03-02,20250.000000,20250.000000,19801.000000,20001.000000,18841.972656,134851
2018-03-05,19805.000000,20202.000000,19506.000000,19615.000000,18478.339844,642710
2018-03-06,19615.000000,20300.000000,19501.000000,19584.000000,18449.134766,493419
2018-03-07,19500.000000,19745.000000,19200.000000,19402.000000,18277.683594,554583
2018-03-08,19200.000000,19697.000000,18900.000000,19400.000000,18275.800781,633806
2018-03-09,19100.000000,19510.000000,18905.000000,18989.000000,17888.617188,256621
2018-03-12,18700.000000,19314.000000,18684.000000,19079.000000,17973.400391,383918
2018-03-13,19299.000000,19299.000000,18462.000000,18900.000000,17804.773438,213861
2018-03-14,18390.000000,18898.000000,18249.000000,18571.000000,17494.839844,222666
2018-03-15,18411.000000,19351.000000,18411.000000,18730.000000,17644.625000,951603
2018-03-16,18699.000000,19076.000000,18292.000000,18292.000000,17232.007813,598615
2018-03-19,18292.000000,18383.000000,17989.000000,18267.000000,17208.455078,420271
2018-03-20,17799.000000,18211.000000,17663.000000,17966.000000,17504.650391,234385
2018-03-22,17714.000000,18454.000000,17714.000000,18190.000000,17722.896484,339514
2018-03-23,17810.000000,18384.000000,17802.000000,18269.000000,17799.869141,247828
2018-03-26,18000.000000,18350.000000,17583.000000,17945.000000,17484.189453,153669
2018-03-27,17757.000000,18360.000000,17757.000000,18300.000000,17830.072266,240717
2018-03-28,18050.000000,18352.000000,17925.000000,18268.000000,17798.894531,211755
2018-03-29,17900.000000,18846.000000,17700.000000,18533.000000,18057.089844,160300
2018-04-03,18533.000000,18678.000000,18143.000000,18404.000000,17931.400391,180848
2018-04-04,18343.000000,18437.000000,17690.000000,18223.000000,17755.048828,157553
2018-04-05,18260.000000,18597.000000,18220.000000,18400.000000,17927.505859,109126
2018-04-06,18401.000000,18699.000000,18100.000000,18395.000000,17922.632813,198087
2018-04-09,18500.000000,19330.000000,18303.000000,19300.000000,18804.394531,274466
2018-04-10,19380.000000,19494.000000,19053.000000,19200.000000,18706.960938,153703
2018-04-11,19200.000000,19324.000000,19015.000000,19199.000000,18705.986328,113312
2018-04-12,18901.000000,19438.000000,18831.000000,18880.000000,18395.179688,91034
2018-04-13,18900.000000,19114.000000,18624.000000,18904.000000,18418.562500,43019
2018-04-16,19130.000000,19200.000000,18607.000000,18983.000000,18495.533203,150293
2018-04-17,18651.000000,19382.000000,18651.000000,19273.000000,18778.085938,108161
2018-04-18,19021.000000,19499.000000,19021.000000,19440.000000,18940.798828,126882
2018-04-19,19200.000000,19587.000000,19200.000000,19530.000000,19028.488281,85529
2018-04-20,19641.000000,19641.000000,19320.000000,19549.000000,19047.000000,435165
2018-04-23,19549.000000,19555.000000,19055.000000,19100.000000,18609.529297,102732
2018-04-24,18801.000000,19298.000000,18801.000000,19204.000000,18710.859375,64592
2018-04-25,19238.000000,19493.000000,18860.000000,18944.000000,18457.535156,338744
2018-04-26,19000.000000,19778.000000,18958.000000,19700.000000,19194.121094,145311
2018-04-30,19129.000000,19950.000000,19129.000000,19552.000000,19049.921875,71635
2018-05-02,19529.000000,20325.000000,19415.000000,20179.000000,19660.822266,106305
2018-05-03,19871.000000,20298.000000,19500.000000,19578.000000,19075.255859,185126
2018-05-04,19850.000000,20105.000000,19758.000000,20033.000000,19518.570313,88260
2018-05-07,19512.000000,20030.000000,19512.000000,19850.000000,19340.269531,36200
2018-05-08,19604.000000,19945.000000,19552.000000,19669.000000,19163.917969,68914
2018-05-09,19797.000000,19948.000000,19659.000000,19806.000000,19297.400391,73274
2018-05-10,19806.000000,20400.000000,19806.000000,20100.000000,19583.849609,247091
2018-05-11,20101.000000,20238.000000,19831.000000,20070.000000,19554.621094,105246
2018-05-14,19820.000000,20199.000000,19638.000000,19665.000000,19160.019531,79027
2018-05-15,19400.000000,19900.000000,19304.000000,19500.000000,18999.257813,161076
2018-05-16,19320.000000,19984.000000,19035.000000,19584.000000,19081.099609,175074
2018-05-17,19700.000000,19700.000000,19049.000000,19270.000000,18775.164063,46261
2018-05-18,19200.000000,19500.000000,19083.000000,19266.000000,18771.267578,86417
2018-05-21,19299.000000,19450.000000,18886.000000,19101.000000,18610.501953,144564
2018-05-22,18900.000000,19500.000000,18900.000000,19106.000000,18615.375000,127521
2018-05-23,19399.000000,19399.000000,18909.000000,18999.000000,18511.123047,145726
2018-05-24,18700.000000,18883.000000,18402.000000,18678.000000,18198.367188,131188
2018-05-25,18999.000000,19005.000000,18586.000000,18832.000000,18348.412109,131017
2018-05-28,18500.000000,19101.000000,18500.000000,18758.000000,18276.312500,82681
2018-05-29,18748.000000,18748.000000,18276.000000,18301.000000,17831.046875,99419
2018-05-30,18100.000000,18428.000000,17892.000000,18170.000000,17703.410156,312377
2018-05-31,18240.000000,18350.000000,17900.000000,18151.000000,17684.898438,286975
2018-06-01,18335.000000,18335.000000,17759.000000,17926.000000,17465.675781,1094292
2018-06-04,18167.000000,18773.000000,18167.000000,18746.000000,18264.619141,203888
2018-06-05,18734.000000,18734.000000,18329.000000,18500.000000,18024.935547,132584
2018-06-06,18645.000000,18805.000000,18486.000000,18805.000000,18322.105469,120483
2018-06-07,18886.000000,18886.000000,18238.000000,18400.000000,17927.505859,124478
2018-06-08,18201.000000,18384.000000,17995.000000,18179.000000,17712.179688,100045
2018-06-11,18101.000000,18375.000000,17996.000000,18033.000000,17569.927734,159071
2018-06-12,18000.000000,18002.000000,17768.000000,17950.000000,17489.060547,88459
2018-06-13,17950.000000,17955.000000,17551.000000,17574.000000,17122.714844,122115
2018-06-14,17509.000000,17920.000000,17472.000000,17488.000000,17038.923828,189205
2018-06-15,17477.000000,17477.000000,16800.000000,17344.000000,16898.623047,390936
2018-06-18,17079.000000,17297.000000,16992.000000,17200.000000,16758.320313,338376
2018-06-19,17196.000000,17196.000000,16538.000000,16719.000000,16289.670898,125304
2018-06-20,17200.000000,17381.000000,16594.000000,16884.000000,16450.433594,220217
2018-06-21,16700.000000,16700.000000,16260.000000,16350.000000,15930.146484,201579
2018-06-22,16353.000000,16719.000000,16315.000000,16457.000000,16034.399414,150453
2018-06-25,16787.000000,16787.000000,15853.000000,15898.000000,15489.753906,223471
2018-06-26,16036.000000,16671.000000,15393.000000,15866.000000,15458.575195,138149
2018-06-27,15565.000000,15844.000000,15564.000000,15792.000000,15386.475586,157841
2018-06-28,16200.000000,16200.000000,15602.000000,15753.000000,15348.476563,230015
2018-06-29,15707.000000,16678.000000,15707.000000,16211.000000,15794.715820,445385
2018-07-02,16698.000000,16698.000000,15650.000000,16244.000000,15826.868164,175366
2018-07-03,15600.000000,16700.000000,15600.000000,16498.000000,16074.345703,279451
2018-07-04,16467.000000,16697.000000,16300.000000,16648.000000,16220.493164,104794
2018-07-05,16420.000000,16699.000000,16299.000000,16358.000000,15937.940430,86011
2018-07-06,15700.000000,16526.000000,15610.000000,16389.000000,15968.144531,187285
2018-07-09,16590.000000,16719.000000,16299.000000,16375.000000,15954.504883,98118
2018-07-10,16700.000000,16797.000000,16146.000000,16150.000000,15735.282227,252335
2018-07-11,16094.000000,16152.000000,15811.000000,15900.000000,15491.702148,243318
2018-07-12,15600.000000,16248.000000,15600.000000,16100.000000,15686.566406,112847
2018-07-13,16493.000000,16493.000000,15905.000000,15979.000000,15568.673828,35392
2018-07-16,15960.000000,16404.000000,15942.000000,16175.000000,15759.640625,203261
2018-07-17,16084.000000,17188.000000,15814.000000,16900.000000,16466.023438,449077
2018-07-18,16100.000000,16949.000000,16100.000000,16200.000000,15783.999023,152088
2018-07-19,16750.000000,16750.000000,16224.000000,16300.000000,15881.430664,127953
2018-07-20,16400.000000,16837.000000,15901.000000,16805.000000,16373.461914,94981
2018-07-23,16805.000000,16846.000000,16231.000000,16340.000000,15920.403320,54773
2018-07-24,16248.000000,16693.000000,16248.000000,16476.000000,16052.911133,69201
2018-07-25,16699.000000,16792.000000,16386.000000,16463.000000,16040.245117,106194
2018-07-26,16431.000000,16823.000000,16304.000000,16489.000000,16065.577148,103046
2018-07-27,16320.000000,16798.000000,16179.000000,16207.000000,15790.819336,108331
2018-07-30,16399.000000,16746.000000,16238.000000,16542.000000,16117.216797,124494
2018-07-31,16350.000000,16750.000000,16251.000000,16630.000000,16202.957031,300223
2018-08-01,16550.000000,16820.000000,16503.000000,16719.000000,16289.670898,165973
2018-08-02,17000.000000,17000.000000,16211.000000,16353.000000,15933.069336,103571
2018-08-03,16353.000000,16566.000000,15755.000000,16300.000000,15881.430664,198680
2018-08-06,16200.000000,16203.000000,15500.000000,15500.000000,15101.973633,129457
2018-08-07,15499.000000,15962.000000,15388.000000,15670.000000,15267.608398,162249
2018-08-08,15549.000000,15892.000000,15400.000000,15701.000000,15297.812500,229528
2018-08-10,15699.000000,15886.000000,15400.000000,15500.000000,15101.973633,85544
2018-08-13,15797.000000,15797.000000,15194.000000,15250.000000,14858.393555,156292
2018-08-14,15271.000000,15518.000000,15261.000000,15400.000000,15004.541992,55705
2018-08-15,15175.000000,15392.000000,15157.000000,15200.000000,14809.677734,83389
2018-08-16,15200.000000,15602.000000,15184.000000,15602.000000,15201.354492,83429
2018-08-17,15700.000000,15700.000000,15337.000000,15492.000000,15094.179688,113207
2018-08-20,15231.000000,15608.000000,15231.000000,15366.000000,14971.415039,415350
2018-08-21,15367.000000,15666.000000,15367.000000,15455.000000,15058.129883,167791
2018-08-22,15361.000000,15597.000000,15361.000000,15500.000000,15101.973633,61113
2018-08-23,15600.000000,15692.000000,15505.000000,15528.000000,15129.254883,28233
2018-08-24,15697.000000,15699.000000,15442.000000,15531.000000,15132.177734,434853
2018-08-27,15532.000000,15772.000000,15532.000000,15688.000000,15285.146484,58941
2018-08-28,15620.000000,16248.000000,15620.000000,16056.000000,15643.696289,55250
2018-08-29,16226.000000,16226.000000,15562.000000,15657.000000,15254.942383,94682
2018-08-30,15660.000000,15774.000000,15425.000000,15500.000000,15101.973633,97757
2018-08-31,15500.000000,16305.000000,15500.000000,16196.000000,15780.100586,120545
2018-09-03,16500.000000,16500.000000,15774.000000,15819.000000,15412.782227,58229
2018-09-04,15821.000000,16141.000000,15375.000000,15903.000000,15494.625000,145907
2018-09-05,15501.000000,16193.000000,15500.000000,15784.000000,15378.680664,65340
2018-09-06,15661.000000,15780.000000,15348.000000,15365.000000,14970.440430,179393
2018-09-07,15323.000000,15566.000000,15323.000000,15504.000000,15105.871094,154881
2018-09-10,15300.000000,15414.000000,15152.000000,15217.000000,14826.241211,77958
2018-09-11,15152.000000,15182.000000,14659.000000,14900.000000,14517.380859,103926
2018-09-12,14927.000000,15048.000000,14888.000000,14925.000000,14541.739258,123836
2018-09-13,14949.000000,15014.000000,14667.000000,15014.000000,14628.454102,142077
2018-09-14,14901.000000,15454.000000,14901.000000,15454.000000,15057.155273,212240
2018-09-17,15528.000000,15546.000000,15302.000000,15525.000000,15126.332031,309713
2018-09-18,15500.000000,15742.000000,15500.000000,15671.000000,15268.583008,95354
2018-09-19,15600.000000,15753.000000,15504.000000,15650.000000,15248.122070,94448
2018-09-20,15690.000000,15781.000000,15058.000000,15441.000000,15044.489258,375406
2018-09-21,15463.000000,15463.000000,15111.000000,15362.000000,14967.517578,375314
2018-09-25,15488.000000,15973.000000,15265.000000,15792.000000,15386.475586,145788
2018-09-26,15601.000000,16138.000000,15601.000000,15962.000000,15552.109375,83467
2018-09-27,15969.000000,16160.000000,15811.000000,16015.000000,15603.750000,62064
2018-09-28,15215.000000,16499.000000,15200.000000,15919.000000,15510.214844,115292
2018-10-01,16150.000000,16209.000000,15637.000000,15720.000000,15316.325195,69508
2018-10-02,16262.000000,16262.000000,15050.000000,15422.000000,15025.976563,112405
2018-10-03,15101.000000,15748.000000,15101.000000,15550.000000,15150.689453,57794
2018-10-04,15539.000000,15539.000000,14502.000000,15120.000000,14731.732422,227031
2018-10-05,15001.000000,15200.000000,14945.000000,15000.000000,14614.813477,148267
2018-10-08,15000.000000,15100.000000,14851.000000,15000.000000,14614.813477,126937
2018-10-09,15001.000000,15349.000000,14876.000000,14996.000000,14610.916016,593175
2018-10-10,14996.000000,15141.000000,14900.000000,15012.000000,14626.505859,244345
2018-10-11,14800.000000,15036.000000,14610.000000,14975.000000,14590.456055,362322
2018-10-12,14793.000000,15776.000000,14580.000000,15580.000000,15179.919922,361624
2018-10-15,15204.000000,15579.000000,15173.000000,15420.000000,15024.028320,97725
2018-10-16,15369.000000,15400.000000,15071.000000,15305.000000,14911.981445,151424
2018-10-17,15216.000000,15522.000000,15216.000000,15390.000000,14994.798828,147832
2018-10-18,15500.000000,15700.000000,15201.000000,15700.000000,15296.837891,248945
2018-10-19,15601.000000,15921.000000,15410.000000,15750.000000,15345.554688,339858
2018-10-22,15857.000000,15857.000000,15660.000000,15730.000000,15326.067383,182259
2018-10-23,15700.000000,15882.000000,15567.000000,15600.000000,15199.406250,246945
2018-10-24,15600.000000,15899.000000,15600.000000,15750.000000,15345.554688,297814
2018-10-25,15702.000000,16112.000000,15491.000000,16046.000000,15633.953125,400771
2018-10-26,15947.000000,16169.000000,15923.000000,16127.000000,15712.873047,153557
2018-10-29,16100.000000,16204.000000,16050.000000,16160.000000,15745.025391,129138
2018-10-30,16122.000000,16528.000000,16118.000000,16340.000000,15920.403320,127333
2018-10-31,16340.000000,16588.000000,16204.000000,16399.000000,15977.888672,104593
2018-11-01,16361.000000,16499.000000,16360.000000,16426.000000,16004.195313,107169
2018-11-02,16422.000000,16621.000000,16422.000000,16498.000000,16074.345703,210208
2018-11-05,16461.000000,16600.000000,16400.000000,16550.000000,16125.010742,98327
2018-11-06,16700.000000,16700.000000,16247.000000,16449.000000,16026.604492,73946
2018-11-07,16700.000000,17290.000000,16355.000000,16968.000000,16532.277344,112762
2018-11-08,16411.000000,17002.000000,16411.000000,16631.000000,16203.931641,57563
2018-11-09,16450.000000,16505.000000,16342.000000,16444.000000,16021.732422,51597
2018-11-12,16411.000000,16571.000000,16323.000000,16323.000000,15903.839844,216980
2018-11-13,16527.000000,16527.000000,16285.000000,16300.000000,15881.430664,204877
2018-11-14,16300.000000,16373.000000,16145.000000,16325.000000,15905.789063,180722
2018-11-15,16341.000000,16476.000000,16233.000000,16371.000000,15950.607422,63454
2018-11-16,16499.000000,16820.000000,16488.000000,16750.000000,16319.875000,347173
2018-11-19,16340.000000,16920.000000,16340.000000,16800.000000,16368.591797,121927
2018-11-20,16850.000000,16850.000000,16520.000000,16614.000000,16187.368164,66756
2018-11-21,16568.000000,16778.000000,16373.000000,16750.000000,16319.875000,140820
2018-11-22,16750.000000,16750.000000,16460.000000,16500.000000,16076.294922,280067
2018-11-23,16550.000000,16550.000000,16399.000000,16399.000000,15977.888672,83582
2018-11-26,16300.000000,16587.000000,16300.000000,16501.000000,16077.269531,215128
2018-11-27,16800.000000,16800.000000,16375.000000,16472.000000,16049.013672,70609
2018-11-28,16365.000000,16636.000000,16365.000000,16500.000000,16076.294922,125380
2018-11-29,16499.000000,16769.000000,16445.000000,16472.000000,16049.013672,151062
2018-11-30,16550.000000,16559.000000,16458.000000,16559.000000,16133.779297,164737
2018-12-03,16800.000000,17614.000000,16700.000000,17249.000000,16806.062500,115459
2018-12-04,16951.000000,17550.000000,16800.000000,17400.000000,16953.183594,111127
2018-12-05,17400.000000,17500.000000,16824.000000,16826.000000,16393.923828,117883
2018-12-06,16800.000000,17286.000000,16498.000000,17091.000000,16652.119141,397258
2018-12-07,16901.000000,17244.000000,16901.000000,16938.000000,16503.046875,31467
2018-12-10,16933.000000,16980.000000,16650.000000,16700.000000,16271.159180,54970
2018-12-11,16701.000000,16964.000000,16357.000000,16400.000000,15978.862305,226928
2018-12-12,16500.000000,16900.000000,16100.000000,16100.000000,15686.566406,582803
2018-12-13,16499.000000,16546.000000,16102.000000,16271.000000,15853.175781,330329
2018-12-14,16250.000000,16958.000000,16193.000000,16724.000000,16294.542969,143488
2018-12-18,16900.000000,16900.000000,16408.000000,16800.000000,16368.591797,125367
2018-12-19,16432.000000,17188.000000,16402.000000,16750.000000,16319.875000,66281
2018-12-20,16700.000000,16705.000000,16339.000000,16528.000000,16103.575195,211465
2018-12-21,16750.000000,16988.000000,16249.000000,16360.000000,15939.889648,226334
2018-12-24,16360.000000,16590.000000,16289.000000,16328.000000,15908.710938,33698
2018-12-27,16999.000000,16999.000000,16247.000000,16600.000000,16173.727539,96383
2018-12-28,16341.000000,16607.000000,16251.000000,16504.000000,16080.192383,67566
2018-12-31,16416.000000,16727.000000,16416.000000,16556.000000,16130.856445,17138
2019-01-02,16413.000000,16800.000000,16101.000000,16364.000000,15943.787109,104224
2019-01-03,16699.000000,16700.000000,16230.000000,16432.000000,16010.041016,86222
2019-01-04,16798.000000,16798.000000,16513.000000,16737.000000,16307.208984,33820
2019-01-07,16943.000000,16943.000000,16510.000000,16513.000000,16088.960938,52275
2019-01-08,16716.000000,16803.000000,16464.000000,16791.000000,16359.821289,29822
2019-01-09,16601.000000,16928.000000,16575.000000,16875.000000,16441.666016,108072
2019-01-10,16998.000000,17061.000000,16667.000000,16900.000000,16466.023438,140836
2019-01-11,17098.000000,17098.000000,16913.000000,17000.000000,16563.455078,78182
2019-01-14,17097.000000,17097.000000,16725.000000,16814.000000,16382.232422,94727
2019-01-15,16650.000000,16922.000000,16650.000000,16860.000000,16427.050781,79478
2019-01-16,16855.000000,16996.000000,16850.000000,16850.000000,16417.306641,59551
2019-01-17,16875.000000,16900.000000,16745.000000,16850.000000,16417.306641,221910
2019-01-18,16924.000000,16955.000000,16836.000000,16935.000000,16500.125000,198924
2019-01-21,16850.000000,17088.000000,16729.000000,16893.000000,16459.203125,38236
2019-01-22,17000.000000,17000.000000,16850.000000,16931.000000,16496.226563,94843
2019-01-23,16900.000000,16975.000000,16880.000000,16880.000000,16446.537109,59171
2019-01-24,16881.000000,16930.000000,16854.000000,16880.000000,16446.537109,110053
2019-01-25,16967.000000,16990.000000,16847.000000,16900.000000,16466.023438,149418
2019-01-28,16890.000000,16990.000000,16839.000000,16850.000000,16417.306641,129610
2019-01-29,16850.000000,16856.000000,16586.000000,16586.000000,16160.085938,219822
2019-01-30,16102.000000,16529.000000,16072.000000,16072.000000,15659.285156,289958
2019-01-31,16250.000000,16651.000000,16011.000000,16421.000000,15999.323242,342081
2019-02-01,16432.000000,16635.000000,16253.000000,16313.000000,15894.096680,227864
2019-02-04,16236.000000,16413.000000,16134.000000,16134.000000,15719.693359,118095
2019-02-05,16141.000000,16170.000000,16100.000000,16165.000000,15749.897461,94740
2019-02-06,16151.000000,16299.000000,16095.000000,16200.000000,15783.999023,101370
2019-02-07,16082.000000,16133.000000,15961.000000,16000.000000,15589.133789,138931
2019-02-08,15612.000000,16075.000000,15612.000000,15888.000000,15480.010742,82051
2019-02-11,15888.000000,15961.000000,15671.000000,15671.000000,15268.583008,134067
2019-02-12,16048.000000,16048.000000,15758.000000,15856.000000,15448.832031,34996
2019-02-13,15949.000000,15949.000000,15619.000000,15619.000000,15217.918945,167923
2019-02-14,15592.000000,15731.000000,15318.000000,15350.000000,14955.825195,158679
2019-02-15,15400.000000,15823.000000,15281.000000,15352.000000,14957.774414,118967
2019-02-18,15500.000000,15685.000000,15430.000000,15656.000000,15253.967773,68495
2019-02-19,15900.000000,15900.000000,15470.000000,15560.000000,15160.432617,42811
2019-02-20,15560.000000,15777.000000,15400.000000,15700.000000,15296.837891,114403
2019-02-21,15705.000000,15930.000000,15705.000000,15920.000000,15511.188477,130532
2019-02-22,15900.000000,16355.000000,15837.000000,16268.000000,15850.251953,140373
2019-02-25,15892.000000,16508.000000,15892.000000,16494.000000,16070.449219,104187
2019-02-26,16251.000000,16431.000000,16171.000000,16309.000000,15890.200195,158478
2019-02-27,16697.000000,16697.000000,16204.000000,16350.000000,15930.146484,200453
2019-02-28,16350.000000,16997.000000,16153.000000,16153.000000,15738.206055,385831
2019-03-01,16300.000000,16300.000000,15887.000000,16000.000000,15589.133789,263509
2019-03-04,15860.000000,16103.000000,15785.000000,16000.000000,15589.133789,170382
2019-03-05,15903.000000,16078.000000,15882.000000,15950.000000,15540.417969,236779
2019-03-06,15916.000000,16006.000000,15847.000000,15847.000000,15440.063477,598152
2019-03-07,16588.000000,16588.000000,15800.000000,15960.000000,15550.162109,58257
2019-03-08,15999.000000,16055.000000,15890.000000,15960.000000,15550.162109,192598
2019-03-11,16000.000000,16124.000000,15932.000000,15999.000000,15588.160156,240395
2019-03-12,15903.000000,15994.000000,15774.000000,15800.000000,15394.269531,73526
2019-03-13,15794.000000,15794.000000,15694.000000,15710.000000,15306.581055,157933
2019-03-14,15713.000000,15735.000000,15181.000000,15281.000000,14888.597656,140517
2019-03-15,15450.000000,15450.000000,15344.000000,15350.000000,14955.825195,390078
2019-03-18,15401.000000,15619.000000,15401.000000,15619.000000,15217.918945,133348
2019-03-19,14872.000000,15000.000000,14550.000000,14604.000000,14399.539063,365379
2019-03-20,15000.000000,15000.000000,14421.000000,14457.000000,14254.596680,129793
2019-03-22,15000.000000,15000.000000,14157.000000,14180.000000,13981.474609,224344
2019-03-25,14200.000000,14373.000000,13876.000000,13903.000000,13708.353516,267098
2019-03-26,14500.000000,14847.000000,13874.000000,13900.000000,13705.395508,207123
2019-03-27,14199.000000,14199.000000,13497.000000,13550.000000,13360.294922,327641
2019-03-28,13649.000000,13649.000000,13237.000000,13482.000000,13293.247070,115574
2019-03-29,13549.000000,13639.000000,13213.000000,13213.000000,13028.013672,186003
2019-04-01,13257.000000,13959.000000,13257.000000,13776.000000,13583.130859,128719
2019-04-02,13601.000000,13895.000000,13601.000000,13713.000000,13521.012695,186072
2019-04-03,13925.000000,14078.000000,13782.000000,13974.000000,13778.359375,48222
2019-04-04,13987.000000,14025.000000,13935.000000,13975.000000,13779.344727,359982
2019-04-05,14100.000000,14160.000000,14012.000000,14050.000000,13853.294922,89989
2019-04-08,14051.000000,14197.000000,13917.000000,13930.000000,13734.974609,401982
2019-04-09,14000.000000,14258.000000,13945.000000,14130.000000,13932.174805,127659
2019-04-10,14317.000000,14317.000000,14085.000000,14119.000000,13921.329102,330116
2019-04-11,14092.000000,14113.000000,13920.000000,14000.000000,13803.995117,211894
2019-04-12,14001.000000,14364.000000,13930.000000,14244.000000,14044.579102,358332
2019-04-15,13962.000000,14224.000000,13962.000000,14106.000000,13908.510742,305699
2019-04-16,14005.000000,14378.000000,13960.000000,14300.000000,14099.794922,144178
2019-04-17,14413.000000,14582.000000,14374.000000,14573.000000,14368.972656,146478
2019-04-18,14560.000000,14560.000000,14362.000000,14447.000000,14244.737305,68310
2019-04-23,14364.000000,14656.000000,14364.000000,14448.000000,14245.722656,86085
2019-04-24,14449.000000,14449.000000,14247.000000,14281.000000,14081.060547,116731
2019-04-25,14336.000000,14336.000000,14109.000000,14150.000000,13951.894531,106396
2019-04-26,14335.000000,14335.000000,14154.000000,14239.000000,14039.649414,24453
