Country,Total Stimulus Spending,Total Stimulus Spending in Health Sector,Total Stimulus Spending in Non-Health sector,Total Liquidity Support,Total Stimulus Spending Percent GDP,Total Stimulus Spending in Health Sector Percent GDP,Total Stimulus Spending in Non-Health Sector Percent GDP,Total Liquidity Support Percent GDP
AFG,0.553550492,0.085288656,0.468261836,,2.907615738,0.447992806,2.459622932,
ALB,0.175963941,0.022989802,0.126131247,0.239093936,1.217337361,0.159045906,0.872589456,1.654077418
DZA,0.552922591,0.230647709,0.322274882,,0.382890275,0.159719943,0.223170331,
AGO,0.309669339,,,,0.5,,,
AIA,,,,,,,,
ATG,0.075185185,0.003703704,0.071481481,15.55555556,5.419657879,0.266978221,5.152679658,1121.308527
ARG,14.69136877,1.104507725,13.58686105,7.506404421,3.799192841,0.285626064,3.513566777,1.941158675
ARM,0.123955863,0.041249871,0.082705992,0.133855832,0.978879287,0.325750179,0.653129108,1.05705933
ABW,0.229050279,0.089385475,0.139664804,,10.00891682,3.905918758,6.10299806,
AUS,218.447779,11.46091382,206.9868652,24.16457733,16.1778523,0.848774805,15.3290775,1.789585432
AUT,36.42442924,2.048874144,34.37555509,10.24437072,8.554588776,0.481195619,8.073393157,2.405978093
AZE,0.892941176,0.217647059,0.675294118,1.423529412,2.150283335,0.524113856,1.626169479,3.427987925
BHS,0.33,0.03,0.3,0.02,2.937329845,0.267029986,2.670299859,0.178019991
BHR,1.960106383,0.478723404,1.481382979,0.265957447,5.799727668,1.416487083,4.383240585,0.786937268
BGD,4.190589929,0.30390499,3.886684939,,1.272593234,0.092289496,1.180303738,
BRB,0.11405,0.025,0.08905,0.205,2.56930057,0.563196092,2.006104478,4.618207951
BLR,,,,,,,,
BEL,36.53825558,9.21993365,27.31832193,60.32796092,7.220484501,1.821991416,5.398493085,11.92167223
BLZ,0.0125,,,0.055,0.749728114,,,3.298803702
BEN,0.417829504,0.228294195,0.189535309,0.263913408,2.615335717,1.391271292,1.224064425,1.594937567
BTN,,,,,,,,
BOL,2.026239067,0.497084548,1.529154519,4.139941691,5.203749547,1.276603306,3.927146241,10.63212138
BIH,0.963524237,,,,5.1,,,
BWA,0.274519337,0.125608981,0.148910357,0.113735783,1.700241528,0.777961973,0.922279555,0.704425063
BRA,117.6914557,16.66427691,101.0271788,88.27823545,8.25694146,1.169124454,7.087817005,6.193382671
BRN,0.14476672,,,,1.316689346,,,
BGR,2.978907359,0.911569265,2.067338094,2.666439464,4.386106514,1.342183361,3.043923153,3.926032633
BFA,0.686638897,0.31020742,0.376431476,,4.2976411,1.941573898,2.356067202,
BDI,0.153424905,0.059960958,0.093463947,,4.9,1.915,2.985,
CPV,0.049446304,0.020569409,0.028876895,0.031789087,2.644263359,1.1,1.544263359,1.7
KHM,0.684209839,0.105263052,0.578946787,0.60526255,2.6,0.4,2.2,2.3
CMR,0.347054278,0.10186043,0.245193847,,0.891631098,0.261693727,0.629937371,
CAN,240.1044382,39.21135386,200.8930843,65.92269359,14.64614169,2.391855181,12.25428651,4.021221424
CAF,0.027005458,0.017092062,0.009913396,,1.163643934,0.736483503,0.427160431,
TCD,0.594803765,0.071786661,0.523017104,0.188012684,5.659340752,0.683023884,4.976316868,1.788872077
CHL,20.73555726,2.215445209,18.52011206,4.500320324,8.245408759,0.880962643,7.364446116,1.789533802
CHN,710.7658415,21.30558293,689.4602586,192.764798,4.734794335,0.14192797,4.592866364,1.284110209
COL,11.06005399,2.913522529,8.146531461,15.41143382,4.100131596,1.080087474,3.020044122,5.71325482
COM,0.034184124,0.023700993,0.010483131,,2.849767301,1.975838662,0.873928639,
COG,0.234261637,0.130145354,0.104116283,0.043381785,2.286247038,1.270137243,1.016109795,0.423379081
CRI,0.846661527,0.195383429,0.651278097,,1.429011914,0.32977198,1.099239934,
CIV,1,0.2,0.8,,1.4,0.2,1.2,
HRV,1.472562187,0.160362793,1.312199394,1.649886429,2.594022318,0.282490389,2.31153193,2.906391498
CYP,1.534379082,0.113826341,1.42055274,1.058584975,6.379501123,0.47325676,5.906244364,4.401287867
CZE,13.0664036,2.858812351,10.20759125,37.13022048,5.444233461,1.191149634,4.253083827,15.47063713
COD,0.495938264,0.086518825,0.409419439,,1.076677989,0.187831674,0.888846315,
DNK,6.142869787,0.121942825,6.020926962,14.78495776,1.772857226,0.035193196,1.737664031,4.266998996
DJI,0.082713917,0.028133985,0.054579931,,2.426976132,0.825502086,1.601474046,
DMA,0.01,0,0.01,0.003703704,1.914143436,0,1.914143436,0.708942013
DOM,1.588494642,0.7412975,0.847197142,,2.044942847,0.954306662,1.090636185,
ECU,,,,,,,,
EGY,5.695787783,0.804580074,4.891207709,0.462566706,1.574089347,0.222353952,1.351735395,0.127835052
SLV,0.63,0.12,0.51,0.6,2.541927125,0.484176595,2.05775053,2.420882976
GNQ,0.174273832,0.101078822,0.073195009,0.001742738,1.737802374,1.007925377,0.729876997,0.017378024
ERI,,,,,,,,
EST,1.067691082,0.261800585,0.805890497,1.32038556,3.490015096,0.855760631,2.634254465,4.31601014
SWZ,0.109142857,0.014285714,0.094857143,,2.836192291,0.371229357,2.464962934,
ETH,1.488254717,0.457924528,1.001709906,0.601025943,1.541037912,0.474165511,1.037237056,0.622342234
EU,487.0060015,0.056913171,486.9490883,870.7715114,3.804946974,0.000444659,3.804502315,6.80328254
FJI,0.223259692,0.017273477,0.205986215,,5.677358348,0.439254031,5.238104317,
FIN,7.910930725,2.105787315,5.805143409,18.57645891,2.974007328,0.791642238,2.182365089,6.983568286
FRA,198.057834,20.26108876,177.7967452,404.6526435,7.710300929,0.788754923,6.921546007,15.75294242
GAB,0.302110749,0.114701439,0.18740931,0.021690892,1.994153231,0.757113892,1.237039339,0.143175849
GMB,0.051641657,0.013903523,0.037557569,,2.86,0.77,2.08,
GEO,1.038121741,0.315456731,0.72266501,2.43814E-05,6.417191177,1.950008437,4.46718274,0.000182157
DEU,417.7426728,45.53053654,372.2121362,1054.3734,11.03370544,1.202583699,9.831121741,27.84883201
GHA,1.941577542,0.099159139,1.842418403,0.208026165,2.88336945,0.147257797,2.736111653,0.308932441
GRC,21.21364606,0.707616905,20.50602915,9.332769651,11.02887243,0.367886621,10.66098581,4.852061998
GRD,0.024444446,0.007407408,0.017037038,,2.345616223,0.710792795,1.634823428,
GTM,2.530144172,0.157124835,2.373019337,,3.355011521,0.208350037,3.146661484,
GIN,0.181955024,0.102107196,0.079847827,0.007147504,1.8,0.8,1,0.050198587
GNB,0.071752477,0.05992477,0.011827707,0.025638093,5.155345263,4.305536087,0.849809176,1.842071914
GUY,,,,,,,,
HTI,0.182117157,0.149095914,0.033021243,,1.27878474,1.046917177,0.231867563,
HND,0.544915884,0.224377129,0.320538755,0.499840121,2.271958775,0.935512437,1.336446338,2.084021008
HKG,41,1.3,39.7,2.6,11.7,0.4,11.3,0.7
HUN,5.997549046,1.769415033,4.228134013,6.627022595,4,1.180092081,2.819907919,4.419820526
ISL,0.909122426,0.050270793,0.858534162,0.916454059,4.340281299,0.24,4.098765646,4.375283568
IND,80.64753841,4.83990095,75.80763746,134.3206955,3.056821257,0.183449023,2.873372234,5.091219961
IDN,29.09219668,5.208496932,23.88369975,9.262215267,2.68041009,0.479884963,2.200525127,0.853374379
IRN,30.63358832,11.4648479,19.16874041,,4.863117095,1.820057685,3.04305941,
IRQ,0.288878766,0.03694961,0.251929156,,0.16793461,0.021480008,0.146454602,
