"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2018-12",98.90263,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2019-01",98.81673,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2019-02",98.73988,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2019-03",98.68465,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2019-04",98.65871,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2019-05",98.63126,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2019-06",98.55904,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2019-07",98.4137,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2019-08",98.2541,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2019-09",98.16441,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2019-10",98.20662,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2019-11",98.30303,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2019-12",98.34206,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2020-01",98.22974,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2020-02",97.99873,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2020-03",97.68379,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2020-04",97.31614,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2020-05",97.00161,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2020-06",96.90356,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2020-07",97.1727,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2020-08",97.66046,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2020-09",98.21207,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2020-10",98.74113,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2020-11",99.24025,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2020-12",99.72547,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2018-12",101.5216,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2019-01",101.6135,
"RUS","BCI","AMPLITUD","LTRENDIDX","M","2019-02",101.4804,
