"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ELDLYPOP","TOT","PC_POP","A","2012",14.137,
"AUS","ELDLYPOP","TOT","PC_POP","A","2013",14.4,
"AUS","ELDLYPOP","TOT","PC_POP","A","2014",14.663,
"AUS","ELDLYPOP","TOT","PC_POP","A","2015",14.924,
"AUS","ELDLYPOP","TOT","PC_POP","A","2016",15.18,
"AUS","ELDLYPOP","TOT","PC_POP","A","2017",15.409,
"AUS","ELDLYPOP","TOT","PC_POP","A","2018",15.663,
"AUT","ELDLYPOP","TOT","PC_POP","A","2012",17.947,
"AUT","ELDLYPOP","TOT","PC_POP","A","2013",18.19,
"AUT","ELDLYPOP","TOT","PC_POP","A","2014",18.399,
"AUT","ELDLYPOP","TOT","PC_POP","A","2015",18.477,
"AUT","ELDLYPOP","TOT","PC_POP","A","2016",18.495,
"AUT","ELDLYPOP","TOT","PC_POP","A","2017",18.599,
"AUT","ELDLYPOP","TOT","PC_POP","A","2018",18.759,
"BEL","ELDLYPOP","TOT","PC_POP","A","2012",17.545,
"BEL","ELDLYPOP","TOT","PC_POP","A","2013",17.766,
"BEL","ELDLYPOP","TOT","PC_POP","A","2014",17.999,
"BEL","ELDLYPOP","TOT","PC_POP","A","2015",18.21,
"BEL","ELDLYPOP","TOT","PC_POP","A","2016",18.405,
"BEL","ELDLYPOP","TOT","PC_POP","A","2017",18.617,
"BEL","ELDLYPOP","TOT","PC_POP","A","2018",18.835,
"CAN","ELDLYPOP","TOT","PC_POP","A","2012",14.85,
"CAN","ELDLYPOP","TOT","PC_POP","A","2013",15.258,
"CAN","ELDLYPOP","TOT","PC_POP","A","2014",15.64,
"CAN","ELDLYPOP","TOT","PC_POP","A","2015",16.027,
"CAN","ELDLYPOP","TOT","PC_POP","A","2016",16.397,
"CAN","ELDLYPOP","TOT","PC_POP","A","2017",16.792,
"CAN","ELDLYPOP","TOT","PC_POP","A","2018",17.157,
"CZE","ELDLYPOP","TOT","PC_POP","A","2012",16.503,
"CZE","ELDLYPOP","TOT","PC_POP","A","2013",17.09,
"CZE","ELDLYPOP","TOT","PC_POP","A","2014",17.605,
"CZE","ELDLYPOP","TOT","PC_POP","A","2015",18.076,
"CZE","ELDLYPOP","TOT","PC_POP","A","2016",18.555,
"CZE","ELDLYPOP","TOT","PC_POP","A","2017",19.019,
"CZE","ELDLYPOP","TOT","PC_POP","A","2018",19.414,
"DNK","ELDLYPOP","TOT","PC_POP","A","2012",17.653,
"DNK","ELDLYPOP","TOT","PC_POP","A","2013",18.071,
"DNK","ELDLYPOP","TOT","PC_POP","A","2014",18.453,
"DNK","ELDLYPOP","TOT","PC_POP","A","2015",18.736,
"DNK","ELDLYPOP","TOT","PC_POP","A","2016",18.972,
"DNK","ELDLYPOP","TOT","PC_POP","A","2017",19.197,
"DNK","ELDLYPOP","TOT","PC_POP","A","2018",19.461,
"FIN","ELDLYPOP","TOT","PC_POP","A","2012",18.451,
"FIN","ELDLYPOP","TOT","PC_POP","A","2013",19.073,
"FIN","ELDLYPOP","TOT","PC_POP","A","2014",19.664,
"FIN","ELDLYPOP","TOT","PC_POP","A","2015",20.207,
"FIN","ELDLYPOP","TOT","PC_POP","A","2016",20.682,
"FIN","ELDLYPOP","TOT","PC_POP","A","2017",21.144,
"FIN","ELDLYPOP","TOT","PC_POP","A","2018",21.613,
"FRA","ELDLYPOP","TOT","PC_POP","A","2012",17.354,
"FRA","ELDLYPOP","TOT","PC_POP","A","2013",17.792,
"FRA","ELDLYPOP","TOT","PC_POP","A","2014",18.186,
"FRA","ELDLYPOP","TOT","PC_POP","A","2015",18.634,
"FRA","ELDLYPOP","TOT","PC_POP","A","2016",19.054,
"FRA","ELDLYPOP","TOT","PC_POP","A","2017",19.451,
"FRA","ELDLYPOP","TOT","PC_POP","A","2018",19.837,
"DEU","ELDLYPOP","TOT","PC_POP","A","2012",20.714,
"DEU","ELDLYPOP","TOT","PC_POP","A","2013",20.812,
"DEU","ELDLYPOP","TOT","PC_POP","A","2014",20.956,
"DEU","ELDLYPOP","TOT","PC_POP","A","2015",21.049,
"DEU","ELDLYPOP","TOT","PC_POP","A","2016",21.136,
"DEU","ELDLYPOP","TOT","PC_POP","A","2017",21.305,
"DEU","ELDLYPOP","TOT","PC_POP","A","2018",21.466,
"GRC","ELDLYPOP","TOT","PC_POP","A","2012",19.865,
"GRC","ELDLYPOP","TOT","PC_POP","A","2013",20.274,
"GRC","ELDLYPOP","TOT","PC_POP","A","2014",20.691,
"GRC","ELDLYPOP","TOT","PC_POP","A","2015",21.079,
"GRC","ELDLYPOP","TOT","PC_POP","A","2016",21.402,
"GRC","ELDLYPOP","TOT","PC_POP","A","2017",21.665,
"GRC","ELDLYPOP","TOT","PC_POP","A","2018",21.894,
"HUN","ELDLYPOP","TOT","PC_POP","A","2012",17.024,
"HUN","ELDLYPOP","TOT","PC_POP","A","2013",17.353,
"HUN","ELDLYPOP","TOT","PC_POP","A","2014",17.717,
"HUN","ELDLYPOP","TOT","PC_POP","A","2015",18.088,
"HUN","ELDLYPOP","TOT","PC_POP","A","2016",18.467,
"HUN","ELDLYPOP","TOT","PC_POP","A","2017",18.8,
"HUN","ELDLYPOP","TOT","PC_POP","A","2018",19.143,
"ISL","ELDLYPOP","TOT","PC_POP","A","2012",12.784,
"ISL","ELDLYPOP","TOT","PC_POP","A","2013",13.083,
"ISL","ELDLYPOP","TOT","PC_POP","A","2014",13.376,
"ISL","ELDLYPOP","TOT","PC_POP","A","2015",13.695,
"ISL","ELDLYPOP","TOT","PC_POP","A","2016",13.939,
"ISL","ELDLYPOP","TOT","PC_POP","A","2017",14.039,
"ISL","ELDLYPOP","TOT","PC_POP","A","2018",14.136,
"IRL","ELDLYPOP","TOT","PC_POP","A","2012",11.974,
"IRL","ELDLYPOP","TOT","PC_POP","A","2013",12.334,
"IRL","ELDLYPOP","TOT","PC_POP","A","2014",12.69,
"IRL","ELDLYPOP","TOT","PC_POP","A","2015",13.018,
