"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"RUS","HHEXP","TOT","PC_GDP","A","2018",49.4633599405076,
"RUS","HHEXP","TOT","PC_GDP","A","2019",50.3759912272945,
"FRA","HHEXP","TOT","PC_GDP","A","2018",53.8882537159734,"E"
"FRA","HHEXP","TOT","PC_GDP","A","2019",53.7268294452589,"E"
"ZAF","HHEXP","GOVTRANSF","PC_GDP","A","2018",69.5027554861093,"E"
"ZAF","HHEXP","GOVTRANSF","PC_GDP","A","2019",69.7836854583554,"E"
"NOR","HHEXP","TOT","PC_GDP","A","2018",42.9634204676552,
"NOR","HHEXP","TOT","PC_GDP","A","2019",44.3659611577789,
"LUX","HHEXP","TOT","PC_GDP","A","2018",29.7636580916863,
"LUX","HHEXP","TOT","PC_GDP","A","2019",29.4891427616354,
"CHE","HHEXP","TOT","PC_GDP","A","2018",51.8097001017341,
"CHE","HHEXP","TOT","PC_GDP","A","2019",52.014746458971,
"RUS","HHEXP","GOVTRANSF","PC_GDP","A","2018",56.9109544952577,
"RUS","HHEXP","GOVTRANSF","PC_GDP","A","2019",58.2196520170288,
"ZAF","HHEXP","TOT","PC_GDP","A","2018",59.9313631452404,
"ZAF","HHEXP","TOT","PC_GDP","A","2019",60.2371948038963,
"MEX","HHEXP","TOT","PC_GDP","A","2018",64.7611165395793,"E"
"MEX","HHEXP","TOT","PC_GDP","A","2019",64.8828153016904,"E"
"NOR","HHEXP","GOVTRANSF","PC_GDP","A","2018",58.653619966797,
"NOR","HHEXP","GOVTRANSF","PC_GDP","A","2019",60.7602715772058,
"ISL","HHEXP","TOT","PC_GDP","A","2018",50.4225383702234,
"ISL","HHEXP","TOT","PC_GDP","A","2019",50.2923979833567,
"BEL","HHEXP","TOT","PC_GDP","A","2018",51.7456041165946,
"BEL","HHEXP","TOT","PC_GDP","A","2019",51.397123875454,
"PRT","HHEXP","TOT","PC_GDP","A","2018",64.2697234216815,
"PRT","HHEXP","TOT","PC_GDP","A","2019",63.8914679120164,"E"
"ITA","HHEXP","GOVTRANSF","PC_GDP","A","2018",71.0968570233325,
"ITA","HHEXP","GOVTRANSF","PC_GDP","A","2019",70.9904193162497,
"ISL","HHEXP","GOVTRANSF","PC_GDP","A","2018",66.0291131704443,
"ISL","HHEXP","GOVTRANSF","PC_GDP","A","2019",66.2717475710004,
"PRT","HHEXP","GOVTRANSF","PC_GDP","A","2018",73.6185471152729,
"PRT","HHEXP","GOVTRANSF","PC_GDP","A","2019",73.3594144054998,"E"
"BEL","HHEXP","GOVTRANSF","PC_GDP","A","2018",66.7726642274413,
"BEL","HHEXP","GOVTRANSF","PC_GDP","A","2019",66.4263141393602,
"ITA","HHEXP","TOT","PC_GDP","A","2018",60.2039080369299,
"ITA","HHEXP","TOT","PC_GDP","A","2019",60.1443611862459,
"CHN","HHEXP","TOT","PC_GDP","A","2018",38.5218817399814,
"CHN","HHEXP","TOT","PC_GDP","A","2019",38.945361987217,
"DEU","HHEXP","TOT","PC_GDP","A","2018",52.2997190450511,
"DEU","HHEXP","TOT","PC_GDP","A","2019",52.3874980066975,
"DEU","HHEXP","TOT","PC_GDP","A","2020",51.3345929595107,"E"
"DNK","HHEXP","TOT","PC_GDP","A","2018",46.7154472084999,
"DNK","HHEXP","TOT","PC_GDP","A","2019",46.0927350086182,
"EA","HHEXP","GOVTRANSF","PC_GDP","A","2018",66.5381936419248,
"EA","HHEXP","GOVTRANSF","PC_GDP","A","2019",66.3627982418064,
"DNK","HHEXP","GOVTRANSF","PC_GDP","A","2018",63.9728650799479,
"DNK","HHEXP","GOVTRANSF","PC_GDP","A","2019",62.9177141437657,
"SWE","HHEXP","GOVTRANSF","PC_GDP","A","2018",64.5872071902651,
"SWE","HHEXP","GOVTRANSF","PC_GDP","A","2019",63.9808876692785,
"ISR","HHEXP","GOVTRANSF","PC_GDP","A","2018",67.2526778478595,
"ISR","HHEXP","GOVTRANSF","PC_GDP","A","2019",66.62224272802,
"GBR","HHEXP","GOVTRANSF","PC_GDP","A","2018",76.824733680955,
"GBR","HHEXP","GOVTRANSF","PC_GDP","A","2019",76.3654723121152,
"FIN","HHEXP","GOVTRANSF","PC_GDP","A","2018",68.1430363327354,
"FIN","HHEXP","GOVTRANSF","PC_GDP","A","2019",67.6801310270576,
"EA","HHEXP","TOT","PC_GDP","A","2018",53.7022366702906,
"EA","HHEXP","TOT","PC_GDP","A","2019",53.4363615242293,
"SWE","HHEXP","TOT","PC_GDP","A","2018",45.6972901054738,
"SWE","HHEXP","TOT","PC_GDP","A","2019",45.3258644028462,
"HUN","HHEXP","TOT","PC_GDP","A","2018",49.3297201070772,
"HUN","HHEXP","TOT","PC_GDP","A","2019",49.0810943961002,"E"
"AUT","HHEXP","TOT","PC_GDP","A","2018",51.919446419572,
"AUT","HHEXP","TOT","PC_GDP","A","2019",51.6989159889418,
"AUT","HHEXP","GOVTRANSF","PC_GDP","A","2018",64.151296849826,
"AUT","HHEXP","GOVTRANSF","PC_GDP","A","2019",64.0770950346812,
"FRA","HHEXP","GOVTRANSF","PC_GDP","A","2018",69.0785351891208,"E"
"FRA","HHEXP","GOVTRANSF","PC_GDP","A","2019",68.7736528881465,"E"
"EST","HHEXP","GOVTRANSF","PC_GDP","A","2018",61.4691780767916,
"EST","HHEXP","GOVTRANSF","PC_GDP","A","2019",60.3722128638327,
"NZL","HHEXP","GOVTRANSF","PC_GDP","A","2018",69.1982336047707,"E"
"HUN","HHEXP","GOVTRANSF","PC_GDP","A","2018",59.2728578635852,
"HUN","HHEXP","GOVTRANSF","PC_GDP","A","2019",58.7632586430686,"E"
"ISR","HHEXP","TOT","PC_GDP","A","2018",54.7748716896995,
"ISR","HHEXP","TOT","PC_GDP","A","2019",54.1831562942218,
"NZL","HHEXP","TOT","PC_GDP","A","2018",57.469409216004,"E"
"NZL","HHEXP","TOT","PC_GDP","A","2019",57.32884285118,"E"
"LUX","HHEXP","GOVTRANSF","PC_GDP","A","2018",39.8423814451355,
"LUX","HHEXP","GOVTRANSF","PC_GDP","A","2019",39.9118677122685,
"CZE","HHEXP","TOT","PC_GDP","A","2018",47.4688358706131,
"CZE","HHEXP","TOT","PC_GDP","A","2019",47.3211910997155,
"SVN","HHEXP","GOVTRANSF","PC_GDP","A","2018",63.0763967820495,
"SVN","HHEXP","GOVTRANSF","PC_GDP","A","2019",63.5151347810359,
"SVK","HHEXP","GOVTRANSF","PC_GDP","A","2018",64.9693047933833,
"SVK","HHEXP","GOVTRANSF","PC_GDP","A","2019",65.6145494723778,
"SVN","HHEXP","TOT","PC_GDP","A","2018",52.0889430266213,
"SVN","HHEXP","TOT","PC_GDP","A","2019",52.4189130660919,
"CZE","HHEXP","GOVTRANSF","PC_GDP","A","2018",57.9232725131778,
"CZE","HHEXP","GOVTRANSF","PC_GDP","A","2019",58.1627660009341,
"SVK","HHEXP","TOT","PC_GDP","A","2018",56.2419187932416,
"SVK","HHEXP","TOT","PC_GDP","A","2019",56.371955704084,
"EST","HHEXP","TOT","PC_GDP","A","2018",50.1874260670722,
"EST","HHEXP","TOT","PC_GDP","A","2019",49.0091460323817,
"FIN","HHEXP","TOT","PC_GDP","A","2018",53.0106040044351,
"FIN","HHEXP","TOT","PC_GDP","A","2019",52.389622590528,
"USA","HHEXP","GOVTRANSF","PC_GDP","A","2018",73.9209671557556,
"USA","HHEXP","GOVTRANSF","PC_GDP","A","2019",73.834643464311,
"GRC","HHEXP","TOT","PC_GDP","A","2018",69.2325180847598,"E"
"GRC","HHEXP","TOT","PC_GDP","A","2019",69.2588225865963,"E"
"TUR","HHEXP","GOVTRANSF","PC_GDP","A","2018",61.3911547106437,"E"
"TUR","HHEXP","GOVTRANSF","PC_GDP","A","2019",62.3948987907891,"E"
"GBR","HHEXP","TOT","PC_GDP","A","2018",64.6977390895101,
"GBR","HHEXP","TOT","PC_GDP","A","2019",63.9857891347485,
"USA","HHEXP","TOT","PC_GDP","A","2018",67.8894593748716,
"USA","HHEXP","TOT","PC_GDP","A","2019",67.8600645558443,
"GRC","HHEXP","GOVTRANSF","PC_GDP","A","2018",78.023414843626,"E"
"GRC","HHEXP","GOVTRANSF","PC_GDP","A","2019",78.1752601225187,"E"
"DEU","HHEXP","GOVTRANSF","PC_GDP","A","2018",65.1542868719852,
"DEU","HHEXP","GOVTRANSF","PC_GDP","A","2019",65.5191429524072,
"DEU","HHEXP","GOVTRANSF","PC_GDP","A","2020",65.5436268222275,"E"
"NLD","HHEXP","GOVTRANSF","PC_GDP","A","2018",60.5919737670012,
