"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q1",1.06627,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.61552,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.577085,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.86544,
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q1",-0.339694341,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",1.014142649,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.375455057,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.311630082,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.281701518,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-3.153851888,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q3",2.136144877,"P"
"AUS","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.904627933,
"AUS","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.872744108,
"AUS","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.36840484,
"AUS","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.186409991,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.497127843,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.649124817,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.607538848,
"AUS","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.393353994,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.279320053,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-7.027382636,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q3",3.328123983,
"ISL","QGDP","TOT","PC_CHGPP","Q","2018-Q1",-0.339312213,
"ISL","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.1852505,
"ISL","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.115587011,
"ISL","QGDP","TOT","PC_CHGPP","Q","2018-Q4",2.940023884,
"ISL","QGDP","TOT","PC_CHGPP","Q","2019-Q1",-0.167527946,
"ISL","QGDP","TOT","PC_CHGPP","Q","2019-Q2",-0.756734557,
"ISL","QGDP","TOT","PC_CHGPP","Q","2019-Q3",-2.278947744,
"ISL","QGDP","TOT","PC_CHGPP","Q","2019-Q4",6.211608107,
"ISL","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-7.600387833,
"ISL","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-7.314675727,
"ISL","QGDP","TOT","PC_CHGPP","Q","2020-Q3",2.58498745,
"GBR","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.069019083,
"GBR","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.382631967,
"GBR","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.596472835,
"GBR","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.166751655,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.551073721,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",-0.017923531,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.325823198,
"GBR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.149395602,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-2.522693203,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-19.810925559,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q3",15.50703357,
"EST","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.939774395,
"EST","QGDP","TOT","PC_CHGPP","Q","2018-Q2",1.159542095,
"EST","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.70398595,
"EST","QGDP","TOT","PC_CHGPP","Q","2018-Q4",1.266420628,
"EST","QGDP","TOT","PC_CHGPP","Q","2019-Q1",2.409699061,
"EST","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.426008333,
"EST","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.471135039,
"EST","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.484044841,
"EST","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.820471658,
"EST","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-5.493447446,
"EST","QGDP","TOT","PC_CHGPP","Q","2020-Q3",3.255995705,
"DNK","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.597633546,
"DNK","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.433290394,
"DNK","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.832906364,
"DNK","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.634173709,
"DNK","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.759283924,
"DNK","QGDP","TOT","PC_CHGPP","Q","2019-Q2",1.070546377,
"DNK","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.505676254,
"DNK","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.024241094,
"DNK","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.648087256,
"DNK","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-7.0153227,
"DNK","QGDP","TOT","PC_CHGPP","Q","2020-Q3",4.899527658,
"ESP","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.549619907,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.52043867,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.610602276,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.554108131,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.522265726,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.378039987,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.353791001,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.414757334,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-5.249658572,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-17.791879065,"P"
"ESP","QGDP","TOT","PC_CHGPP","Q","2020-Q3",16.69809828,"P"
"JPN","QGDP","TOT","PC_CHGPP","Q","2018-Q1",-0.034943123,
"JPN","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.05179369,
"JPN","QGDP","TOT","PC_CHGPP","Q","2018-Q3",-0.653421834,
"JPN","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.453692756,
"JPN","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.57740988,
"JPN","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.077576528,
"JPN","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.179240981,
"JPN","QGDP","TOT","PC_CHGPP","Q","2019-Q4",-1.861715352,
"JPN","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.538012647,
"JPN","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-8.261777428,
"JPN","QGDP","TOT","PC_CHGPP","Q","2020-Q3",5.295470884,
"OECD","QGDP","TOT","PC_CHGPP","Q","2018-Q1",0.63551667,
"OECD","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.526786475,
"OECD","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.216691718,
"OECD","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.280836718,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q1",0.603998202,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.395746009,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.409135366,
"OECD","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.204874368,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.839815835,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-10.519747731,
"OECD","QGDP","TOT","PC_CHGPP","Q","2020-Q3",9.1,
