"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TRUSTGOV","TOT","PC","A","2016",1.09046280384064,
"AUS","TRUSTGOV","TOT","PC","A","2017",1.06185352802277,
"AUS","TRUSTGOV","TOT","PC","A","2018",0.995093941688538,
"AUS","TRUSTGOV","TOT","PC","A","2019",0.962961316108704,
"AUT","TRUSTGOV","TOT","PC","A","2016",2.71117305755615,
"AUT","TRUSTGOV","TOT","PC","A","2017",2.75950765609741,
"AUT","TRUSTGOV","TOT","PC","A","2018",2.72753739356995,
"AUT","TRUSTGOV","TOT","PC","A","2019",2.76449275016785,
"BEL","TRUSTGOV","TOT","PC","A","2016",2.57281517982483,
"BEL","TRUSTGOV","TOT","PC","A","2017",2.69191908836365,
"BEL","TRUSTGOV","TOT","PC","A","2018",2.84703469276428,
"BEL","TRUSTGOV","TOT","PC","A","2019",2.90514588356018,
"CAN","TRUSTGOV","TOT","PC","A","2016",1.23295938968658,
"CAN","TRUSTGOV","TOT","PC","A","2017",1.25677311420441,
"CAN","TRUSTGOV","TOT","PC","A","2018",1.22608423233032,
"CAN","TRUSTGOV","TOT","PC","A","2019",1.247234582901,
"CZE","TRUSTGOV","TOT","PC","A","2016",1.49755895137787,
"CZE","TRUSTGOV","TOT","PC","A","2017",1.52396631240845,
"CZE","TRUSTGOV","TOT","PC","A","2018",1.60348188877106,
"CZE","TRUSTGOV","TOT","PC","A","2019",1.80646240711212,
"DNK","TRUSTGOV","TOT","PC","A","2016",3.2812283039093,
"DNK","TRUSTGOV","TOT","PC","A","2017",2.93913245201111,
"FIN","TRUSTGOV","TOT","PC","A","2016",2.55473113059998,
"FIN","TRUSTGOV","TOT","PC","A","2017",2.42199540138245,
"FIN","TRUSTGOV","TOT","PC","A","2018",2.50180864334106,
"FIN","TRUSTGOV","TOT","PC","A","2019",2.46257710456848,
"FRA","TRUSTGOV","TOT","PC","A","2016",2.20676612854004,
"FRA","TRUSTGOV","TOT","PC","A","2017",2.20190119743347,
"FRA","TRUSTGOV","TOT","PC","A","2018",2.19635224342346,
"FRA","TRUSTGOV","TOT","PC","A","2019",2.1811363697052,
"DEU","TRUSTGOV","TOT","PC","A","2016",2.735027551651,
"DEU","TRUSTGOV","TOT","PC","A","2017",2.82726860046387,
"DEU","TRUSTGOV","TOT","PC","A","2018",2.91621112823486,
"DEU","TRUSTGOV","TOT","PC","A","2019",2.95139241218567,
"HUN","TRUSTGOV","TOT","PC","A","2016",1.31433367729187,
