"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","M","2018-12",5.0095,
"AUS","HUR","TOT","PC_LF","M","2019-01",5.041164,
"AUS","HUR","TOT","PC_LF","M","2019-02",4.956326,
"AUS","HUR","TOT","PC_LF","M","2019-03",5.079308,
"AUS","HUR","TOT","PC_LF","M","2019-04",5.216677,
"AUS","HUR","TOT","PC_LF","M","2019-05",5.224588,
"AUS","HUR","TOT","PC_LF","M","2019-06",5.248259,
"AUS","HUR","TOT","PC_LF","M","2019-07",5.245596,
"AUS","HUR","TOT","PC_LF","M","2019-08",5.244605,
"AUS","HUR","TOT","PC_LF","M","2019-09",5.199507,
"AUS","HUR","TOT","PC_LF","M","2019-10",5.298264,
"AUS","HUR","TOT","PC_LF","M","2019-11",5.140154,
"AUS","HUR","TOT","PC_LF","M","2019-12",5.051248,
"AUS","HUR","TOT","PC_LF","M","2020-01",5.264596,
"AUS","HUR","TOT","PC_LF","M","2020-02",5.077748,
"AUS","HUR","TOT","PC_LF","M","2020-03",5.21979,
"AUS","HUR","TOT","PC_LF","M","2020-04",6.353878,
"AUS","HUR","TOT","PC_LF","M","2020-05",7.062555,
"AUS","HUR","TOT","PC_LF","M","2020-06",7.435485,
"AUS","HUR","TOT","PC_LF","M","2020-07",7.480891,
"AUS","HUR","TOT","PC_LF","M","2020-08",6.809101,
"AUS","HUR","TOT","PC_LF","M","2020-09",6.914853,
"AUS","HUR","TOT","PC_LF","M","2020-10",6.987514,
"AUS","HUR","TOT","PC_LF","M","2020-11",6.825236,
"AUS","HUR","TOT","PC_LF","M","2020-12",6.597738,
"AUT","HUR","TOT","PC_LF","M","2018-12",4.7,
"AUT","HUR","TOT","PC_LF","M","2019-01",4.8,
"AUT","HUR","TOT","PC_LF","M","2019-02",4.8,
"AUT","HUR","TOT","PC_LF","M","2019-03",4.8,
"AUT","HUR","TOT","PC_LF","M","2019-04",4.7,
"AUT","HUR","TOT","PC_LF","M","2019-05",4.5,
"AUT","HUR","TOT","PC_LF","M","2019-06",4.3,
"AUT","HUR","TOT","PC_LF","M","2019-07",4.4,
"AUT","HUR","TOT","PC_LF","M","2019-08",4.5,
"AUT","HUR","TOT","PC_LF","M","2019-09",4.5,
"AUT","HUR","TOT","PC_LF","M","2019-10",4.4,
"AUT","HUR","TOT","PC_LF","M","2019-11",4.3,
"AUT","HUR","TOT","PC_LF","M","2019-12",4.3,
"AUT","HUR","TOT","PC_LF","M","2020-01",4.4,
"AUT","HUR","TOT","PC_LF","M","2020-02",4.5,
"AUT","HUR","TOT","PC_LF","M","2020-03",4.8,
"AUT","HUR","TOT","PC_LF","M","2020-04",4.9,
"AUT","HUR","TOT","PC_LF","M","2020-05",5.8,
"AUT","HUR","TOT","PC_LF","M","2020-06",6,
"AUT","HUR","TOT","PC_LF","M","2020-07",5.8,
"AUT","HUR","TOT","PC_LF","M","2020-08",5.6,
"AUT","HUR","TOT","PC_LF","M","2020-09",5.5,
"AUT","HUR","TOT","PC_LF","M","2020-10",5.4,
"AUT","HUR","TOT","PC_LF","M","2020-11",5.5,
"AUT","HUR","TOT","PC_LF","M","2020-12",5.8,
"BEL","HUR","TOT","PC_LF","M","2018-12",5.7,
"BEL","HUR","TOT","PC_LF","M","2019-01",5.6,
"BEL","HUR","TOT","PC_LF","M","2019-02",5.5,
"BEL","HUR","TOT","PC_LF","M","2019-03",5.5,
"BEL","HUR","TOT","PC_LF","M","2019-04",5.5,
"BEL","HUR","TOT","PC_LF","M","2019-05",5.5,
"BEL","HUR","TOT","PC_LF","M","2019-06",5.4,
"BEL","HUR","TOT","PC_LF","M","2019-07",5.3,
"BEL","HUR","TOT","PC_LF","M","2019-08",5.2,
"BEL","HUR","TOT","PC_LF","M","2019-09",5.2,
"BEL","HUR","TOT","PC_LF","M","2019-10",5.2,
"BEL","HUR","TOT","PC_LF","M","2019-11",5.2,
"BEL","HUR","TOT","PC_LF","M","2019-12",5.2,
"BEL","HUR","TOT","PC_LF","M","2020-01",5.1,
"BEL","HUR","TOT","PC_LF","M","2020-02",5,
"BEL","HUR","TOT","PC_LF","M","2020-03",4.9,
"BEL","HUR","TOT","PC_LF","M","2020-04",4.9,
"BEL","HUR","TOT","PC_LF","M","2020-05",4.9,
"BEL","HUR","TOT","PC_LF","M","2020-06",5.3,
"BEL","HUR","TOT","PC_LF","M","2020-07",5.9,
"BEL","HUR","TOT","PC_LF","M","2020-08",6.5,
"BEL","HUR","TOT","PC_LF","M","2020-09",6.6,
"BEL","HUR","TOT","PC_LF","M","2020-10",6.3,
"BEL","HUR","TOT","PC_LF","M","2020-11",6.1,
"BEL","HUR","TOT","PC_LF","M","2020-12",5.8,
"CAN","HUR","TOT","PC_LF","M","2018-12",5.7,
"CAN","HUR","TOT","PC_LF","M","2019-01",5.8,
"CAN","HUR","TOT","PC_LF","M","2019-02",5.8,
"CAN","HUR","TOT","PC_LF","M","2019-03",5.7,
"CAN","HUR","TOT","PC_LF","M","2019-04",5.7,
"CAN","HUR","TOT","PC_LF","M","2019-05",5.4,
"CAN","HUR","TOT","PC_LF","M","2019-06",5.6,
"CAN","HUR","TOT","PC_LF","M","2019-07",5.7,
"CAN","HUR","TOT","PC_LF","M","2019-08",5.7,
"CAN","HUR","TOT","PC_LF","M","2019-09",5.5,
"CAN","HUR","TOT","PC_LF","M","2019-10",5.6,
"CAN","HUR","TOT","PC_LF","M","2019-11",5.9,
"CAN","HUR","TOT","PC_LF","M","2019-12",5.6,
"CAN","HUR","TOT","PC_LF","M","2020-01",5.5,
"CAN","HUR","TOT","PC_LF","M","2020-02",5.6,
"CAN","HUR","TOT","PC_LF","M","2020-03",7.8,
"CAN","HUR","TOT","PC_LF","M","2020-04",13,
"CAN","HUR","TOT","PC_LF","M","2020-05",13.7,
"CAN","HUR","TOT","PC_LF","M","2020-06",12.3,
"CAN","HUR","TOT","PC_LF","M","2020-07",10.9,
"CAN","HUR","TOT","PC_LF","M","2020-08",10.2,
"CAN","HUR","TOT","PC_LF","M","2020-09",9,
"CAN","HUR","TOT","PC_LF","M","2020-10",8.9,
"CAN","HUR","TOT","PC_LF","M","2020-11",8.5,
"CAN","HUR","TOT","PC_LF","M","2020-12",8.6,
"CZE","HUR","TOT","PC_LF","M","2018-12",2.1,
"CZE","HUR","TOT","PC_LF","M","2019-01",2.1,
"CZE","HUR","TOT","PC_LF","M","2019-02",2,
"CZE","HUR","TOT","PC_LF","M","2019-03",2.1,
"CZE","HUR","TOT","PC_LF","M","2019-04",2,
"CZE","HUR","TOT","PC_LF","M","2019-05",2.1,
"CZE","HUR","TOT","PC_LF","M","2019-06",1.8,
"CZE","HUR","TOT","PC_LF","M","2019-07",2,
"CZE","HUR","TOT","PC_LF","M","2019-08",1.9,
"CZE","HUR","TOT","PC_LF","M","2019-09",2.1,
"CZE","HUR","TOT","PC_LF","M","2019-10",2,
"CZE","HUR","TOT","PC_LF","M","2019-11",2.1,
"CZE","HUR","TOT","PC_LF","M","2019-12",2,
"CZE","HUR","TOT","PC_LF","M","2020-01",2,
"CZE","HUR","TOT","PC_LF","M","2020-02",2,
"CZE","HUR","TOT","PC_LF","M","2020-03",2.1,
"CZE","HUR","TOT","PC_LF","M","2020-04",2.2,
"CZE","HUR","TOT","PC_LF","M","2020-05",2.4,
"CZE","HUR","TOT","PC_LF","M","2020-06",2.7,
"CZE","HUR","TOT","PC_LF","M","2020-07",2.7,
"CZE","HUR","TOT","PC_LF","M","2020-08",2.8,
"CZE","HUR","TOT","PC_LF","M","2020-09",2.8,
"CZE","HUR","TOT","PC_LF","M","2020-10",2.8,
"CZE","HUR","TOT","PC_LF","M","2020-11",2.9,
"CZE","HUR","TOT","PC_LF","M","2020-12",3.1,
"DNK","HUR","TOT","PC_LF","M","2018-12",5.1,
"DNK","HUR","TOT","PC_LF","M","2019-01",5.3,
"DNK","HUR","TOT","PC_LF","M","2019-02",5.2,
"DNK","HUR","TOT","PC_LF","M","2019-03",5.4,
"DNK","HUR","TOT","PC_LF","M","2019-04",5.2,
"DNK","HUR","TOT","PC_LF","M","2019-05",5,
"DNK","HUR","TOT","PC_LF","M","2019-06",4.6,
