Date,Open,High,Low,Close,Adj Close,Volume
1/2/2018,15000,15543,15000,15350,14460.49023,66209
1/3/2018,15200,15842,15161,15842,14923.98047,127497
1/4/2018,15500,16117,15500,16117,15183.04492,143763
1/5/2018,16034,16400,16030,16300,15355.44043,181498
1/8/2018,16500,16697,16000,16300,15355.44043,771328
1/9/2018,16005,16607,16005,16550,15590.95313,252280
1/10/2018,16324,16839,16324,16800,15826.46582,696335
1/11/2018,16551,16866,16551,16711,15742.62207,91390
1/12/2018,16800,16996,16550,16950,15967.77344,67977
1/15/2018,16950,17025,16778,16820,15845.30566,70698
1/16/2018,16910,17000,16696,16950,15967.77344,315810
1/17/2018,16602,16981,16602,16826,15850.95898,254408
1/18/2018,16950,17100,16783,17100,16109.08008,303128
1/19/2018,17100,17275,16900,17250,16250.38867,222462
1/22/2018,17300,17753,17298,17625,16603.6582,1112374
1/23/2018,17625,18033,17587,17808,16776.05469,841788
1/24/2018,17700,18445,17700,18129,17078.45117,196106
1/25/2018,17900,18677,17900,18605,17526.86719,640238
1/26/2018,18500,18841,18500,18719,17634.26367,984121
1/29/2018,18050,18849,17906,18061,17014.39258,447084
1/30/2018,17500,18088,17500,17939,16899.46289,162912
1/31/2018,17650,18780,17600,18780,17691.72852,582470
2/1/2018,17926,18730,17926,18014,16970.11523,233563
2/2/2018,17926,18748,17627,18309,17248.02148,137209
2/5/2018,17926,18100,17603,17687,16662.06641,148754
2/6/2018,17500,17750,16725,17816,16783.58984,151124
2/7/2018,17880,18569,17500,18339,17276.2832,762437
2/8/2018,18246,18500,17427,18322,17260.26758,132774
2/9/2018,17900,18300,17522,18250,17192.44141,200335
2/12/2018,18001,18246,17701,18200,17145.33789,90536
2/13/2018,17900,18580,17900,18532,17458.09766,156090
2/14/2018,18650,18655,18122,18451,17381.79297,334882
2/15/2018,18550,19133,18241,18600,17522.16016,1879003
2/16/2018,18899,19057,18473,18768,17680.42383,739637
2/19/2018,18768,18768,18321,18437,17368.60352,126127
2/20/2018,18500,18745,18213,18717,17632.37695,177257
2/21/2018,18717,18717,18003,18350,17286.64648,420388
2/22/2018,18270,18345,17609,18100,17051.13281,447259
2/23/2018,18100,19120,18050,19025,17922.5293,680624
2/26/2018,19025,19899,19025,19800,18652.61914,923314
2/27/2018,19600,20790,19600,20400,19217.85156,1443503
2/28/2018,20396,20546,19835,20400,19217.85156,1062975
3/1/2018,20299,20300,19846,20290,19114.22461,107560
3/2/2018,20250,20250,19801,20001,18841.97266,134851
3/5/2018,19805,20202,19506,19615,18478.33984,642710
3/6/2018,19615,20300,19501,19584,18449.13477,493419
3/7/2018,19500,19745,19200,19402,18277.68359,554583
3/8/2018,19200,19697,18900,19400,18275.80078,633806
3/9/2018,19100,19510,18905,18989,17888.61719,256621
3/12/2018,18700,19314,18684,19079,17973.40039,383918
3/13/2018,19299,19299,18462,18900,17804.77344,213861
3/14/2018,18390,18898,18249,18571,17494.83984,222666
3/15/2018,18411,19351,18411,18730,17644.625,951603
3/16/2018,18699,19076,18292,18292,17232.00781,598615
3/19/2018,18292,18383,17989,18267,17208.45508,420271
3/20/2018,17799,18211,17663,17966,17504.65039,234385
3/22/2018,17714,18454,17714,18190,17722.89648,339514
3/23/2018,17810,18384,17802,18269,17799.86914,247828
3/26/2018,18000,18350,17583,17945,17484.18945,153669
3/27/2018,17757,18360,17757,18300,17830.07227,240717
3/28/2018,18050,18352,17925,18268,17798.89453,211755
3/29/2018,17900,18846,17700,18533,18057.08984,160300
4/3/2018,18533,18678,18143,18404,17931.40039,180848
4/4/2018,18343,18437,17690,18223,17755.04883,157553
4/5/2018,18260,18597,18220,18400,17927.50586,109126
4/6/2018,18401,18699,18100,18395,17922.63281,198087
4/9/2018,18500,19330,18303,19300,18804.39453,274466
4/10/2018,19380,19494,19053,19200,18706.96094,153703
4/11/2018,19200,19324,19015,19199,18705.98633,113312
4/12/2018,18901,19438,18831,18880,18395.17969,91034
4/13/2018,18900,19114,18624,18904,18418.5625,43019
4/16/2018,19130,19200,18607,18983,18495.5332,150293
4/17/2018,18651,19382,18651,19273,18778.08594,108161
4/18/2018,19021,19499,19021,19440,18940.79883,126882
4/19/2018,19200,19587,19200,19530,19028.48828,85529
4/20/2018,19641,19641,19320,19549,19047,435165
4/23/2018,19549,19555,19055,19100,18609.5293,102732
4/24/2018,18801,19298,18801,19204,18710.85938,64592
4/25/2018,19238,19493,18860,18944,18457.53516,338744
4/26/2018,19000,19778,18958,19700,19194.12109,145311
4/30/2018,19129,19950,19129,19552,19049.92188,71635
5/2/2018,19529,20325,19415,20179,19660.82227,106305
5/3/2018,19871,20298,19500,19578,19075.25586,185126
5/4/2018,19850,20105,19758,20033,19518.57031,88260
5/7/2018,19512,20030,19512,19850,19340.26953,36200
5/8/2018,19604,19945,19552,19669,19163.91797,68914
5/9/2018,19797,19948,19659,19806,19297.40039,73274
5/10/2018,19806,20400,19806,20100,19583.84961,247091
5/11/2018,20101,20238,19831,20070,19554.62109,105246
5/14/2018,19820,20199,19638,19665,19160.01953,79027
5/15/2018,19400,19900,19304,19500,18999.25781,161076
