FullName,Year,Country,numvote_DPI,oppvote_DPI,maj_DPI,herfgov_DPI,herftot_DPI,frac_DPI,govfrac_DPI,stabs_DPI,polariz_DPI,gov1vote_DPI,gov2vote_DPI,gov3vote_DPI,liec_DPI,eiec_DPI,pr_DPI
United States of America,2017,USA,0,0,0.554022968,1,NA,0.495301664,0,0.25,0,NA,0,0,7,7,0
Canada,2017,CAN,39.5,59.79999924,0.543026686,1,NA,0.602674186,0,0,0,39.5,0,0,7,7,0
Bahamas,2017,BHS,48.61999893,42.09000015,0.763157904,1,NA,0.371266007,0,0,0,48.61999893,0,0,6,7,0
Cuba,2017,CUB,100,0,1,1,NA,0,0,0,0,100,0,0,4,3,1
Haiti,2017,HTI,0,0,0.321739137,729.7282715,NA,0.888797283,0.279279292,0.5,NA,NA,NA,-999,7,7,0
Dominican Republic,2017,DOM,0,0,0.557894766,1,NA,0.626826346,0,0,0,NA,0,0,7,7,1
Jamaica,2017,JAM,0,0,0.507936537,1,NA,0.507936537,0,0.666666687,0,NA,0,0,7,7,0
Trinidad and Tobago,2017,TTO,51.70000076,39.59999847,0.560975611,1,NA,0.504878044,0,0,0,51.70000076,0,0,7,7,0
Barbados,2017,BRB,0,0,0.533333361,1,NA,0.514942527,0,0,0,NA,0,0,7,7,0
Dominica,2017,DMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grenada,2017,GRD,58.77000046,40.59000015,1,1,NA,0,0,0,0,58.77000046,0,0,5,7,0
Saint Lucia,2017,LCA,0,0,0.647058845,1,NA,0.485294104,0,0.666666687,0,NA,0,0,7,7,0
Saint Vincent and the Grenadines,2017,VCT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antigua & Barbuda,2017,ATG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Kitts and Nevis,2017,KNA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mexico,2017,MEX,0,0,0.5,0.694688022,NA,0.761246443,0.306538165,0,1,NA,NA,0,7,7,1
Belize,2017,BLZ,50.5,47.77000046,0.612903237,1,NA,0.49032256,0,0,0,50.5,0,0,7,7,0
Guatemala,2017,GTM,8.75,87.77999878,0.069620252,1,NA,0.847384572,0,0,1,8.75,0,0,7,7,1
Honduras,2017,HND,0,0,0.375,1,NA,0.726500988,0,0,0,NA,0,0,7,7,1
El Salvador,2017,SLV,41.24000168,0,0.388235301,0.941230476,NA,0.674789846,0.060606062,0,2,38.77000046,2.470000029,0,7,7,1
Nicaragua,2017,NIC,66.65000153,20.82999992,0.769230783,1,NA,0.387637377,0,0,0,66.65000153,0,0,6,7,1
Costa Rica,2017,CRI,46.63999939,46.95999908,0.526315808,0.348888874,NA,0.810776949,0.673563242,0,2,23.47999954,13.14000034,10.02000046,7,6,1
Panama,2017,PAN,0,0,0.535211265,0.533240974,NA,0.65311873,0.479374111,0,NA,NA,NA,NA,7,7,1
