Country Code,Year,Population
ABW,2019,106314
AFG,2019,38041754
AGO,2019,31825295
ALB,2019,2854191
AND,2019,77142
ARB,2019,427870270
ARE,2019,9770529
ARG,2019,44938712
ARM,2019,2957731
ASM,2019,55312
ATG,2019,97118
AUS,2019,25364307
AUT,2019,8877067
AZE,2019,10023318
BDI,2019,11530580
BEL,2019,11484055
BEN,2019,11801151
BFA,2019,20321378
BGD,2019,163046161
BGR,2019,6975761
BHR,2019,1641172
BHS,2019,389482
BIH,2019,3301000
BLR,2019,9466856
BLZ,2019,390353
BMU,2019,63918
BOL,2019,11513100
BRA,2019,211049527
BRB,2019,287025
BRN,2019,433285
BTN,2019,763092
BWA,2019,2303697
CAF,2019,4745185
CAN,2019,37589262
CEB,2019,102378579
CHE,2019,8574832
CHI,2019,172259
CHL,2019,18952038
CHN,2019,1397715000
CIV,2019,25716544
CMR,2019,25876380
COD,2019,86790567
COG,2019,5380508
COL,2019,50339443
COM,2019,850886
CPV,2019,549935
CRI,2019,5047561
CSS,2019,7401383
CUB,2019,11333483
CUW,2019,157538
CYM,2019,64948
CYP,2019,1198575
CZE,2019,10669709
DEU,2019,83132799
DJI,2019,973560
DMA,2019,71808
DNK,2019,5818553
DOM,2019,10738958
DZA,2019,43053054
EAP,2019,2093675040
EAR,2019,3290290613
EAS,2019,2340628292
ECA,2019,399404587
ECS,2019,921140092
ECU,2019,17373662
EGY,2019,100388073
EMU,2019,342597698
ERI,2019,
ESP,2019,47076781
EST,2019,1326590
ETH,2019,112078730
EUU,2019,447512041
FCS,2019,798138587
FIN,2019,5520314
FJI,2019,889953
FRA,2019,67059887
FRO,2019,48678
FSM,2019,113815
GAB,2019,2172579
GBR,2019,66834405
GEO,2019,3720382
GHA,2019,30417856
GIB,2019,33701
GIN,2019,12771246
GMB,2019,2347706
GNB,2019,1920922
GNQ,2019,1355986
GRC,2019,10716322
GRD,2019,112003
GRL,2019,56225
GTM,2019,16604026
GUM,2019,167294
GUY,2019,782766
